time,condition,2017-08-18_2d_NNxNN_05,2017-08-18_2d_NNxNN_06,2017-08-19_2d_NNxNN_00,2017-08-19_2d_NNxNN_01,2017-08-19_2d_NNxNN_04,2017-08-20_2d_NNxNN_01,2017-08-20_2d_NNxNN_02
30,dark_30,0.604845023,0.731200453,0.857658214,0.42894257,0.127381503,0.224842465,0.408868712
60,dark_60,0.557950138,0.468283816,0.50544584,0.452254842,-0.042851211,0.290428943,0.304842148
90,dark_90,0.42881496,0.367295542,0.380673148,0.324598318,0.047935919,0.265052739,0.234663935
120,dark_120,0.314645965,0.272879354,0.265511277,0.202228332,0.135611053,0.263748564,0.209371079
150,dark_150,0.220746683,0.219143792,0.237760262,0.099479116,0.297559234,0.309385019,0.289270848
180,dark_180,0.165934523,0.1919166,0.17243772,0.051055161,0.365583873,0.353081567,0.173449493
210,dark_210,0.062168452,0.185646385,0.175287903,0.088349095,0.413178506,0.363416876,0.234816075
240,dark_240,0.070659449,0.101461228,0.185417137,-0.013651204,0.451098564,0.296405471,0.281311743
270,dark_270,-0.092097478,0.070873221,0.134715301,0.048789365,0.172652634,0.021070806,0.113937716
300,dark_300,-0.032575663,0.105060291,-0.029065333,-0.084558614,0.385539807,0.240483567,0.114402801
330,sideUV_30,0.017166214,0.11024831,-0.168078294,-0.069639084,0.232897928,0.143666981,0.071570581
360,sideUV_60,0.04777598,0.066555277,-0.130624742,-0.083566036,0.218432116,0.13918255,0.042731536
390,sideUV_90,-0.058442466,0.10164295,-0.170959072,-0.104737372,0.184632377,0.117091446,0.098784597
420,sideUV_120,0.06375293,0.042747597,-0.069995615,-0.028650381,0.18530602,0.05082979,0.133216264
450,dark1_30,0.083386932,0.073719531,0.059734575,-0.050158227,0.135459034,0.080729891,0.188971004
480,dark1_60,0.039739067,0.05298652,0.043958035,-0.081195459,0.126240104,0.014970478,0.262155325
510,top488_30,0.403293982,0.452002788,0.581113612,0.428135856,0.293880623,0.230290449,0.460880922
540,top488_60,0.389908472,0.517243186,0.552430624,0.366259416,0.319238057,0.368684808,0.511221082
570,top488_90,0.327626754,0.472221441,0.502509588,0.34988368,0.298785631,0.326507589,0.451048424
600,top488_120,0.265708593,0.456324959,0.462126021,0.355350898,0.256107471,0.298335949,0.412555982
630,dark2_30,-0.116448391,0.035701006,-0.051171957,-0.006005669,0.084594324,0.045161751,0.182770311
660,dark2_60,-0.076324475,-0.086345067,0.037506256,-0.071964398,0.074537522,-0.035327817,0.060685453
690,dark2_90,-0.010484238,-0.052769966,0.035590001,-0.022663036,0.120631122,-0.067156265,0.050449193
720,dark2_120,-0.052564812,-0.197670378,0.030599314,-0.036427133,0.110932295,-0.08635702,0.083480402
750,top395_30,0.261986308,0.19033252,0.225475913,0.234386425,0.187787963,0.236331329,0.27902453
780,top395_60,0.168089126,-0.097272431,0.129725826,0.000782619,0.111202566,0.157156797,0.16353368
810,top395_90,-0.019148362,-0.14102453,-0.074399082,-0.121286904,0.056147795,0.072794739,0.178223083
840,top395_120,-0.191045707,-0.156986217,-0.171500529,-0.293937969,-0.030925152,-0.009063165,0.08125131
870,top395_150,-0.255099862,-0.286174963,-0.270145207,-0.38805867,-0.073625103,-0.147742016,0.047517115
900,top395_180,-0.295512152,-0.182538514,-0.315659969,-0.409656237,-0.145439274,-0.234274638,0.004895055
930,top395_210,-0.309869351,-0.276309556,-0.383767994,-0.3795135,-0.231223707,-0.285834864,-0.053055017
960,top395_240,-0.229473901,-0.263127393,-0.319541661,-0.350751445,-0.231955538,-0.260597502,-0.131331712
990,top395_270,-0.485646653,-0.290784716,-0.620792872,-0.428900442,-0.297061517,-0.427987883,-0.324126931
1020,top395_300,-0.355080896,-0.41700106,-0.287018499,-0.358815398,-0.23492215,-0.427288381,-0.159380596
1050,top395_330,-0.22686212,-0.438878134,-0.245452873,-0.295409987,-0.250016335,-0.48077777,-0.147024176
1080,top395_360,-0.170893115,-0.385453005,-0.219114544,-0.286975006,-0.267879034,-0.335556605,-0.145298909
1110,top395_390,-0.173558381,-0.316377557,-0.038726606,-0.254230485,-0.196386468,-0.337511167,-0.255523827
1140,top395_420,-0.186262664,-0.229689892,-0.175671274,-0.18998951,-0.210718197,-0.28943131,-0.161623927
