time,condition,2017-06-23_2d_nnxnn_03,2017-06-23_2d_nnxnn_04,2017-06-27_2d_nnxnn_01
30,dark_30,0.228876205,0.159194376,0.684356303
60,dark_60,0.166101793,0.118905987,0.530407405
90,dark_90,0.131661788,0.182099168,0.290916944
120,dark_120,0.162652369,0.170034261,0.190457415
150,dark_150,0.154389612,0.113154356,0.087809147
180,dark_180,0.144259868,0.145386594,0.064318863
210,dark_210,0.153737425,0.156997334,0.044864199
240,dark_240,0.137692424,0.118227235,-0.000596373
270,sideUV_30,0.238147383,0.12641747,0.0771567
300,sideUV_60,0.144617025,0.157097835,0.161070742
330,sideUV_90,0.080624712,0.154546115,0.117330444
360,sideUV_120,0.06656769,0.156852655,0.080787019
390,dark1_30,0.052372826,0.097287748,-0.008749098
420,dark1_60,0.097784589,0.100166517,-0.002088138
450,dark1_90,0.114218348,0.110126934,-0.013734462
480,dark1_120,0.159020916,0.067332235,-0.018004189
510,top488_30,0.52796826,0.410678503,0.246792513
540,top488_60,0.415653693,0.292441524,0.194196283
570,top488_90,0.333105693,0.230103478,0.170656293
600,top488_120,0.264637864,0.206433428,0.123700016
630,dark2_30,0.019641804,-0.016032495,0.01130566
660,dark2_60,-0.033577816,-0.010179853,0.005774543
690,dark2_90,-0.05260978,-0.022189581,0.040604007
720,dark2_120,-0.040471799,-0.045966524,0.020220995
750,top395_30,0.204841509,0.228949385,0.234462025
780,top395_60,0.075976475,0.112048684,0.182316663
810,top395_90,1.31E-05,0.069397633,0.141833821
840,top395_120,-0.050318243,0.044772822,0.101378272
870,dark3_30,-0.166480951,-0.14262098,-0.011929014
900,dark3_60,-0.114129471,-0.133690791,-0.011845624
930,dark3_90,-0.07554785,-0.157739144,-0.021255126
960,dark3_120,-0.04938662,-0.158701688,-0.039173704
990,dark3_150,-0.067062635,-0.191738911,-0.031656213
1020,dark3_180,-0.067135092,-0.206439623,-0.035579578
