time,condition,2017-06-22_2d_nnxnn_02,2017-06-23_2d_nnxnn_03,2017-06-23_2d_nnxnn_04,2017-06-27_2d_nnxnn_01,2017-06-27_2d_nnxnn_03,2017-06-27_2d_nnxnn_04,2017-06-29_2d_nnxnn_00,2017-06-30_2d_nnxnn_00,2017-06-30_2d_nnxnn_02,2017-06-30_2d_nnxnn_03,2017-07-02_2d_nnxnn_00,2017-07-03_2d_nnxnn_03,2017-07-03_2d_nnxnn_04,2017-07-06_2d_nnxnn_03
30,dark_30,-0.29548229,0.228876205,0.159194376,0.684356303,-0.326461027,-0.412423428,0.086502619,-0.198239517,0.558399487,0.642485329,-0.321251123,0.139660857,0.225473547,-0.055518741
60,dark_60,-0.116776617,0.166101793,0.118905987,0.530407405,-0.065848116,-0.279951391,-0.011947351,-0.222139977,0.48076866,0.59867879,-0.231977789,0.059465255,-0.145380427,-0.283038296
90,dark_90,-0.148617187,0.131661788,0.182099168,0.290916944,-0.006826471,-0.203925501,-0.041598791,-0.284049921,0.329855823,0.388192026,-0.079953197,0.116623706,-0.13029397,-0.341782719
120,dark_120,-0.148392571,0.162652369,0.170034261,0.190457415,-0.048105479,-0.128647891,-0.020574625,-0.269977642,0.239662042,0.152192639,0.006445848,0.180275002,-0.108043068,-0.295573583
150,dark_150,-0.17986101,0.154389612,0.113154356,0.087809147,-0.042840604,-0.059453988,0.0164995,-0.231853752,0.185129988,0.08068174,0.146256899,0.197285793,-0.128473377,-0.28220313
180,dark_180,-0.117039571,0.144259868,0.145386594,0.064318863,-0.012311914,-0.053995018,0.012935203,-0.242281537,0.134247587,0.045382118,0.175399617,0.207401363,-0.08738387,-0.238404325
210,dark_210,-0.093499546,0.153737425,0.156997334,0.044864199,-0.035710152,-0.034769612,0.006429093,-0.222811439,0.140368163,0.036435169,0.204284264,0.197314909,-0.000582987,-0.180648121
240,dark_240,-0.022284806,0.137692424,0.118227235,-0.000596373,-0.041358106,-0.011995564,-0.036568242,-0.18607551,0.131565207,0.01634209,0.20176636,0.158019482,-0.002687241,-0.151188056
270,dark_270,0.003109442,0.238147383,0.12641747,0.0771567,-0.071937399,0.014803989,-0.053348495,-0.149265692,0.104166872,0.094519058,-0.06385438,-0.151969257,-0.010210707,-0.045301195
300,dark_300,0.004159651,0.144617025,0.157097835,0.161070742,0.002730228,0.084957731,-0.031076978,-0.12005626,0.075718742,0.056689737,0.099459965,0.156607563,0.079647025,-0.032242045
330,sideUV_30,-0.002609623,0.080624712,0.154546115,0.117330444,-0.016223846,0.037002488,-0.063737263,-0.085883104,-0.06155876,0.029377167,0.108019554,0.154435007,0.113145432,-0.016020056
360,sideUV_60,0.017375618,0.06656769,0.156852655,0.080787019,-0.019565432,-0.002898813,-0.075051638,-0.075978884,-0.12731524,0.03492654,0.064218334,0.085713812,0.08085445,-0.018710185
390,sideUV_90,0.007213489,0.052372826,0.097287748,-0.008749098,-0.02227754,-0.060760973,-0.077935979,-0.119572735,-0.179462539,0.012102433,-0.01106625,-0.08062726,0.061269511,0.0036925
420,sideUV_120,-0.004216236,0.097784589,0.100166517,-0.002088138,0.022941094,0.000313994,-0.071899477,-0.107010481,-0.0885023,-0.010437016,0.102766407,-0.12078212,0.040149272,-0.027903129
450,dark1_30,0.01755517,0.114218348,0.110126934,-0.013734462,0.030874057,0.012506507,-0.055130605,-0.067192698,-0.058337782,-0.013827215,0.138374445,-0.047822442,0.0127415,0.006090439
480,dark1_60,0.040222318,0.159020916,0.067332235,-0.018004189,0.034753873,0.025610794,-0.046205539,-0.02421331,-0.052857816,-0.002785112,0.113273141,0.056499009,0.015923655,0.021645278
510,top488_30,0.458622053,0.52796826,0.410678503,0.246792513,0.248861668,0.341220656,0.091177546,0.171198351,0.301831569,0.284531564,0.44807048,0.225751581,0.211539887,0.271859786
540,top488_60,0.414811004,0.415653693,0.292441524,0.194196283,0.233536025,0.403630556,0.137142997,0.284875875,0.355513123,0.272188203,0.634013742,0.520861096,0.340410552,0.414030322
570,top488_90,0.388073346,0.333105693,0.230103478,0.170656293,0.188851966,0.359462301,0.130569167,0.29921667,0.349530911,0.212809016,0.521041733,0.437498322,0.367157681,0.348677213
600,top488_120,0.32456016,0.264637864,0.206433428,0.123700016,0.152966695,0.351095119,0.123556085,0.316858884,0.292552006,0.17056472,0.468038981,0.40229397,0.282307686,0.303586677
630,dark2_30,0.034685333,0.019641804,-0.016032495,0.01130566,-0.004529868,0.021433532,-0.025616209,-0.169689556,0.081752713,-0.016763969,-0.058303334,-0.088398294,0.04909174,-0.025690925
660,dark2_60,0.010299169,-0.033577816,-0.010179853,0.005774543,-0.007508987,-0.024467225,-0.053751825,-0.258194975,0.080012965,-0.074095252,0.013437309,-0.102510643,-0.043217042,-0.149274069
