time,condition,2017-08-21_2d_nnxnn_09,2017-08-26_2d_nnxnn_00,2017-08-26_2d_nnxnn_01,2017-08-27_2d_nnxnn_00,
30,dark_30,0.079232707,0.135112232,-0.140851748,0.79059737,0.21602264
60,dark_60,0.112735659,0.120650241,-0.231624487,0.799266391,0.200256951
90,dark_90,0.139436741,0.091454252,-0.149194501,0.649804383,0.182875218
120,dark_120,0.205846505,0.067725794,-0.107135336,0.497323543,0.165940127
150,dark_150,0.288370241,0.104549181,-0.072121661,0.289269839,0.1525169
180,dark_180,0.372546047,0.083605855,-0.02689839,0.197573934,0.156706861
210,dark_210,0.36751477,0.083078914,-0.00691443,0.085571551,0.132312701
240,dark_240,0.391093038,0.087543908,0.027747967,-0.02447876,0.120476538
270,dark_270,0.128794361,-0.074283111,-0.160173709,-0.178997913,-0.071165093
300,dark_300,0.223244195,0.005208325,-0.119479326,-0.154865888,-0.011473173
330,sideUV_30,0.164456832,-0.052759179,-0.086426478,-0.158124029,-0.033213214
360,sideUV_60,0.143592816,-0.036871397,-0.027238735,-0.123915646,-0.011108241
390,sideUV_90,0.152279624,-0.068506159,-0.063011912,-0.138615172,-0.029463405
420,sideUV_120,0.173486517,-0.054739109,-0.015271253,-0.036903208,0.016643237
450,dark1_30,0.225812737,-0.021513186,-0.018569193,0.028538824,0.053567295
480,dark1_60,0.215410926,-0.004463739,0.022127974,0.03360097,0.066669032
510,top488_30,0.678388096,0.171744811,0.178853613,0.067548156,0.274133669
540,top488_60,0.769647411,0.177350604,0.165335924,0.04275487,0.288772202
570,top488_90,0.61850118,0.158540809,0.16599636,-0.008444517,0.233648458
600,top488_120,0.571736548,0.147830428,0.181285446,-0.013883375,0.221742262
630,dark2_30,0.023480068,-0.104506366,-0.160219058,0.155914786,-0.021332643
660,dark2_60,0.13811672,-0.117999717,-0.138864254,0.110504634,-0.002060654
690,dark2_90,0.059483466,-0.062432615,-0.050361945,0.137657217,0.021086531
720,dark2_120,0.092475851,-0.023835976,0.020093469,0.10524759,0.048495233
750,top395_30,0.257477779,0.148992728,0.202742034,0.132471236,0.185420944
780,top395_60,0.053591512,0.038802781,0.208116464,0.004908927,0.076354921
810,top395_90,0.01416592,-0.021568275,0.149940543,-0.053518961,0.022254807
840,top395_120,-0.046589683,-0.097679877,0.180739917,-0.116403002,-0.019983161
870,top395_150,-0.113571782,-0.146937882,0.145167977,-0.116121068,-0.057865689
900,top395_180,-0.0961996,-0.146432665,0.128142722,-0.102807449,-0.054324248
930,top395_210,-0.11005823,-0.155904574,0.164471798,-0.082041031,-0.045883009
960,top395_240,-0.178726975,-0.128483711,0.15696913,-0.061028052,-0.052817402
990,top395_270,-0.233277949,-0.306954157,-0.323575606,-0.000494407,-0.21607553
1020,top395_300,-0.197426431,-0.24346439,-0.304675219,0.083975155,-0.165397721
1050,top395_330,-0.17901039,-0.245881296,-0.244240065,0.10383057,-0.141325295
1080,top395_360,-0.195891197,-0.201054557,-0.201911757,0.102213633,-0.124160969
1110,top395_390,-0.192589115,-0.171746102,-0.226841757,0.075840794,-0.128834045
1140,top395_420,-0.306079492,-0.144023251,-0.244611128,0.081417638,-0.153324058
