time,condition,2017-08-04_3d_L_0.1mM_01,2017-08-04_3d_L_0.1mM_04,2017-08-06_3d_L_0.1mM_01,2017-08-07_3d_L_0.1mM_01,2017-08-08_3d_L_0.1mM_01,2017-08-08_3d_L_0.1mM_04,2017-08-09_3d_L_0.1mM_05,2017-08-15_3d_L_0.1mM_01,2017-08-15_3d_L_0.1mM_04,2017-08-15_3d_L_0.1mM_07,2017-08-16_3d_L_0.1mM_01,2017-08-17_3d_L_0.1mM_01,2017-08-17_3d_L_0.1mM_04,2017-08-21_3d_L_0.1mM_04,2017-08-21_3d_L_0.1mM_07
30,dark_30,0.331053714,0.266236161,0.157727888,0.481608151,0.223000188,-0.297939809,-0.202958781,0.578415184,0.016206111,-0.230610421,0.050153644,0.185719187,-0.152924689,-0.148713721,0.665072315
60,dark_60,0.408480697,-0.04673018,0.302193638,0.272810499,0.062260509,-0.275666723,-0.243281577,0.609905961,-0.084838385,-0.184502551,0.163723575,0.203452765,-0.038859761,-0.063901757,0.884750505
90,dark_90,0.287619297,-0.041951478,0.256316383,0.207354632,0.039454297,-0.18273123,-0.237931202,0.557210481,-0.143977313,-0.009870007,0.151538662,0.135990426,0.029828372,0.001944556,0.671683596
120,dark_120,0.207863921,-0.061324737,0.200630245,0.097467597,0.039608472,-0.179097923,-0.234059718,0.436101336,-0.048395766,0.023620948,0.112800624,0.113096641,0.02058043,0.064848183,0.249619635
150,dark_150,0.126362042,-0.059857046,0.169107896,0.090481781,0.043246529,-1.36E-01,-0.222588069,0.373982329,-0.054995843,-0.010819824,0.057630869,0.07281125,0.021579209,0.058344997,0.06241752
180,dark_180,0.046657323,-0.066337271,0.116546237,0.091897298,0.056676753,-0.087660285,-0.196110437,0.293050752,-0.042349574,0.017751349,0.052637359,0.075295145,0.042529606,0.062829133,-0.012684593
210,dark_210,0.014986397,-0.056187215,0.079881227,0.079924177,0.08914002,-0.044432493,-0.213722276,0.245703996,-0.039537209,0.041238325,0.022216976,-0.012676389,0.006251443,0.097549961,-0.00296559
240,dark_240,0.029475955,-0.053351492,0.018087968,0.038789512,0.118788553,-0.010400975,-0.22288636,0.193068742,0.007927369,0.041636938,0.013481958,-0.020708402,0.021474567,0.125633361,-0.043943774
270,sideUV_30,-0.048337555,0.017281225,-0.084221647,0.031239511,0.079737531,-0.080919651,-0.197971555,0.058776027,0.068247066,-0.081462543,-0.008264166,-0.224244556,-0.073145296,-0.091718518,-0.37122699
300,sideUV_60,-0.053670297,-0.154254649,-0.14028242,-0.004410836,0.060329992,-0.076158797,-0.213631611,-0.042855433,-0.018239441,-0.054382484,-0.137513243,-0.209716382,-0.146276374,-0.004230352,-0.262656095
330,sideUV_90,-0.087795124,-0.198946427,-0.150849747,-0.09632774,0.046292277,-0.092457807,-0.190641633,-0.139690005,-0.044791975,-0.097253588,-0.210306142,-0.158260426,-0.175604893,0.018853628,-0.189187105
360,sideUV_120,-0.091872874,-0.1872741,-0.107782979,-0.124596465,0.015976032,-0.066690693,-0.199126124,-0.223643694,-0.068644843,-0.053946774,-0.15627477,-0.068708383,-0.210889742,0.115604254,-0.107740909
390,dark1_30,-0.154669387,-0.277149846,-0.054527754,0.059654274,-0.142178297,-0.197651307,-0.232462163,-0.260529328,-0.004382485,-0.211415649,-0.196079683,0.011583424,-0.291911934,0.080611791,0.296458005
