time,condition,2017-08-04_3d_L_1mM_02,2017-08-04_3d_L_1mM_05,2017-08-06_3d_L_1mM_02,2017-08-07_3d_L_1mM_02,2017-08-08_3d_L_1mM_02,2017-08-08_3d_L_1mM_05,2017-08-09_3d_L_1mM_07,2017-08-15_3d_L_1mM_02,2017-08-15_3d_L_1mM_05,2017-08-15_3d_L_1mM_08,2017-08-16_3d_L_1mM_02,2017-08-17_3d_L_1mM_02,2017-08-17_3d_L_1mM_05,2017-08-21_3d_L_1mM_05,2017-08-21_3d_L_1mM_08
30,dark_30,0.447055819,0.726307165,0.39396882,0.684993372,0.620576473,-0.033757892,0.163494351,0.023430241,0.666595508,0.02371058,0.290581734,0.47096588,0.229800383,1.031918468,0.159264878
60,dark_60,0.449242311,0.777911359,0.397125505,0.565027246,0.623468384,0.324352778,0.012755658,0.001595917,0.545426934,0.205246532,0.640698675,0.428498063,0.306386437,0.906219196,0.429107711
90,dark_90,0.496314572,0.781242432,0.39122232,0.454270089,0.511104386,0.462176682,-0.013246327,0.194946837,0.26811762,0.334236369,0.547369924,0.244583038,0.254694346,0.559544078,0.305989224
120,dark_120,0.410426833,0.538692275,0.350608336,0.258704744,0.378074574,0.421200763,-0.072647266,0.275871722,0.098630348,0.417830173,0.370410757,0.117606348,0.106204982,0.348336698,0.238309229
150,dark_150,0.264841962,0.414052725,0.301147834,0.12487429,0.261528251,3.74E-01,-0.113836472,0.213337844,0.100628797,0.3660426,0.262901234,0.006472244,-0.015125102,0.209885478,0.092840487
180,dark_180,0.219356614,0.232797383,0.259286775,0.00880764,0.215339898,0.305873243,-0.106882149,0.116348304,0.038225011,0.360936947,0.168785429,-0.126847591,-0.075955759,0.113246982,0.075915606
210,dark_210,0.122713306,0.253462213,0.178287686,0.017826146,0.17570906,0.255270651,-0.089827871,0.088914085,0.019517317,0.381669109,0.08760293,-0.087965643,-0.095017296,0.069674493,0.081368112
240,dark_240,0.144698114,0.133157474,0.181516885,0.083674058,0.152329474,0.232207799,-0.08130033,0.136799651,0.006618276,0.243070443,0.061784638,-0.118647072,-0.076592385,0.085825814,0.034564022
270,sideUV_30,0.069586394,0.103469282,0.1731562,0.064501856,0.092532914,0.17747291,-0.081023248,0.033656409,0.030551427,0.055320749,0.052446624,-0.140804917,-0.120053425,0.022317988,-0.22369843
300,sideUV_60,0.025982823,-0.11920508,0.029867932,0.040683002,0.049334399,0.191941483,-0.138560515,-0.073705705,-0.057645844,-0.092447336,0.083937866,-0.256489318,-0.166098241,0.028701371,-0.19575702
