time,condition,2017-07-01_3d_NNxNN_08,2017-07-01_3d_NNxNN_09,2017-07-02_3d_NNxNN_04,2017-07-03_3d_NNxNN_05,2017-07-04_3d_NNxNN_02,2017-07-03_3d_NNxNN_06,2017-07-06_3d_NNxNN_01
30,dark_30,-0.014542399,0.04402281,0.395943829,-0.401217092,-0.474909315,-0.535959625,-0.456640281
60,dark_60,-0.217705801,-0.101232856,0.085170928,-0.495237424,-0.501831634,-0.441981277,-0.426059365
90,dark_90,-0.286731451,-0.156964477,-0.082575603,-0.442410885,-0.371747445,-0.36953727,-0.35265736
120,dark_120,-0.248436158,-0.142328789,-0.115822737,-0.385384158,-0.255773592,-0.313470396,-0.276206531
150,dark_150,-0.163312614,-0.087651149,-0.148809732,-0.354239355,-0.128963273,-0.271176834,-0.260445633
180,dark_180,-0.143858219,-0.104814697,-0.108361539,-0.290937312,-0.036391221,-0.247531663,-0.226815137
210,dark_210,-0.14142243,-0.100320638,-0.107147133,-0.22702974,-0.027454701,-0.183506357,-0.205463243
240,dark_240,-0.083020024,-0.161439559,-0.128116389,-0.176618115,-0.027390269,-0.119271262,-0.191230961
270,sideUV_30,-0.26550541,-0.200108401,-0.248558434,-0.133994203,-0.14728624,-0.238143517,-0.17196439
300,sideUV_60,-0.388534556,-0.254760632,-0.427446951,-0.192277736,-0.158349511,-0.188396031,-0.191922471
330,sideUV_90,-0.401229863,-0.308243546,-0.542423729,-0.135911612,-0.19373531,-0.197279794,-0.177939188
360,sideUV_120,-0.383023602,-0.306730309,-0.540076441,-0.10622002,-0.167652844,-0.16098307,-0.209012241
390,dark1_30,-0.113077129,-0.226208766,-0.193705234,-0.146318251,-0.113921412,-0.186658532,-0.2311048
420,dark1_60,-0.164938753,-0.308853742,-0.31491918,-0.101503375,-0.113413606,-0.176167408,-0.228118858
450,dark1_90,-0.17866934,-0.176040522,-0.242568542,-0.170337888,-0.040312804,-0.169040683,-0.179454537
480,dark1_120,-0.043918253,-0.147159251,-0.061309598,-0.067846022,0.006306843,-0.135960416,-0.197012015
510,top488_30,0.126377708,0.087435406,0.250129003,0.067992247,0.353857917,-0.062275983,-0.035170555
540,top488_60,0.297110678,0.169490929,0.348794405,0.257389173,0.470712912,0.106002705,0.073965596
570,top488_90,0.386203188,0.254394915,0.408037593,0.346146829,0.383412718,0.139315919,0.100955461
600,top488_120,0.422575285,0.25121894,0.380935768,0.290489406,0.285176737,0.140580115,0.170812704
630,dark2_30,0.195533882,0.117334557,0.189198982,-0.04847573,-0.268139092,-0.058542712,-0.371366285
660,dark2_60,-0.096043905,-0.114438708,-0.145198141,-0.220992969,-0.265636537,-0.175716843,-0.320431713
690,dark2_90,-0.013037256,-0.059049156,-0.034691598,-0.158798073,-0.13199225,-0.09334811,-0.217623843
720,dark2_120,0.001040112,0.010227298,0.07645435,-0.018446376,-0.120828939,0.005318015,-0.099361758
750,top395_30,-0.008898895,0.050785202,0.15609768,0.142467174,0.19105782,-0.020908678,0.117851086
780,top395_60,-0.38288061,-0.276502111,-0.294241201,0.007525889,0.182312251,-0.016258381,0.072797521
810,top395_90,-0.618363023,-0.456381812,-0.700009725,-0.05978076,0.061925028,-0.13867734,-0.029148042
840,top395_120,-0.585722291,-0.508595482,-0.793774223,-0.177757458,0.033509724,-0.193278127,-0.182308966
870,dark3_30,-0.356411349,-0.38959127,-0.289501739,-0.378663617,-0.350937652,-0.24391153,-0.438356431
900,dark3_60,-0.381439666,-0.371715412,-0.528841996,-0.47222121,-0.259928638,-0.264250615,-0.335504824
930,dark3_90,-0.131720948,-0.204169582,-0.38378421,-0.3330902,-0.148589175,-0.149721308,-0.288253882
960,dark3_120,-0.014256338,-0.078571571,-0.239946623,-0.124033105,-0.144327039,-0.14970995,-0.188473631
990,dark3_150,-0.005117048,-0.041098862,-0.160332154,-0.071103031,-0.044342597,-0.113413421,-0.158513488
1020,dark3_180,-0.091451337,-0.041174957,-0.159809814,-0.083723067,0.025844785,-0.096333947,-0.159560466
