time,condition,2017-06-23_3d_nnxnn_00,2017-07-01_3d_nnxnn_06,2017-07-03_3d_nnxnn_00,2017-07-04_3d_nnxnn_00,2017-07-07_3d_nnxnn_00
30,dark_30,-0.826854005,-0.085153579,-0.475747457,-0.437946093,0.057607962
60,dark_60,-0.529360514,-0.111534649,-0.378965923,-0.317179118,-0.039184525
90,dark_90,-0.341615304,-0.112253864,-0.289628361,-0.267252174,-0.07865115
120,dark_120,-0.197723058,-0.085288595,-0.235572317,-0.2604137,-0.091200395
150,dark_150,-0.11373427,-0.032816833,-0.194892919,-0.218155117,-0.109116139
180,dark_180,-0.063263066,-0.018356978,-0.155324855,-0.18748315,-0.10409539
210,dark_210,-0.014817761,0.003698295,-0.093622562,-0.158714657,-0.106897127
240,dark_240,0.017166597,0.025752103,-0.060943968,-0.13924376,-0.107827186
270,sideUV_30,0.04785006,-0.11859739,-0.095106831,-0.207232313,-0.09965754
300,sideUV_60,-0.015304606,-0.113389434,-0.006760014,-0.184103423,-0.074511872
330,sideUV_90,-0.035882741,-0.155923921,-0.007843268,-0.166636394,-0.060064828
360,sideUV_120,-0.028893488,-0.141226116,0.006221736,-0.134924334,-0.070382377
390,dark1_30,-0.094014033,-0.179794858,-0.023092327,-0.120683936,-0.091459677
420,dark1_60,-0.079734087,-0.16973189,-0.031882065,-0.051630546,-0.083951162
450,dark1_90,-0.054690903,-0.123142582,-0.055568096,-0.035360931,-0.046375107
480,dark1_120,0.00084536,-0.10970369,-0.05495811,-0.069146904,-0.036913863
510,top488_30,0.228919352,-0.01491128,0.13593387,0.094742025,0.069330363
540,top488_60,0.18521134,0.140601816,0.214067966,0.085795943,0.111188279
570,top488_90,0.13943729,0.191447238,0.227105283,0.097338976,0.083927032
600,top488_120,0.164123612,0.194596155,0.234665123,0.090174392,0.058122415
630,dark2_30,-0.062716487,0.077561131,-0.110037068,-0.201107116,-0.125667116
660,dark2_60,-0.087048253,0.082146392,-0.103618089,-0.068167343,-0.117452881
690,dark2_90,-0.012629764,0.128473518,-0.059432749,0.073109825,-0.091612304
720,dark2_120,0.05520913,0.158720065,-0.051015284,0.080698388,-0.047394635
750,top395_30,0.212640699,0.153069491,0.153804382,0.245952679,-0.017749513
780,top395_60,0.087848606,0.067934934,0.148403184,0.18035842,0.072505714
810,top395_90,-0.035661621,-0.09055841,0.083699134,0.135412449,0.12398711
840,top395_120,-0.140872923,-0.2013256,0.040479732,0.096740508,0.079302575
870,dark3_30,-0.355084478,-0.293151617,-0.239090614,-0.138857836,0.030259314
900,dark3_60,-0.362814548,-0.281606511,-0.223559875,-0.015080922,-0.081128285
930,dark3_90,-0.238113395,-0.231083184,-0.201754887,0.063278199,-0.221374893
960,dark3_120,-0.154626456,-0.194337948,-0.204336051,0.101522211,-0.170701339
990,dark3_150,-0.105825925,-0.092354108,-0.173761735,0.09306391,-0.134332605
1020,dark3_180,-0.003514759,-0.077690032,-0.139727476,0.12583567,-0.13594945
