time,condition,2017-06-28_3d_nnxnn_01,2017-07-01_3d_nnxnn_07
30,dark_30,-0.2375737,-0.014828576
60,dark_60,-0.176565032,-0.188987013
90,dark_90,-0.168345724,-0.237527856
120,dark_120,-0.180735773,-0.232305859
150,dark_150,-0.193354029,-0.206755097
180,dark_180,-0.202427165,-0.183556164
210,dark_210,-0.206563903,-0.170950373
240,dark_240,-0.20943938,-0.127282603
270,sideUV_30,-0.209737138,-0.10006102
300,sideUV_60,-0.157313526,-0.088835625
330,sideUV_90,-0.145413067,-0.0804551
360,sideUV_120,-0.127034491,-0.120179364
390,dark1_30,-0.162612484,-0.164775805
420,dark1_60,-0.15206659,-0.216039241
450,dark1_90,-0.122048081,-0.199717149
480,dark1_120,-0.11881826,-0.13544593
510,top488_30,-0.000812834,-0.045564416
540,top488_60,0.048534707,0.125071053
570,top488_90,0.051303855,0.192095206
600,top488_120,0.028576413,0.209287259
630,dark2_30,-0.253824451,-0.059929522
660,dark2_60,-0.201183502,-0.121302387
690,dark2_90,-0.147358908,-0.110164428
720,dark2_120,-0.070818731,-0.081547748
750,top395_30,0.156590952,0.049831199
780,top395_60,0.128413895,0.092211018
810,top395_90,0.05593897,0.062652498
840,top395_120,0.010977048,-0.054275869
870,dark3_30,-0.313276161,-0.205959797
900,dark3_60,-0.234693142,-0.246549275
930,dark3_90,-0.137769619,-0.232171072
960,dark3_120,-0.064918907,-0.239959026
990,dark3_150,-0.061055319,-0.170131271
1020,dark3_180,-0.055268904,-0.151142191
