time,condition,2017-06-23_3d_nnxnn_02,2017-06-24_3d_nnxnn_00,2017-06-24_3d_nnxnn_01,2017-06-27_3d_nnxnn_02,2017-06-28_3d_nnxnn_00,2017-07-03_3d_nnxnn_01,2017-07-03_3d_nnxnn_02
30,dark_30,-0.406127076,-0.130964646,-0.265646192,-0.152293883,-0.10197554,-0.305237443,-0.234768164
60,dark_60,-0.30012066,-0.086904961,-0.140747087,-0.066453249,-0.064890072,-0.115636006,-0.322096785
90,dark_90,-0.223341498,-0.078138191,-0.161736565,-0.055491539,-0.123334544,-0.017560683,-0.289478166
120,dark_120,-0.20049632,-0.048885282,-0.174935482,-0.069023887,-0.13492616,0.04833153,-0.253897015
150,dark_150,-0.176819037,-0.043648414,-0.153445786,-0.081829433,-0.131534407,0.118592763,-0.23258444
180,dark_180,-0.163122374,-0.046915503,-0.13159176,-0.105973707,-0.142344979,0.113518699,-0.161972838
210,dark_210,-0.162749822,-0.059699219,-0.103624747,-0.105397242,-0.117988553,0.144731045,-0.11299951
240,dark_240,-0.161147463,-0.05947839,-0.093519777,-0.0891675,-0.114927474,0.063444458,-0.083803068
270,sideUV_30,-0.05124718,-0.077753966,-0.049809089,-0.168073474,-0.1239131,-0.019379906,-0.063571496
300,sideUV_60,-0.071710646,-0.050636269,0.055528379,-0.104187529,-0.020864853,0.07084543,-0.052703661
330,sideUV_90,-0.060096259,-0.046707564,0.064489096,-0.14765729,-0.006698542,0.098575422,-0.030276967
360,sideUV_120,-0.070519983,-0.042867831,0.006245057,-0.14046525,-0.023162898,0.049785752,-0.053714518
390,dark1_30,-0.153747892,-0.10380528,-0.098334304,-0.186471966,-0.089453766,-0.075530894,-0.138413134
420,dark1_60,-0.142578039,-0.123899544,-0.101026418,-0.149381495,-0.102502821,-0.035690177,-0.125486349
450,dark1_90,-0.094424401,-0.101738446,-0.109150444,-0.09765311,-0.087075322,0.011844618,-0.132745246
480,dark1_120,-0.105558994,-0.067947882,-0.079311433,-0.08954329,-0.11304618,0.005404777,-0.047167712
510,top488_30,0.122067774,0.205501635,0.168317987,0.200173016,0.134038238,0.297647969,0.026343702
540,top488_60,0.2133336,0.224410026,0.231191786,0.225432711,0.127182648,0.350842446,0.059387293
570,top488_90,0.191288893,0.189175194,0.192647589,0.179584867,0.119348292,0.309198038,0.064249328
600,top488_120,0.090640299,0.157414139,0.146973582,0.113872493,0.095089162,0.226016864,0.048859113
630,dark2_30,-0.173147654,-0.156081142,-0.228708769,-0.24505299,-0.151580205,-0.18745716,-0.154846824
660,dark2_60,-0.24833271,-0.22236783,-0.266022301,-0.266694564,-0.172212823,-0.331760735,-0.192176851
690,dark2_90,-0.157827543,-0.182678589,-0.16773917,-0.194711857,-0.164595618,-0.218549245,-0.132826813
720,dark2_120,-0.151875343,-0.139390418,-0.109188962,-0.163114117,-0.127647532,-0.14259179,-0.112211268
750,top395_30,0.080751521,0.142002073,0.199166943,0.107306989,0.130155809,0.198579538,0.053594394
780,top395_60,0.117935572,0.15916193,0.22739638,0.127655878,0.108742149,0.253474671,0.065038409
810,top395_90,0.074436339,0.098726938,0.162875961,0.062349197,0.07321527,0.196368423,0.058029816
840,top395_120,0.00341997,0.052674659,0.103027063,0.017712759,0.037032708,0.083141591,0.021921044
870,dark3_30,-0.269724998,-0.255749067,-0.269766474,-0.274386478,-0.226840547,-0.353162824,-0.160217509
900,dark3_60,-0.211836408,-0.237099007,-0.281462326,-0.252452181,-0.195802941,-0.229839589,-0.255822882
930,dark3_90,-0.172447349,-0.178512608,-0.213354841,-0.193875046,-0.158085864,-0.162534054,-0.136517869
960,dark3_120,-0.132910513,-0.129083724,-0.141326005,-0.134649488,-0.09111431,-0.09327581,-0.079595883
990,dark3_150,-0.117339356,-0.080672959,-0.058876819,-0.130025422,-0.056812139,0.005875401,-0.047648145
1020,dark3_180,-0.134378122,-0.031677284,-0.092938119,-0.089111263,-0.038689654,-0.015023788,0.001145705
