 ,Mean1
1,177.107
2,171.497
3,166.239
4,161.629
5,157.690
6,153.202
7,148.935
8,145.410
9,141.782
10,139.245
11,134.825
12,133.148
13,129.140
14,125.662
15,125.037
16,124.072
17,121.699
18,119.216
19,116.989
20,115.590
21,113.951
22,111.385
23,111.086
24,109.796
25,107.085
26,106.033
27,105.482
28,103.799
29,102.270
30,101.957
31,100.253
32,99.290
33,98.143
34,97.478
35,97.112
36,97.396
37,95.514
38,95.184
39,94.408
40,95.089
41,94.952
42,93.979
43,92.990
44,92.895
45,92.909
46,93.515
47,93.360
48,94.771
49,94.466
50,94.278
51,94.037
52,95.513
53,94.631
54,94.444
55,95.122
56,94.739
57,93.076
58,91.518
59,91.429
60,90.887
61,90.809
62,89.973
63,89.473
64,89.959
65,90.126
66,89.816
67,89.484
68,89.814
69,89.856
70,89.769
71,89.611
72,90.309
73,90.374
74,90.423
75,91.214
76,90.958
77,90.776
78,90.858
79,90.323
80,90.604
81,89.451
82,89.304
83,88.829
84,88.754
85,88.685
86,88.972
87,90.281
88,90.310
89,89.688
90,89.300
91,89.271
92,89.525
93,88.930
94,89.264
95,88.747
96,88.560
97,88.678
98,88.204
99,88.385
100,89.112
101,88.056
102,89.116
103,88.948
104,89.894
105,90.593
106,89.672
107,90.438
108,90.000
109,90.937
110,91.114
111,91.794
112,90.603
113,91.193
114,91.529
115,92.165
116,92.790
117,93.529
118,93.997
119,94.741
120,94.821
121,95.311
122,94.948
123,94.011
124,94.966
125,94.942
126,94.848
127,95.997
128,96.197
129,95.372
130,96.114
131,96.542
132,96.144
133,124.750
134,131.644
135,135.254
136,134.814
137,133.346
138,132.087
139,129.081
140,127.243
141,124.785
142,122.818
143,120.791
144,119.506
145,115.948
146,114.650
147,111.483
148,110.974
149,109.907
150,107.900
151,106.841
152,106.586
153,106.370
154,104.008
155,103.880
156,103.713
157,103.321
158,102.993
159,103.396
160,104.917
161,104.813
162,105.436
163,106.778
164,106.710
165,108.156
166,109.616
167,111.910
168,113.083
169,114.360
170,116.719
171,117.210
172,118.512
173,119.047
174,119.506
175,122.290
176,123.581
177,123.044
178,124.237
179,125.288
180,126.348
181,127.609
182,129.306
183,129.640
184,129.255
185,128.962
186,129.516
187,128.781
188,130.262
189,129.101
190,130.174
191,128.990
192,129.689
193,129.098
194,129.500
195,128.564
196,128.204
197,127.738
198,128.125
199,127.486
200,126.491
201,126.472
202,127.286
203,124.816
204,125.340
205,126.169
206,125.036
207,124.890
208,123.727
209,123.909
210,124.763
211,123.707
212,123.086
213,123.166
214,122.562
215,122.571
216,121.120
217,121.061
218,120.493
219,120.815
220,121.175
221,120.436
222,118.086
223,119.375
224,117.592
225,117.791
226,117.234
227,115.687
228,115.516
229,115.535
230,114.776
231,114.575
232,114.522
233,113.027
234,113.133
235,112.516
236,111.571
237,110.886
238,111.909
239,110.673
240,110.009
241,110.345
242,109.228
243,109.151
244,108.270
245,107.878
246,109.142
247,106.971
248,106.043
249,106.034
250,105.500
251,105.459
252,105.855
253,105.125
254,104.076
255,103.922
256,104.597
257,103.037
258,103.147
259,100.666
260,96.311
261,93.602
262,89.343
263,86.650
