 ,Mean1
1,196.293
2,191.165
3,186.223
4,182.358
5,178.023
6,174.065
7,170.872
8,168.362
9,164.518
10,162.662
11,156.887
12,158.830
13,156.628
14,156.597
15,155.849
16,151.907
17,149.786
18,148.569
19,148.981
20,149.768
21,147.078
22,146.416
23,146.220
24,146.424
25,145.271
26,143.954
27,145.234
28,145.049
29,142.619
30,141.221
31,141.202
32,141.607
33,142.962
34,142.005
35,143.204
36,140.386
37,140.523
38,141.992
39,143.092
40,141.007
41,139.269
42,139.587
43,138.877
44,139.087
45,142.290
46,141.395
47,137.928
48,137.655
49,140.220
50,140.835
51,138.284
52,138.503
53,137.896
54,136.731
55,137.478
56,134.635
57,136.664
58,133.969
59,132.086
60,123.540
61,126.452
62,125.200
63,123.219
64,122.070
65,118.682
66,121.430
67,119.497
68,118.920
69,117.917
70,115.547
71,111.580
72,113.759
73,110.053
74,106.990
75,106.680
76,104.544
77,102.808
78,102.571
79,100.589
80,99.953
81,97.879
82,95.335
83,91.991
84,91.926
85,92.492
86,90.050
87,93.291
88,93.082
89,90.295
90,91.684
91,90.356
92,89.937
93,89.877
94,91.334
95,89.210
96,90.673
97,91.662
98,92.286
99,92.667
100,93.066
101,93.550
102,92.961
103,96.937
104,92.850
105,95.827
106,93.493
107,93.299
108,89.947
109,88.266
110,88.446
111,87.949
112,89.450
113,88.554
114,90.660
115,90.917
116,92.810
117,93.298
118,95.316
119,95.161
120,96.460
121,95.326
122,96.203
123,96.242
124,99.138
125,99.403
126,98.521
127,97.913
128,99.163
129,100.559
130,100.170
131,99.838
132,99.272
133,100.882
134,108.183
135,111.795
136,109.769
137,103.601
138,97.071
139,89.916
140,85.178
141,79.759
142,75.922
143,71.245
144,67.421
145,64.703
146,61.035
147,57.477
148,54.930
149,53.181
150,50.160
151,49.199
152,48.518
153,48.367
154,46.375
155,45.261
156,44.632
157,44.611
158,42.857
159,42.355
160,41.066
161,39.894
162,38.186
163,38.619
164,37.625
165,38.073
166,38.396
167,36.452
168,38.128
169,38.484
170,36.924
171,37.155
172,37.157
173,37.019
174,37.225
175,36.860
176,36.593
177,35.936
178,36.296
179,36.633
180,35.728
181,35.795
182,36.030
183,37.473
184,37.360
185,37.516
186,37.983
187,39.005
188,38.500
189,38.318
190,37.676
191,38.457
192,39.794
193,39.075
194,39.130
195,40.223
196,39.049
197,41.676
198,40.648
199,40.452
200,40.387
201,40.873
202,40.930
203,41.311
204,41.952
205,42.176
206,43.128
207,42.637
208,43.365
209,43.599
210,42.413
211,42.599
212,43.303
213,42.891
214,43.232
215,42.818
216,42.094
217,41.634
218,40.794
219,41.572
220,42.239
221,42.021
222,42.221
223,41.063
224,42.143
225,42.333
226,41.103
227,40.834
228,40.086
229,38.851
230,38.336
231,37.537
232,38.762
233,38.338
234,38.207
235,38.406
236,38.407
237,38.080
238,37.995
239,38.070
240,38.313
241,38.528
242,37.676
243,38.119
244,37.667
245,37.828
246,38.619
247,36.990
248,37.713
249,37.818
250,37.801
251,37.270
252,37.624
253,36.821
254,38.072
255,36.585
256,36.378
257,36.128
258,36.316
259,35.967
260,36.437
261,36.181
262,35.413
263,35.945
264,36.403
265,35.999
266,36.252
267,35.006
268,34.909
269,35.922
270,34.710
271,35.383
272,34.590
273,35.415
274,34.631
275,34.098
276,33.675
277,34.323
278,34.329
279,34.770
280,33.980
281,34.133
282,33.674
283,34.610
284,34.545
285,34.318
286,33.078
287,33.632
288,33.934
289,32.944
290,33.732
291,33.318
292,32.596
293,32.491
294,31.252
295,31.240
296,31.646
297,30.437
298,29.797
299,30.706
300,30.733
301,30.074
302,30.936
303,30.315
304,29.866
305,30.111
306,29.588
307,29.460
308,28.746
309,28.867
310,29.699
311,29.038
312,29.082
313,29.882
314,29.481
315,28.838
316,28.168
317,28.211
318,28.955
319,28.501
320,28.510
321,28.614
322,28.693
323,28.578
324,28.790
325,28.245
326,28.568
327,28.036
328,27.449
329,27.868
330,28.244
331,27.587
332,27.741
333,27.404
334,27.374
335,26.706
336,26.326
337,26.729
338,25.525
339,25.777
340,26.115
341,26.132
342,26.550
343,26.081
344,26.369
345,25.664
346,25.265
347,24.930
348,24.310
349,23.904
350,23.327
351,23.703
352,23.457
353,22.839
354,22.928
355,23.325
356,22.703
357,22.441
358,22.325
359,21.740
360,22.449
361,21.783
362,22.628
363,22.001
364,22.113
365,21.902
366,21.589
367,21.221
368,22.026
369,21.104
370,20.811
371,21.115
372,21.703
373,21.811
374,21.167
375,20.993
376,21.264
377,20.768
378,20.943
379,21.178
380,21.678
381,21.415
382,21.530
383,21.390
384,21.339
385,21.293
386,21.401
387,21.077
388,20.557
389,20.813
390,20.923
391,20.818
392,20.908
393,20.731
394,21.103
395,20.551
396,20.594
397,21.002
398,20.697
399,19.854
400,20.134
401,19.887
402,20.132
403,20.373
404,20.301
405,20.437
406,20.451
407,20.284
408,20.150
409,20.108
410,19.908
411,20.138
412,19.897
413,20.132
414,19.867
415,19.404
416,19.370
417,20.052
418,19.986
419,19.947
420,19.841
421,19.416
422,19.558
423,19.936
424,19.507
425,19.893
426,19.738
427,19.499
428,19.659
429,19.443
430,19.565
431,20.183
432,20.033
433,19.924
434,19.631
435,19.702
436,19.788
437,19.254
438,19.742
439,19.172
440,19.988
441,19.353
442,19.093
443,19.522
444,19.564
445,19.560
446,19.166
447,19.422
448,19.214
449,19.378
450,18.805
451,19.573
452,19.219
453,19.290
454,18.970
455,19.616
456,19.579
457,19.872
458,18.834
459,19.494
460,18.821
461,19.014
462,19.153
463,18.892
464,19.389
465,18.977
466,18.399
467,19.070
468,19.036
469,19.234
470,18.977
471,18.747
472,18.463
473,18.646
474,18.148
475,17.909
476,18.358
477,18.386
478,18.869
479,18.619
480,18.723
481,18.340
482,18.236
483,18.444
484,19.015
485,18.491
486,18.699
487,18.217
488,18.300
489,18.921
490,18.829
491,18.470
492,18.396
493,18.851
494,18.812
