 ,Mean1
1,96.265
2,93.283
3,89.806
4,89.679
5,88.305
6,85.152
7,79.391
8,78.689
9,77.392
10,76.473
11,75.545
12,74.030
13,72.545
14,70.271
15,70.742
16,69.517
17,69.198
18,70.935
19,70.419
20,70.294
21,70.582
22,70.425
23,68.492
24,69.826
25,69.085
26,69.230
27,68.934
28,67.338
29,64.011
30,65.847
31,66.992
32,66.531
33,69.518
34,67.757
35,69.304
36,68.033
37,69.145
38,66.689
39,63.956
40,62.344
41,63.230
42,67.158
43,72.442
44,71.367
45,76.236
46,74.709
47,76.719
48,75.036
49,76.058
50,74.310
51,74.015
52,74.565
53,72.497
54,71.372
55,71.113
56,72.613
57,70.615
58,69.652
59,69.986
60,69.249
61,67.198
62,65.545
63,66.443
64,67.745
65,64.286
66,67.358
67,67.016
68,67.899
69,67.723
70,67.666
71,69.436
72,66.769
73,65.035
74,68.525
75,67.167
76,67.946
77,68.265
78,69.384
79,67.908
80,69.105
81,70.338
82,68.794
83,71.414
84,71.054
85,72.356
86,73.592
87,73.475
88,74.336
89,75.404
90,76.091
91,75.145
92,77.009
93,74.603
94,75.512
95,74.422
96,74.028
97,73.666
98,74.406
99,71.399
100,72.828
101,71.413
102,72.423
103,66.074
104,65.783
105,72.601
106,68.650
107,71.389
108,75.487
109,74.801
110,75.022
111,75.022
112,76.131
113,75.328
114,75.156
115,74.880
116,76.813
117,76.870
118,78.918
119,77.014
120,77.418
121,77.679
122,74.570
123,74.780
124,73.725
125,74.447
126,74.323
127,75.023
128,75.701
129,72.423
130,71.757
131,72.437
132,69.110
133,68.750
134,67.990
135,67.138
136,64.878
137,61.813
138,60.740
139,59.010
140,57.938
141,54.845
142,54.138
143,53.472
144,51.073
145,49.609
146,48.862
147,45.887
148,44.875
149,44.582
150,44.369
151,43.123
152,42.021
153,40.936
154,40.594
155,41.209
156,41.516
157,40.109
158,39.791
159,39.733
160,40.643
161,41.492
162,42.633
163,44.038
164,42.182
165,42.731
166,42.428
167,44.073
168,42.419
169,42.525
170,41.442
171,42.921
172,43.883
173,44.553
174,43.048
175,43.182
176,41.975
177,42.512
178,41.931
179,41.335
180,41.577
181,41.840
182,42.352
183,42.065
184,44.289
185,45.325
186,44.014
187,44.591
188,44.835
189,45.123
190,45.439
191,44.037
192,46.169
193,45.326
194,45.019
195,45.811
196,45.393
197,45.523
198,44.578
199,44.252
200,46.482
201,44.864
202,44.857
203,44.759
204,43.815
205,43.529
206,44.345
207,44.057
208,44.864
209,44.035
210,44.523
211,44.206
212,43.630
213,42.651
214,39.941
215,40.053
216,41.998
217,41.256
218,41.157
219,41.779
220,45.690
221,51.045
222,58.592
223,60.906
224,60.525
225,60.335
226,59.653
227,59.281
228,57.564
229,59.770
230,58.096
231,59.895
232,55.986
233,55.388
234,58.154
235,56.521
236,57.523
237,58.377
238,57.850
239,56.873
240,58.809
241,57.989
242,57.591
243,57.586
244,58.411
245,56.899
246,58.147
247,58.790
248,57.611
249,57.890
250,57.384
251,57.133
252,57.324
253,56.960
254,56.907
255,56.318
256,57.257
257,57.955
258,57.353
259,54.341
260,58.197
261,51.408
262,49.824
263,50.496
264,52.725
265,53.130
266,52.462
267,54.080
268,51.131
269,52.492
270,50.642
271,49.755
272,51.394
273,50.980
274,50.923
275,51.791
276,53.063
277,52.594
278,50.797
279,53.314
280,52.745
281,51.745
282,52.325
283,53.285
284,53.201
285,54.489
286,52.943
287,53.984
288,53.906
289,53.397
290,53.501
291,53.636
292,55.383
293,54.012
294,53.584
295,54.030
296,52.922
297,53.957
298,51.526
299,51.709
300,53.845
301,55.221
302,54.177
303,54.373
304,54.650
305,52.631
306,52.672
307,51.918
308,51.457
309,50.792
310,50.555
311,49.570
312,51.398
313,50.619
314,50.251
315,51.636
316,51.425
317,51.942
318,49.675
319,47.804
320,50.116
321,51.148
322,50.986
323,49.071
324,48.790
325,48.937
326,47.812
327,48.150
328,48.543
329,47.923
330,49.679
331,52.353
332,50.948
333,52.543
334,52.437
335,50.084
336,51.049
337,50.585
338,49.148
339,44.791
340,47.187
341,45.477
342,48.964
343,47.786
344,47.101
345,46.861
346,49.011
347,48.379
348,47.640
349,47.777
350,47.301
351,45.653
352,48.411
353,48.315
354,49.521
355,47.665
356,47.504
357,48.216
358,49.053
359,49.526
360,47.275
361,50.330
362,49.682
363,51.461
364,49.984
365,50.945
366,51.619
367,51.405
368,52.845
369,52.516
370,53.119
371,52.041
372,53.015
373,53.564
374,52.951
375,52.759
376,51.784
377,53.313
378,53.584
379,51.538
380,53.164
381,50.806
382,54.548
383,53.696
384,53.521
385,53.630
386,52.884
