 ,Mean1
1,124.285
2,120.625
3,116.727
4,114.403
5,112.779
6,112.480
7,108.242
8,104.647
9,105.527
10,97.449
11,92.546
12,97.240
13,97.263
14,97.673
15,99.026
16,95.598
17,89.834
18,90.536
19,88.135
20,86.082
21,86.627
22,84.915
23,82.941
24,83.479
25,81.997
26,82.001
27,81.146
28,79.962
29,80.916
30,78.906
31,78.881
32,78.459
33,80.094
34,78.334
35,76.309
36,78.348
37,77.768
38,78.776
39,77.875
40,77.841
41,77.338
42,77.043
43,78.939
44,79.587
45,78.869
46,75.560
47,79.932
48,80.262
49,80.186
50,79.858
51,81.962
52,79.262
53,79.614
54,79.675
55,81.153
56,81.699
57,82.116
58,81.864
59,81.062
60,80.563
61,81.417
62,80.832
63,79.275
64,77.818
65,77.893
66,78.815
67,79.945
68,79.185
69,78.341
70,80.395
71,79.182
72,78.938
73,78.728
74,79.826
75,79.835
76,79.249
77,79.975
78,77.443
79,77.069
80,76.238
81,76.057
82,76.315
83,75.235
84,77.698
85,73.708
86,72.231
87,72.401
88,71.968
89,72.215
90,73.343
91,73.314
92,73.677
93,74.747
94,74.775
95,75.022
96,74.896
97,77.065
98,76.673
99,75.601
100,76.525
101,76.354
102,75.652
103,75.402
104,77.056
105,78.545
106,78.145
107,78.520
108,79.490
109,80.979
110,80.057
111,80.519
112,81.212
113,81.639
114,81.639
115,82.009
116,79.442
117,79.575
118,79.123
119,81.872
120,81.608
121,80.040
122,79.647
123,78.243
124,79.858
125,80.252
126,75.610
127,74.271
128,75.417
129,72.043
130,72.552
131,73.288
132,72.132
133,70.450
134,69.224
135,72.748
136,71.327
137,73.537
138,72.144
139,72.292
140,76.065
141,78.351
142,79.792
143,81.108
144,79.752
145,82.589
146,89.124
147,92.628
148,92.206
149,92.720
150,93.090
151,95.182
152,95.350
153,96.204
154,100.282
155,100.007
156,101.612
157,102.783
158,107.273
159,108.410
160,110.042
161,118.456
162,118.925
163,122.227
164,141.332
165,147.321
166,152.810
167,159.990
168,165.921
169,174.571
170,180.463
171,189.308
172,196.240
173,199.965
174,208.183
175,212.199
176,216.088
177,216.518
178,216.148
179,217.950
180,217.044
181,218.818
182,219.979
183,217.803
184,219.625
185,221.183
186,220.316
187,219.943
188,217.422
189,214.891
190,215.964
191,212.288
192,213.250
193,210.753
194,210.096
195,209.938
196,209.279
197,207.933
198,197.973
199,200.957
200,200.159
201,201.060
202,198.561
203,196.727
204,193.178
205,193.759
206,198.791
207,199.895
208,196.140
209,194.449
210,194.986
211,190.682
212,189.295
213,189.433
214,185.982
215,185.856
216,184.499
217,183.937
218,185.599
219,182.981
220,183.587
221,182.481
222,178.731
223,176.401
224,176.365
225,174.450
226,169.820
227,169.721
228,170.695
229,168.962
230,166.203
231,167.921
232,164.556
233,162.321
234,160.626
235,159.531
236,161.314
237,162.490
238,159.672
239,156.455
240,156.207
241,152.190
242,151.278
243,151.913
244,155.002
245,156.055
246,151.292
247,155.795
248,148.419
249,150.725
250,149.395
251,147.853
252,145.641
253,146.333
254,144.417
255,146.141
256,145.727
257,145.751
258,145.445
259,141.580
260,141.652
261,137.212
262,136.667
263,136.353
264,137.913
265,136.037
266,132.437
267,132.298
268,133.905
269,135.016
270,133.575
271,136.613
272,135.888
273,131.714
274,130.227
275,130.400
276,126.882
277,125.462
278,123.537
279,123.998
280,122.612
281,120.526
282,117.417
283,120.322
284,119.175
285,115.610
286,116.273
287,113.426
288,112.630
289,120.886
290,118.393
291,118.165
292,116.869
293,115.529
294,114.948
295,117.208
296,115.037
297,113.700
298,113.300
299,112.505
300,110.013
301,109.325
302,107.689
303,108.452
304,107.442
305,108.350
306,107.230
307,105.093
308,106.758
309,106.821
310,105.157
311,104.517
312,106.033
313,106.616
314,108.675
315,110.671
316,110.307
317,111.151
318,110.703
319,109.129
320,109.617
321,109.003
322,106.469
323,106.606
324,107.507
325,112.966
326,109.174
327,108.216
328,106.289
329,105.559
330,103.779
331,103.365
332,104.716
333,104.385
334,103.393
335,100.984
336,102.015
337,101.208
338,101.151
339,104.912
340,104.015
341,100.548
342,102.820
343,103.375
344,104.801
345,104.746
346,103.127
347,101.825
348,102.575
349,105.059
350,106.248
351,104.494
352,104.387
353,105.413
354,104.562
355,106.742
356,107.934
357,105.144
358,105.616
359,105.266
360,107.103
361,104.396
362,104.874
363,105.240
364,105.430
365,104.392
366,106.725
367,104.506
368,102.557
369,102.235
370,99.612
371,97.791
372,99.374
373,99.666
374,99.980
375,97.698
376,97.047
377,95.522
378,96.699
379,96.379
380,93.843
381,95.135
382,96.920
383,96.545
384,99.146
385,97.919
386,98.551
387,98.225
388,97.839
389,98.132
390,97.297
391,97.809
392,97.509
393,97.018
394,95.295
395,94.461
396,94.337
397,93.597
398,93.350
399,93.798
400,94.187
401,95.131
402,95.369
403,95.174
404,98.120
405,98.423
406,96.017
407,95.046
408,97.461
409,93.374
410,93.034
411,90.530
412,93.005
413,92.102
414,94.231
415,93.081
416,94.794
417,94.197
418,93.294
419,94.499
420,91.593
421,89.786
422,90.602
423,90.801
424,89.662
425,88.126
426,86.525
427,87.521
428,86.931
429,86.792
430,87.713
431,87.228
432,88.547
433,88.218
434,88.032
435,89.407
436,88.519
437,88.475
438,87.780
439,87.248
440,86.953
441,86.787
442,88.884
443,87.929
444,87.238
445,90.101
446,85.594
447,88.120
448,86.224
449,87.982
450,88.425
451,89.196
452,90.003
453,90.377
454,91.035
455,92.924
