 ,Mean1
1,157.411
2,154.403
3,150.370
4,146.822
5,143.529
6,138.568
7,137.298
8,136.474
9,133.269
10,128.056
11,133.323
12,133.376
13,133.474
14,127.016
15,121.798
16,118.566
17,116.628
18,115.949
19,118.226
20,117.053
21,109.489
22,101.207
23,99.556
24,101.500
25,103.040
26,102.301
27,102.729
28,101.208
29,99.102
30,100.540
31,99.645
32,98.619
33,98.272
34,96.478
35,100.412
36,102.470
37,101.821
38,99.414
39,96.924
40,95.162
41,93.487
42,92.524
43,98.041
44,94.916
45,95.281
46,94.753
47,93.501
48,94.486
49,92.741
50,94.999
51,93.830
52,93.459
53,95.463
54,94.534
55,93.877
56,96.521
57,97.506
58,98.077
59,97.551
60,98.457
61,97.184
62,102.239
63,105.435
64,101.189
65,101.224
66,101.277
67,103.085
68,100.090
69,100.649
70,99.515
71,98.883
72,95.766
73,96.213
74,94.513
75,98.360
76,96.729
77,96.082
78,95.125
79,97.164
80,96.657
81,99.049
82,100.908
83,105.336
84,112.143
85,110.222
86,113.893
87,117.561
88,120.564
89,125.174
90,121.319
91,119.019
92,114.987
93,116.494
94,113.770
95,112.583
96,112.511
97,110.935
98,109.676
99,106.472
100,105.411
101,103.313
102,103.006
103,103.660
104,99.987
105,89.030
106,97.083
107,100.595
108,100.047
109,98.902
110,101.707
111,101.603
112,102.405
113,102.938
114,106.036
115,102.590
116,100.395
117,97.186
118,93.573
119,91.775
120,94.091
121,93.524
122,91.909
123,91.225
124,90.500
125,94.522
126,89.908
127,90.673
128,88.320
129,88.466
130,87.361
131,89.136
132,108.055
133,121.912
134,125.444
135,126.222
136,127.764
137,127.990
138,122.345
139,122.203
140,117.895
141,112.835
142,107.341
143,101.855
144,96.715
145,92.308
146,92.223
147,87.971
148,90.616
149,88.696
150,90.402
151,88.786
152,84.760
153,84.681
154,85.586
155,85.955
156,85.482
157,86.786
158,88.907
159,91.423
160,96.306
161,100.770
162,109.822
163,114.116
164,112.745
165,114.374
166,116.331
167,119.685
168,121.270
169,124.320
170,129.556
171,135.544
172,140.649
173,143.326
174,142.921
175,145.764
176,148.041
177,148.319
178,148.455
179,146.478
180,147.720
181,149.392
182,154.182
183,153.370
184,152.694
185,151.632
186,150.221
187,147.554
188,145.398
189,146.886
190,145.902
191,144.669
192,146.068
193,141.278
194,139.668
195,139.593
196,140.351
197,138.727
198,137.996
199,140.394
200,139.010
201,132.964
202,132.997
203,134.114
204,132.608
205,132.964
206,131.410
207,129.062
208,129.003
209,127.508
210,128.660
211,127.778
212,126.847
213,126.857
214,126.050
215,127.476
216,124.726
217,124.684
218,125.274
219,122.986
220,122.295
221,124.206
222,122.152
223,122.818
224,120.241
225,121.213
226,121.792
227,121.512
228,121.320
229,121.328
230,120.197
231,118.906
232,116.764
233,116.674
234,113.161
235,113.922
236,112.630
237,112.494
238,109.359
239,110.779
240,111.485
241,109.264
242,108.684
243,108.248
244,107.730
245,107.001
246,106.697
247,103.380
248,105.675
249,104.189
250,100.056
251,102.838
252,101.685
253,101.505
254,102.159
255,100.553
256,101.965
257,101.399
258,101.050
259,98.318
260,98.707
261,97.830
262,93.823
263,90.832
264,88.632
265,85.458
266,83.906
267,81.878
268,81.963
269,77.886
270,78.503
271,77.827
272,77.194
273,73.632
274,75.027
275,73.872
276,73.093
277,71.989
278,72.323
279,72.184
280,71.764
281,71.388
282,71.778
283,71.161
284,71.682
285,72.563
286,71.695
287,72.172
288,70.776
289,70.416
