 ,Mean1
1,225.751
2,217.521
3,210.312
4,205.055
5,200.115
6,194.066
7,190.019
8,181.906
9,179.546
10,174.139
11,171.654
12,168.777
13,164.863
14,162.109
15,157.083
16,154.728
17,152.752
18,151.255
19,149.573
20,148.608
21,147.544
22,144.618
23,142.358
24,142.152
25,140.811
26,141.496
27,138.666
28,135.806
29,134.295
30,131.733
31,130.756
32,130.266
33,129.853
34,127.680
35,128.461
36,128.954
37,127.311
38,126.017
39,126.036
40,127.380
41,128.032
42,128.552
43,128.709
44,131.803
45,128.978
46,128.036
47,129.240
48,128.707
49,128.743
50,131.866
51,131.945
52,134.070
53,133.805
54,134.688
55,135.021
56,132.423
57,130.594
58,131.005
59,130.395
60,129.253
61,129.229
62,129.565
63,128.899
64,127.891
65,129.867
66,128.606
67,131.307
68,131.841
69,130.629
70,134.371
71,132.707
72,134.357
73,133.886
74,132.177
75,133.160
76,133.380
77,132.473
78,131.616
79,133.463
80,133.282
81,132.132
82,132.022
83,130.916
84,130.113
85,129.421
86,128.601
87,128.622
88,128.634
89,127.813
90,128.208
91,128.519
92,129.216
93,128.173
94,127.763
95,128.981
96,128.084
97,129.807
98,127.624
99,127.411
100,127.681
101,128.030
102,127.762
103,127.804
104,127.612
105,126.882
106,126.484
107,127.892
108,126.786
109,127.655
110,127.147
111,127.422
112,127.788
113,127.565
114,129.068
115,129.168
116,129.762
117,132.095
118,132.772
119,134.242
120,133.734
121,130.927
122,130.338
123,131.449
124,131.170
125,130.588
126,129.577
127,126.933
128,127.747
129,126.416
130,129.615
131,127.350
132,125.588
133,162.813
134,176.728
135,182.694
136,186.387
137,182.971
138,182.082
139,181.199
140,177.402
141,174.335
142,171.138
143,169.715
144,169.026
145,167.224
146,165.134
147,165.023
148,161.239
149,158.612
150,159.893
151,157.401
152,157.501
153,153.862
154,155.494
155,155.683
156,153.140
157,152.822
158,151.639
159,150.653
160,149.087
161,149.289
162,147.846
163,145.050
164,146.139
165,143.707
166,142.138
167,140.854
168,139.866
169,139.381
170,137.547
171,135.068
172,136.735
173,134.642
174,134.784
175,135.491
176,136.505
177,139.979
178,138.089
179,139.333
180,140.350
181,144.325
182,144.462
183,145.882
184,146.842
185,149.173
186,148.799
187,151.240
188,153.217
189,152.484
190,153.787
191,153.491
192,156.391
193,158.454
194,161.080
195,163.929
196,151.089
197,157.400
198,159.750
199,159.447
200,160.499
201,158.509
202,159.841
203,162.006
204,160.694
205,161.208
206,161.924
207,162.853
208,165.827
209,164.332
210,162.695
211,160.776
212,162.566
213,164.290
214,167.357
215,169.358
216,165.779
217,166.564
218,162.098
219,159.150
220,159.292
221,154.512
222,155.227
223,155.077
224,154.784
225,154.416
226,158.142
227,159.838
228,160.957
229,159.256
230,160.116
231,155.938
232,158.013
233,155.216
234,157.999
235,157.311
236,154.225
237,151.611
238,150.483
239,150.937
240,149.687
241,144.946
242,144.613
243,145.520
244,146.228
245,147.348
246,148.448
247,148.389
248,148.309
249,147.822
250,146.053
251,143.278
252,143.766
253,143.076
254,141.902
255,139.333
256,141.058
257,139.151
258,138.883
259,136.786
260,136.601
261,135.208
262,133.661
263,133.449
264,133.093
265,131.318
266,129.420
267,127.477
268,126.307
269,126.455
270,124.439
271,125.512
272,124.680
273,125.433
274,125.252
275,126.009
276,126.103
277,126.145
278,126.484
279,125.801
280,124.858
281,122.581
282,123.281
283,120.490
284,119.157
285,117.774
286,117.492
287,116.149
288,117.102
289,118.707
290,118.250
291,116.424
292,116.951
293,120.137
294,120.338
295,118.937
296,118.593
297,119.168
298,119.754
299,120.703
300,119.644
301,118.712
302,118.167
303,116.817
304,114.608
305,116.307
306,119.198
307,120.118
308,120.013
309,118.428
310,119.951
311,117.820
312,116.033
313,116.273
314,116.552
315,116.223
316,116.543
317,114.239
318,114.032
319,114.293
320,113.737
321,113.303
322,113.111
323,116.279
324,115.172
325,115.242
326,115.871
327,117.226
328,118.448
329,118.531
330,120.299
331,122.946
332,121.391
333,120.279
334,119.141
335,120.599
336,120.521
337,120.580
338,121.537
339,121.601
340,122.737
341,121.171
342,122.244
343,120.977
344,119.940
345,119.708
346,121.216
347,120.803
348,122.775
349,121.632
350,121.538
351,120.291
352,121.165
353,120.348
354,119.202
355,119.350
356,119.492
357,119.806
358,120.188
359,119.562
360,120.837
361,120.131
362,118.735
363,120.016
364,120.038
365,119.959
366,120.343
367,120.503
368,120.505
369,119.690
370,119.418
371,121.793
372,121.408
373,121.772
374,123.492
375,124.230
376,125.114
377,125.103
378,123.754
379,122.062
380,122.382
381,123.569
382,121.495
383,121.785
384,122.261
385,121.854
386,122.985
387,122.762
388,122.712
389,123.477
390,124.104
391,123.521
392,123.229
393,123.615
394,122.893
395,125.364
396,127.044
397,127.249
398,128.241
399,129.050
400,129.174
401,130.127
402,130.626
403,131.687
404,132.915
405,131.471
406,133.220
407,135.232
408,135.329
409,135.432
410,135.179
411,133.848
412,132.573
413,132.423
414,130.802
415,132.365
416,130.098
417,130.286
418,132.228
419,132.175
420,131.788
421,133.338
422,132.276
423,131.591
424,128.942
425,128.069
426,129.921
427,127.896
428,130.003
429,129.151
430,128.755
431,126.942
432,128.531
433,127.461
434,126.313
435,127.758
436,129.842
437,129.684
438,130.101
439,130.256
440,130.077
441,128.796
442,128.435
443,129.455
444,130.832
445,131.198
446,129.823
447,129.149
448,126.713
449,125.564
450,125.946
451,125.968
452,125.838
453,124.903
454,125.567
455,123.659
456,122.366
457,123.785
458,122.209
459,123.532
460,122.847
461,121.259
462,122.804
463,123.354
464,124.398
465,123.438
466,124.694
467,124.143
468,125.856
469,125.439
470,124.710
471,122.530
472,121.008
473,119.448
474,121.657
475,119.181
476,119.806
477,120.662
478,121.241
479,119.894
480,119.564
481,119.307
482,121.874
483,120.512
484,121.807
485,122.005
486,121.888
487,121.078
488,120.247
489,120.064
490,119.850
491,120.480
492,120.792
493,120.782
494,121.879
495,121.370
496,121.626
497,122.033
498,122.275
499,120.771
500,118.044
501,116.049
502,116.118
503,114.048
504,113.870
505,114.234
506,117.070
507,116.285
508,116.123
509,115.186
510,114.138
511,115.511
512,113.851
513,113.135
514,114.178
515,113.540
516,113.757
517,113.011
518,113.597
519,114.814
520,113.906
521,113.502
522,114.143
523,115.897
524,115.427
525,116.258
526,117.649
527,118.396
528,117.367
529,118.188
530,117.799
531,117.528
532,118.145
533,117.895
534,117.728
535,116.667
536,118.289
537,117.571
538,117.615
539,118.424
540,119.205
541,121.845
542,119.583
543,120.173
544,121.152
545,122.039
546,122.723
547,121.498
548,121.789
549,120.449
550,121.622
551,121.686
552,123.306
553,123.498
554,122.844
555,123.643
556,124.424
557,122.553
558,124.387
559,124.473
560,124.905
