 ,Mean1
1,206.405
2,199.266
3,197.242
4,193.717
5,188.796
6,184.564
7,181.450
8,176.679
9,173.618
10,170.693
11,166.300
12,165.125
13,161.292
14,158.640
15,156.797
16,153.301
17,151.995
18,149.227
19,147.229
20,146.196
21,145.321
22,143.714
23,143.148
24,139.235
25,138.634
26,136.745
27,134.065
28,132.421
29,131.184
30,131.123
31,131.256
32,130.930
33,129.544
34,129.443
35,128.063
36,128.307
37,128.387
38,127.626
39,128.071
40,127.438
41,128.032
42,128.688
43,127.776
44,127.528
45,124.783
46,126.489
47,126.418
48,126.322
49,127.239
50,126.135
51,126.457
52,125.514
53,125.721
54,124.226
55,124.132
56,124.617
57,123.245
58,123.840
59,123.581
60,123.243
61,123.532
62,123.839
63,123.007
64,123.117
65,121.799
66,123.758
67,122.655
68,122.038
69,121.895
70,122.643
71,122.412
72,123.670
73,122.746
74,122.244
75,122.362
76,122.494
77,121.990
78,122.423
79,122.978
80,123.982
81,123.893
82,125.080
83,125.421
84,123.346
85,123.881
86,123.882
87,123.945
88,121.894
89,120.615
90,120.297
91,119.730
92,119.188
93,119.099
94,118.830
95,117.595
96,116.979
97,117.614
98,116.738
99,118.386
100,118.192
101,117.193
102,116.045
103,117.533
104,117.562
105,116.921
106,117.194
107,117.729
108,117.290
109,116.129
110,115.457
111,115.444
112,115.507
113,116.245
114,115.192
115,115.108
116,115.872
117,114.533
118,115.574
119,115.133
120,115.382
121,116.244
122,116.757
123,115.941
124,116.415
125,116.101
126,117.332
127,115.130
128,116.709
129,115.736
130,115.268
131,115.134
132,115.182
133,151.726
134,159.716
135,159.628
136,161.906
137,159.941
138,157.345
139,155.295
140,155.950
141,154.522
142,152.701
143,152.931
144,150.933
145,150.361
146,149.958
147,149.984
148,150.289
149,150.142
150,153.350
151,146.221
152,147.051
153,148.235
154,146.811
155,146.587
156,145.756
157,143.158
158,144.401
159,143.543
160,141.594
161,141.044
162,139.044
163,138.219
164,137.575
165,138.891
166,138.402
167,137.870
168,137.666
169,136.709
170,137.415
171,136.913
172,135.657
173,135.397
174,133.276
175,132.560
176,132.043
177,132.364
178,131.994
179,131.539
180,129.767
181,129.840
182,128.352
183,127.563
184,126.313
185,125.674
186,124.116
187,121.788
188,117.369
189,120.600
190,120.908
191,119.123
192,119.114
193,118.271
194,117.429
195,116.642
196,116.721
197,115.356
198,113.769
199,113.888
200,112.375
201,113.074
202,112.247
203,111.133
204,112.721
205,112.109
206,112.993
207,111.260
208,110.358
209,109.460
210,108.662
211,108.638
