 ,Mean1
1,117.434
2,114.460
3,112.426
4,113.797
5,112.831
6,109.949
7,108.803
8,106.945
9,108.189
10,105.141
11,106.733
12,107.401
13,106.464
14,105.954
15,105.806
16,105.080
17,104.201
18,102.888
19,102.064
20,100.500
21,100.953
22,99.682
23,101.050
24,99.605
25,98.835
26,99.061
27,98.493
28,98.805
29,98.240
30,99.044
31,98.307
32,99.127
33,98.441
34,98.820
35,96.791
36,96.222
37,98.396
38,97.253
39,96.930
40,97.520
41,97.553
42,97.399
43,96.706
44,97.274
45,97.368
46,97.417
47,96.853
48,97.357
49,94.180
50,95.112
51,93.414
52,95.018
53,94.888
54,95.046
55,94.003
56,96.547
57,95.402
58,96.495
59,96.532
60,95.872
61,95.864
62,95.144
63,94.820
64,95.746
65,93.929
66,94.431
67,93.104
68,95.231
69,94.091
70,95.412
71,95.054
72,94.374
73,93.654
74,94.943
75,94.827
76,93.570
77,94.978
78,96.474
79,93.454
80,95.479
81,93.975
82,95.524
83,95.276
84,96.518
85,95.896
86,94.532
87,95.370
88,94.327
89,95.875
90,95.927
91,94.003
92,93.627
93,92.410
94,92.268
95,94.380
96,94.312
97,90.476
98,90.113
99,91.405
100,90.632
101,89.630
102,88.672
103,90.142
104,91.053
105,90.703
106,91.851
107,91.543
108,92.133
109,91.889
110,93.370
111,92.917
112,91.538
113,90.590
114,91.157
115,91.646
116,91.348
117,91.139
118,90.788
119,90.855
120,90.556
121,90.004
122,90.943
123,89.474
124,91.384
125,90.760
126,91.737
127,93.572
128,93.584
129,94.054
130,93.948
131,95.182
132,92.260
133,93.287
134,90.488
135,88.738
136,83.970
137,82.629
138,78.825
139,79.881
140,77.106
141,75.728
142,74.420
143,72.177
144,71.499
145,70.012
146,69.036
147,69.403
148,66.717
149,68.844
150,68.276
151,68.370
152,68.893
153,68.513
154,69.647
155,69.399
156,68.711
157,70.205
158,72.541
159,73.440
160,74.640
161,75.259
162,76.803
163,82.540
164,80.483
165,84.318
166,86.158
167,89.833
168,91.320
169,93.024
170,96.666
171,97.553
172,98.250
173,103.704
174,106.949
175,111.579
176,113.525
177,115.580
178,117.771
179,119.860
180,120.722
181,117.476
182,114.615
183,116.078
184,115.992
185,115.922
186,117.927
187,117.626
188,115.682
189,115.959
190,114.403
191,112.680
192,111.583
193,112.417
194,111.499
195,110.409
196,109.057
197,109.668
198,107.024
199,106.524
200,107.699
201,106.090
202,105.541
203,105.022
204,103.642
205,105.926
206,104.831
207,103.198
208,102.945
209,103.191
210,101.652
211,101.378
212,100.180
213,100.654
214,99.567
215,101.013
216,100.541
217,100.325
218,100.670
219,98.265
220,97.105
221,95.410
222,92.707
223,91.844
224,91.027
225,88.722
226,90.854
227,93.987
228,94.554
229,95.613
230,92.556
231,92.611
232,92.389
233,91.388
234,91.900
235,93.640
236,92.490
237,92.967
238,92.699
239,92.328
240,90.641
241,92.691
242,91.594
243,91.522
244,90.896
245,91.130
246,89.522
247,89.928
248,90.335
249,89.042
250,88.282
251,86.476
252,86.583
253,85.445
254,85.814
255,85.627
256,84.345
257,85.182
258,85.400
259,83.496
260,85.947
261,84.484
262,85.288
263,84.922
264,85.558
265,83.715
266,84.079
267,84.777
268,83.118
269,83.165
270,81.301
271,81.541
272,81.504
273,81.531
274,80.656
275,80.736
276,80.236
277,82.518
278,81.143
279,82.471
280,80.709
281,79.728
282,80.521
283,79.274
284,78.963
285,78.338
286,77.234
287,77.053
288,76.836
289,76.300
290,74.688
291,77.520
292,76.170
293,75.452
294,74.248
295,76.098
296,74.981
297,74.617
298,73.448
299,72.960
300,71.212
301,72.440
302,71.046
303,69.257
304,66.110
305,64.783
306,62.517
307,62.952
308,61.082
309,60.327
310,60.708
311,58.739
312,58.940
313,57.828
314,59.086
315,57.959
316,56.282
317,57.524
318,57.409
319,56.494
320,56.142
321,55.352
322,55.678
323,55.320
324,54.344
325,55.349
326,53.611
327,54.365
328,53.595
329,53.739
330,53.987
331,52.220
332,52.809
333,53.024
334,52.341
335,52.463
336,52.594
337,52.742
338,51.579
339,51.358
340,50.787
341,51.405
342,50.481
343,51.224
344,50.975
345,50.031
346,51.867
347,49.374
348,49.292
349,50.406
350,49.791
351,49.510
352,50.014
353,49.003
354,49.957
355,49.879
356,50.562
357,49.228
358,49.439
359,49.204
360,48.917
361,47.861
362,47.931
363,48.426
364,47.492
365,46.841
366,48.156
367,45.942
368,47.360
369,48.040
370,47.544
371,46.835
372,46.790
373,47.547
374,45.887
375,46.783
376,45.879
377,46.779
378,46.511
379,45.763
380,47.445
381,46.247
382,45.882
383,45.416
384,45.274
385,45.615
386,45.556
387,44.471
388,45.282
389,45.747
390,45.220
391,45.882
392,44.176
393,44.906
394,43.992
395,44.287
396,43.975
397,45.066
398,43.936
399,44.133
400,44.104
401,44.349
402,44.023
403,44.311
404,45.361
405,43.959
406,43.919
407,44.714
408,43.833
409,44.348
410,43.662
411,43.563
412,42.579
413,43.085
414,43.365
415,43.139
416,42.689
417,42.604
418,43.327
419,42.141
420,41.740
421,41.490
422,41.496
423,41.973
424,41.614
425,41.020
426,41.412
427,41.882
428,40.323
429,41.990
430,41.575
431,41.029
432,40.701
433,40.271
434,41.261
435,39.164
436,41.217
437,41.188
438,40.853
439,38.819
440,39.991
441,40.844
442,39.376
443,39.989
444,39.593
445,40.163
446,38.604
447,39.226
448,39.971
449,38.696
450,39.100
451,39.754
452,39.774
453,39.971
454,39.957
455,40.020
456,39.961
457,39.039
458,39.795
459,38.895
460,39.822
461,39.561
462,39.780
463,40.043
464,40.123
465,40.346
466,39.586
467,40.368
468,40.679
469,40.490
470,40.195
471,40.975
472,41.902
473,42.112
474,41.805
475,42.241
476,41.751
477,42.259
478,42.426
479,42.770
480,43.037
481,41.089
482,41.361
483,40.747
484,41.198
485,41.612
486,41.030
487,40.326
488,39.191
489,40.238
490,40.197
491,39.397
492,39.872
493,39.248
494,39.132
495,38.285
496,38.155
497,38.496
498,39.127
499,38.904
500,38.952
501,38.243
502,38.239
503,37.916
504,37.534
505,38.022
506,38.121
507,38.745
508,38.010
509,37.631
510,38.223
511,38.257
512,38.137
513,38.165
514,37.210
515,42.598
516,35.830
517,35.811
518,36.982
519,36.440
520,36.605
521,36.613
522,36.658
523,37.084
524,36.664
525,37.816
526,36.800
527,35.775
528,36.377
529,37.632
530,36.595
531,37.704
532,36.706
533,36.960
534,37.472
535,37.208
536,37.739
537,37.135
538,36.641
539,36.525
540,37.179
541,36.365
542,36.795
543,37.023
544,36.507
545,36.480
546,36.759
547,35.980
548,35.675
549,35.145
550,35.938
551,35.564
552,34.764
553,35.736
554,35.614
555,35.939
556,34.984
557,36.344
558,36.929
559,37.717
560,35.548
