 ,Mean1
1,90.240
2,86.043
3,85.954
4,84.115
5,82.573
6,81.105
7,81.044
8,78.667
9,79.061
10,77.550
11,76.172
12,74.239
13,74.299
14,71.952
15,70.015
16,70.433
17,70.911
18,71.112
19,69.317
20,69.284
21,70.017
22,69.043
23,67.642
24,67.331
25,67.833
26,67.478
27,65.610
28,65.957
29,64.908
30,64.034
31,63.905
32,62.741
33,62.909
34,61.429
35,61.597
36,61.451
37,61.982
38,62.755
39,61.990
40,65.905
41,66.642
42,61.689
43,59.455
44,59.434
45,55.870
46,53.208
47,52.282
48,53.249
49,54.142
50,52.969
51,53.536
52,53.114
53,53.298
54,53.349
55,53.285
56,54.416
57,53.891
58,53.580
59,54.107
60,55.825
61,55.729
62,55.638
63,56.027
64,57.054
65,56.701
66,57.471
67,56.016
68,57.216
69,58.074
70,58.058
71,59.313
72,59.241
73,61.340
74,61.364
75,61.839
76,62.485
77,62.387
78,61.552
79,60.121
80,61.232
81,61.188
82,62.208
83,61.294
84,60.961
85,60.837
86,60.463
87,58.313
88,58.974
89,59.589
90,60.265
91,58.785
92,57.975
93,56.908
94,56.256
95,56.229
96,54.820
97,54.515
98,53.754
99,53.293
100,53.501
101,53.087
102,53.507
103,52.450
104,53.173
105,53.519
106,53.944
107,54.519
108,53.945
109,54.011
110,54.066
111,54.352
112,53.208
113,52.541
114,53.441
115,52.602
116,53.245
117,54.197
118,53.186
119,56.478
120,54.615
121,53.255
122,53.602
123,53.592
124,53.816
125,54.441
126,54.078
127,52.837
128,53.479
129,54.412
130,54.301
131,54.952
132,54.077
133,57.851
134,59.556
135,60.122
136,57.643
137,54.528
138,52.802
139,50.474
140,48.610
141,46.515
142,44.257
143,42.343
144,41.944
145,40.133
146,39.240
147,37.437
148,36.605
149,35.441
150,34.874
151,34.449
152,33.334
153,33.674
154,32.263
155,32.182
156,31.446
157,30.235
158,30.101
159,29.096
160,30.108
161,29.388
162,28.914
163,28.458
164,28.110
165,26.804
166,26.178
167,26.217
168,25.634
169,25.856
170,25.497
171,25.121
172,24.524
173,24.433
174,24.611
175,24.277
176,24.375
177,24.244
178,24.833
179,24.318
180,25.053
181,25.478
182,25.293
183,25.412
184,26.249
185,26.372
186,25.528
187,25.928
188,26.755
189,27.060
190,27.102
191,27.869
192,27.988
193,29.430
194,29.478
195,30.112
196,31.593
197,31.514
198,33.010
199,33.046
200,33.653
201,33.127
202,34.171
203,34.222
204,34.047
205,34.029
206,34.398
207,34.441
208,34.904
209,34.844
210,34.589
211,35.381
212,34.468
213,34.262
214,34.118
215,33.756
216,34.279
217,33.906
218,33.387
219,33.560
220,32.970
221,32.610
222,32.421
223,31.668
224,32.734
225,31.933
226,32.780
227,32.174
228,32.275
229,32.319
230,32.855
231,32.434
232,32.365
233,33.081
234,32.581
235,32.220
236,32.442
237,31.734
238,31.591
239,32.390
240,32.133
241,31.942
242,31.882
243,32.029
244,31.548
245,30.492
246,31.152
247,31.619
248,32.208
249,31.905
250,31.938
251,30.986
252,31.148
253,30.942
254,31.494
255,31.874
256,31.641
257,31.606
258,31.101
259,31.286
260,32.874
261,33.127
262,31.773
263,30.287
264,30.378
265,30.455
266,29.969
267,30.415
268,29.664
269,30.323
270,29.656
271,30.036
272,29.812
273,29.626
274,29.595
275,29.861
276,28.842
277,29.901
278,29.601
279,29.279
280,28.559
281,28.829
282,28.475
283,28.715
284,28.555
285,28.211
286,28.565
287,28.201
288,28.937
289,28.382
290,28.623
291,28.793
292,28.331
293,28.476
294,28.176
295,27.901
296,27.554
297,28.114
298,28.031
299,28.197
300,27.965
301,27.613
302,28.106
303,27.859
304,27.622
305,27.268
306,27.919
307,28.075
308,27.450
309,27.676
310,27.423
311,28.635
312,27.501
313,27.482
314,27.745
315,27.385
316,26.879
317,27.037
318,27.726
319,27.211
320,26.632
321,26.900
322,26.799
323,27.024
324,27.116
325,26.695
326,26.862
327,26.656
328,26.585
329,26.381
330,26.498
331,25.988
332,26.060
333,25.839
334,25.751
335,26.207
336,25.478
337,25.778
338,25.798
339,25.875
340,26.135
341,25.657
342,25.410
343,25.764
344,25.273
345,25.175
346,25.123
347,23.904
348,23.356
349,22.467
350,22.400
351,22.382
352,22.293
353,21.861
354,21.909
355,21.374
356,21.134
357,21.562
358,20.739
359,20.131
360,20.152
361,20.567
362,20.248
363,20.450
364,20.144
365,20.275
366,20.507
367,19.264
368,20.210
369,19.824
370,19.286
371,19.717
372,19.651
373,19.524
374,19.583
375,19.547
376,19.379
377,20.338
378,19.082
379,19.099
380,19.043
381,19.928
382,19.745
383,19.430
384,19.507
385,19.297
386,18.647
387,18.554
388,19.358
389,19.397
390,18.787
391,18.668
392,19.093
393,19.321
394,18.920
395,19.115
396,19.275
397,19.009
398,19.049
399,18.630
400,18.607
401,18.345
402,18.456
403,18.899
404,18.297
405,18.528
406,17.769
407,18.227
408,18.465
409,17.897
410,18.155
411,17.824
412,18.059
413,18.828
414,18.528
415,17.833
416,18.270
417,17.872
418,18.554
419,18.196
420,17.842
421,17.810
422,17.511
423,17.494
424,17.024
425,17.324
426,17.500
427,16.842
428,17.012
429,16.441
430,16.831
431,17.086
432,17.049
433,16.953
434,17.307
435,16.782
436,16.961
437,16.958
438,16.986
439,17.066
440,17.098
441,16.693
442,17.120
443,17.204
444,16.665
445,16.394
446,16.487
447,16.538
448,16.224
449,15.807
450,16.332
451,16.553
452,16.375
453,16.348
454,15.738
455,16.269
456,16.853
457,16.825
458,16.374
459,16.522
460,16.218
461,16.983
462,16.302
463,16.098
464,16.223
465,16.490
466,15.955
467,16.388
468,15.774
469,16.205
470,15.702
471,15.839
472,15.519
473,15.767
474,16.119
475,15.465
476,15.509
477,15.749
478,15.022
479,15.128
480,15.538
481,15.377
482,15.839
483,15.631
484,15.932
485,15.451
486,15.441
487,15.839
488,15.963
489,15.522
490,15.484
491,15.830
492,15.572
493,15.825
494,15.531
495,15.653
496,15.704
497,15.371
498,15.247
499,15.200
500,15.290
501,15.415
502,15.146
503,15.534
504,15.673
505,15.347
506,15.549
507,15.277
508,14.955
509,15.470
510,15.342
511,15.800
512,15.356
513,14.980
514,15.660
515,15.405
516,15.556
517,15.296
518,15.558
519,15.152
520,15.218
521,15.302
522,15.248
523,14.671
524,15.599
525,15.668
526,15.933
527,15.612
528,15.166
529,15.303
530,16.114
531,15.894
532,15.405
533,15.707
534,15.180
535,15.680
536,15.859
537,15.721
538,15.418
539,15.972
540,15.823
541,16.083
542,15.608
543,15.868
544,16.181
545,15.939
546,15.704
547,16.063
548,15.496
549,15.633
550,15.780
551,15.318
552,15.288
553,15.982
554,15.700
555,16.150
556,15.836
557,15.667
558,16.081
559,16.019
560,16.457
