 ,Mean1
1,163.581
2,156.993
3,151.862
4,147.715
5,143.049
6,138.928
7,135.227
8,131.623
9,129.197
10,126.945
11,122.491
12,119.451
13,117.418
14,113.687
15,112.017
16,111.081
17,107.102
18,105.381
19,102.871
20,101.579
21,99.803
22,98.341
23,97.355
24,95.337
25,93.753
26,93.599
27,92.589
28,90.207
29,90.969
30,89.077
31,89.058
32,87.356
33,86.934
34,85.412
35,84.564
36,83.176
37,82.348
38,81.948
39,81.077
40,81.306
41,81.232
42,80.318
43,79.081
44,79.240
45,78.296
46,77.574
47,76.953
48,77.484
49,76.871
50,75.171
51,75.018
52,74.672
53,74.604
54,74.093
55,73.765
56,73.320
57,74.126
58,73.429
59,73.125
60,73.356
61,73.221
62,72.815
63,72.386
64,72.598
65,71.653
66,72.336
67,71.971
68,72.332
69,72.369
70,72.280
71,72.034
72,72.139
73,71.965
74,71.615
75,71.347
76,71.363
77,71.032
78,70.958
79,71.409
80,70.802
81,70.820
82,70.056
83,70.763
84,71.006
85,71.425
86,71.901
87,71.434
88,70.871
89,71.425
90,71.426
91,71.364
92,71.480
93,71.876
94,71.160
95,71.684
96,71.207
97,72.156
98,70.478
99,71.135
100,71.173
101,71.204
102,70.748
103,71.793
104,71.400
105,72.301
106,72.727
107,72.747
108,72.771
109,72.796
110,71.985
111,72.479
112,72.374
113,72.485
114,72.431
115,72.558
116,73.064
117,73.177
118,72.601
119,72.856
120,72.324
121,71.659
122,71.661
123,72.359
124,72.813
125,72.989
126,73.347
127,72.747
128,73.417
129,72.953
130,73.079
131,74.113
132,74.951
133,74.581
134,74.445
135,75.224
136,108.394
137,115.172
138,116.542
139,115.326
140,114.577
141,111.979
142,110.353
143,107.334
144,104.887
145,102.774
146,100.986
147,98.690
148,96.268
149,93.661
150,91.048
151,90.728
152,86.416
153,85.281
154,83.776
155,81.076
156,79.674
157,76.539
158,76.412
159,74.671
160,72.421
161,71.824
162,69.949
163,68.603
164,67.167
165,65.144
166,64.728
167,63.312
168,62.140
169,60.868
170,59.504
171,58.274
172,57.206
173,56.053
174,54.955
175,54.776
176,53.874
177,52.630
178,51.820
179,50.781
180,50.471
181,49.110
182,48.667
183,47.307
184,46.634
185,45.347
186,45.101
187,44.500
188,43.553
189,42.561
190,41.488
191,41.664
192,40.454
193,39.950
194,39.256
195,38.796
196,37.827
197,36.687
198,36.143
199,35.517
200,34.585
201,34.400
202,33.583
203,33.080
204,32.669
205,31.608
206,31.255
207,30.585
208,29.901
209,29.906
210,29.786
211,28.635
212,28.856
213,28.170
214,27.887
215,27.094
216,27.118
217,26.701
218,26.421
219,26.198
220,25.529
221,25.313
222,24.756
223,24.902
224,24.473
225,24.444
226,24.027
227,24.125
228,24.070
229,23.373
230,23.350
231,23.242
232,23.113
233,22.890
234,22.173
235,21.873
236,21.449
237,21.493
238,21.292
239,21.193
240,21.177
241,21.416
242,20.625
243,20.846
244,20.422
245,20.037
246,20.156
247,19.961
248,19.547
249,19.336
250,19.403
251,19.298
252,19.192
253,18.883
254,18.896
255,18.229
256,18.502
257,18.447
258,17.942
259,17.441
260,17.228
261,16.682
262,16.240
263,16.060
264,15.444
265,15.429
266,15.150
267,14.810
268,14.911
269,14.560
270,14.470
271,14.468
272,14.459
273,14.190
274,13.920
275,13.897
276,13.795
277,13.805
278,13.682
279,13.596
280,13.656
281,13.578
282,13.485
283,13.485
284,13.345
285,13.087
286,12.934
287,13.187
288,13.089
289,12.916
290,12.826
291,12.682
292,12.907
293,12.716
294,12.689
295,12.724
296,12.807
297,12.633
298,12.513
299,12.615
300,12.462
301,12.447
302,12.337
303,12.554
304,12.523
305,12.264
306,12.452
307,12.370
308,12.250
309,12.474
310,11.994
311,12.426
312,12.208
313,12.302
314,12.103
315,12.335
316,12.147
317,12.073
318,12.154
319,12.230
320,12.142
321,12.082
322,12.064
323,11.808
324,11.941
325,11.927
326,11.958
327,12.002
328,11.797
329,11.787
330,11.822
331,11.984
332,11.539
333,11.773
334,11.875
335,11.609
336,11.841
337,11.740
338,11.937
339,11.744
340,11.579
341,11.585
342,11.459
343,11.334
344,11.505
345,11.727
346,11.569
347,11.507
348,11.440
349,11.258
350,11.606
351,11.360
352,11.282
353,11.520
354,11.290
355,11.576
356,11.507
357,11.292
358,11.379
359,11.442
360,11.273
361,11.350
362,11.437
363,11.432
364,11.298
365,11.326
366,11.510
367,11.394
368,11.406
369,11.566
370,11.151
371,11.175
372,11.249
373,11.267
374,11.254
375,11.393
376,11.544
377,11.245
378,11.115
379,11.393
380,11.277
381,11.365
382,11.181
383,11.133
384,11.160
385,11.331
386,11.215
387,11.291
388,11.027
389,11.195
390,11.215
391,11.124
392,11.145
393,11.290
394,11.141
395,11.317
396,11.153
397,11.400
398,11.358
399,11.211
400,11.323
401,11.063
402,11.244
403,11.327
404,11.325
405,11.313
406,11.310
407,11.396
408,11.253
409,11.358
410,11.361
411,11.336
412,11.390
413,11.205
414,11.552
415,11.537
416,11.260
417,11.515
418,11.519
419,11.534
420,11.385
421,11.418
422,11.596
423,11.440
424,11.331
425,11.369
426,11.302
427,11.371
428,11.174
429,11.165
430,11.301
431,11.309
432,11.159
433,11.278
434,11.204
435,11.069
436,11.353
437,11.019
438,10.889
439,11.139
440,11.154
441,11.054
442,11.267
443,11.139
444,11.131
445,11.239
446,11.155
447,11.112
448,11.177
449,11.090
450,10.812
451,11.071
452,11.060
453,11.042
454,10.935
455,11.045
456,10.891
457,10.974
458,10.865
459,10.835
460,10.984
461,10.932
462,10.751
463,10.842
464,10.744
465,10.931
466,11.162
467,10.930
468,10.695
469,11.014
470,10.816
471,10.926
472,11.075
473,11.018
474,10.813
475,10.868
476,10.950
477,11.110
478,10.931
479,10.775
480,10.898
481,10.911
482,10.945
483,11.115
484,10.845
485,10.973
486,11.272
487,10.849
488,11.080
489,10.952
490,10.882
491,11.034
492,10.931
493,10.861
494,10.910
495,10.923
496,11.098
497,10.992
498,10.923
499,10.913
500,11.102
501,11.087
502,11.258
503,10.958
504,11.167
505,10.909
506,11.307
507,11.213
508,11.265
509,11.135
510,11.124
511,11.259
512,10.840
513,11.126
514,11.202
515,11.274
516,11.291
517,11.352
518,11.193
519,11.252
520,11.155
521,11.579
522,11.282
523,11.188
524,11.107
525,11.382
526,11.173
527,11.169
528,11.484
529,11.390
530,11.570
531,11.160
532,11.489
533,11.436
534,11.364
535,11.402
536,11.206
537,11.316
538,11.379
539,11.482
540,11.251
541,11.571
542,11.411
543,11.637
544,11.664
545,11.396
546,11.496
547,11.523
548,11.576
549,11.343
550,11.522
551,11.310
552,11.497
553,11.587
554,11.556
555,11.476
556,11.696
557,11.313
558,11.430
559,11.601
560,11.605
