 ,Mean1
1,247.645
2,244.613
3,240.066
4,236.413
5,233.487
6,228.245
7,224.107
8,220.675
9,217.165
10,211.917
11,208.072
12,204.450
13,201.930
14,199.876
15,197.760
16,193.736
17,192.179
18,188.851
19,187.051
20,185.325
21,183.231
22,180.720
23,178.066
24,174.572
25,172.992
26,169.733
27,169.119
28,166.988
29,165.098
30,163.252
31,164.079
32,163.236
33,160.238
34,161.840
35,161.716
36,161.485
37,162.882
38,163.098
39,162.115
40,162.298
41,163.385
42,163.558
43,163.948
44,165.941
45,165.995
46,164.450
47,163.731
48,162.039
49,160.776
50,161.351
51,161.564
52,160.427
53,160.243
54,160.952
55,160.997
56,161.062
57,160.490
58,159.674
59,162.936
60,160.545
61,161.949
62,161.251
63,161.989
64,160.876
65,161.507
66,161.592
67,161.744
68,162.696
69,163.602
70,164.327
71,163.549
72,164.189
73,163.439
74,162.813
75,162.909
76,162.890
77,163.197
78,164.421
79,163.786
80,164.082
81,162.568
82,162.567
83,161.172
84,159.931
85,159.616
86,159.847
87,159.577
88,159.640
89,158.321
90,160.176
91,159.337
92,159.631
93,159.207
94,158.773
95,156.066
96,154.619
97,152.911
98,152.944
99,150.810
100,150.419
101,148.886
102,150.046
103,150.235
104,150.725
105,151.982
106,152.746
107,153.144
108,154.247
109,154.813
110,154.329
111,154.999
112,155.929
113,154.597
114,156.890
115,157.115
116,156.267
117,157.358
118,157.266
119,157.133
120,156.320
121,157.368
122,156.665
123,157.380
124,157.322
125,159.790
126,158.156
127,158.121
128,155.821
129,156.395
130,158.460
131,157.708
132,156.998
133,156.158
134,205.277
135,214.767
136,218.611
137,217.489
138,212.762
139,210.959
140,205.614
141,202.431
142,198.033
143,194.252
144,190.941
145,186.227
146,184.824
147,180.199
148,179.858
149,177.701
150,176.562
151,175.095
152,171.612
153,168.936
154,168.438
155,169.223
156,170.540
157,169.266
158,167.968
159,166.971
160,166.210
161,163.702
162,164.916
163,163.233
164,162.523
165,163.467
166,161.337
167,162.614
168,161.103
169,162.042
170,163.025
171,164.575
172,168.295
173,166.533
174,164.648
175,164.047
176,162.369
177,161.428
178,158.413
179,155.342
180,153.964
181,152.974
182,153.380
183,153.510
184,153.052
185,152.565
186,151.406
187,150.409
188,148.699
189,148.440
190,147.183
191,147.130
192,144.780
193,144.998
194,143.992
195,142.681
196,142.900
197,141.079
198,141.920
199,139.892
200,138.604
201,137.849
202,135.551
203,134.361
204,131.703
205,131.686
206,130.471
207,130.339
208,127.851
209,127.637
210,128.624
211,127.397
212,126.877
213,126.528
214,125.956
215,123.616
216,124.702
217,122.474
218,121.522
219,121.368
220,121.898
221,120.580
222,119.587
223,117.551
224,116.783
225,115.261
226,114.139
227,113.721
228,111.544
229,109.855
230,109.481
231,107.817
232,106.648
233,105.144
234,102.697
235,102.713
236,101.546
237,100.045
238,99.179
239,97.639
240,97.447
241,97.878
242,98.162
243,98.472
244,96.838
245,97.656
246,95.803
247,96.338
248,95.991
249,96.751
250,95.471
251,94.559
252,94.189
253,92.195
254,93.669
255,93.267
256,91.692
257,90.879
258,90.017
259,89.406
260,88.872
261,88.184
262,87.462
263,87.564
264,85.661
265,85.748
266,85.605
267,85.737
268,85.333
269,84.833
270,83.429
271,81.411
272,82.246
273,81.269
274,80.491
275,81.383
276,79.683
277,78.051
278,77.770
279,77.569
280,76.538
281,76.461
282,75.969
283,76.133
284,74.763
285,74.836
286,74.879
287,74.757
288,74.115
289,73.402
290,72.287
291,73.799
292,74.016
293,73.726
294,71.000
295,71.277
296,73.647
297,73.605
298,72.085
299,72.078
300,71.617
301,71.114
302,70.955
303,71.280
304,72.700
305,70.894
306,71.261
307,70.642
308,70.099
309,68.440
310,68.420
311,67.897
312,66.810
313,65.949
314,65.523
315,65.052
316,64.737
317,63.068
318,63.106
319,62.927
320,61.483
321,61.110
322,60.400
323,59.673
324,59.168
325,59.055
326,59.273
327,58.415
328,58.253
329,58.355
330,57.651
331,57.395
332,57.209
333,57.287
334,56.181
335,56.366
336,55.347
337,54.763
338,53.912
339,54.495
340,53.609
341,54.389
342,54.603
343,53.440
344,51.148
345,49.282
346,48.616
347,46.851
348,45.851
349,45.415
350,44.797
351,43.795
352,42.879
353,42.471
354,42.168
355,42.166
356,41.044
357,41.797
358,40.997
359,40.651
360,41.258
361,40.137
362,40.344
363,40.319
364,40.023
365,39.626
366,40.055
367,39.851
368,39.828
369,39.853
370,39.878
371,38.896
372,39.593
373,39.657
374,39.700
375,39.747
376,39.019
377,38.583
378,38.569
379,39.032
380,38.961
381,38.877
382,38.471
383,38.459
384,38.678
385,38.637
386,38.556
387,38.566
388,38.385
389,37.961
390,38.011
391,37.886
392,38.432
393,37.382
394,37.452
395,37.116
396,37.275
397,37.024
398,37.267
399,37.071
400,36.765
401,37.375
402,36.755
403,37.087
404,36.999
405,37.191
406,36.417
407,35.771
408,36.219
409,36.212
410,35.636
411,35.984
412,36.035
413,35.965
414,36.098
415,35.557
416,36.090
417,35.434
418,35.756
419,35.772
420,35.321
421,35.817
422,35.507
423,35.678
424,35.171
425,36.114
426,36.285
427,35.558
428,36.494
429,36.179
430,35.619
431,35.586
432,35.680
433,35.926
434,36.030
435,35.959
436,36.566
437,36.257
438,36.793
439,37.243
440,36.850
441,36.832
442,37.506
443,37.713
444,36.777
445,37.088
446,37.202
447,36.992
448,36.976
449,36.116
450,36.285
451,35.900
452,35.973
453,36.234
454,35.864
455,35.367
456,35.388
457,35.427
458,35.126
459,35.428
460,35.379
461,35.515
462,35.379
463,35.575
464,34.957
465,35.211
466,35.053
467,34.891
468,34.727
469,35.336
470,34.811
471,34.393
472,34.731
473,34.340
474,34.628
475,34.290
476,34.561
477,35.432
478,35.612
479,35.051
480,34.823
481,34.992
482,35.238
483,35.474
484,35.162
485,35.300
486,35.400
487,34.693
488,33.888
489,34.781
490,34.552
491,34.352
492,34.406
493,34.631
494,34.398
495,34.843
496,34.636
497,34.611
498,33.709
499,34.199
500,34.816
501,33.906
502,34.708
503,34.413
504,35.201
505,34.474
506,34.510
507,35.320
508,34.700
509,34.905
510,34.973
511,34.794
512,34.932
513,34.663
514,34.501
515,35.206
516,34.909
517,34.754
518,34.399
519,34.695
520,34.242
521,34.392
522,34.964
523,34.620
524,34.550
525,34.929
526,34.810
527,34.742
528,34.424
529,34.484
530,35.096
531,34.479
532,34.597
533,34.319
534,34.574
535,34.281
536,34.684
537,34.057
538,34.216
539,34.153
540,33.711
541,34.181
542,33.308
543,33.953
544,33.764
545,34.042
546,33.841
547,34.198
548,34.263
549,34.123
550,33.752
551,33.667
552,33.797
553,33.416
554,33.420
555,34.008
556,34.219
557,33.553
558,34.132
559,33.561
560,33.730
