 ,Mean1
1,71.478
2,69.492
3,67.168
4,65.863
5,64.509
6,62.719
7,64.764
8,61.658
9,56.315
10,57.374
11,57.164
12,49.365
13,52.440
14,53.718
15,54.219
16,56.705
17,57.178
18,56.841
19,53.503
20,53.757
21,54.174
22,53.789
23,53.193
24,53.068
25,52.241
26,52.672
27,54.974
28,53.584
29,52.708
30,52.813
31,51.934
32,51.272
33,52.584
34,52.944
35,54.897
36,56.755
37,56.478
38,57.113
39,57.148
40,57.354
41,58.065
42,55.815
43,56.042
44,54.583
45,52.693
46,53.310
47,54.292
48,53.726
49,54.006
50,55.298
51,54.969
52,54.875
53,54.227
54,53.507
55,53.601
56,53.478
57,53.011
58,52.119
59,53.427
60,54.229
61,55.230
62,54.702
63,53.091
64,53.439
65,53.317
66,50.843
67,51.434
68,50.311
69,50.465
70,49.509
71,49.610
72,50.921
73,49.509
74,50.711
75,49.153
76,48.506
77,48.781
78,49.013
79,47.026
80,48.525
81,47.708
82,48.775
83,48.490
84,48.688
85,48.752
86,46.887
87,46.598
88,47.326
89,47.262
90,47.034
91,47.127
92,47.310
93,47.139
94,47.116
95,48.665
96,48.242
97,50.083
98,49.512
99,50.280
100,49.242
101,49.607
102,49.733
103,50.424
104,49.424
105,50.509
106,47.216
107,47.218
108,45.005
109,44.560
110,43.888
111,43.768
112,42.143
113,42.159
114,41.415
115,41.539
116,41.683
117,42.021
118,41.374
119,42.715
120,43.711
121,43.854
122,44.061
123,43.811
124,44.705
125,43.239
126,43.587
127,42.060
128,42.733
129,42.070
130,42.400
131,42.287
132,43.046
133,45.503
134,46.355
135,46.548
136,48.224
137,49.138
138,50.223
139,50.174
140,50.816
141,48.831
142,53.165
143,54.068
144,55.329
145,53.623
146,51.330
147,52.251
148,52.482
149,53.622
150,50.907
151,51.684
152,50.433
153,51.084
154,51.389
155,50.317
156,48.221
157,49.815
158,49.373
159,51.435
160,49.809
161,50.282
162,50.352
163,48.333
164,48.178
165,48.184
166,47.793
167,46.702
168,45.713
169,44.289
170,44.168
171,43.823
172,44.218
173,43.134
174,44.863
175,45.850
176,45.188
177,46.335
178,46.180
179,46.742
180,46.966
181,46.236
182,45.084
183,44.120
184,41.844
185,42.692
186,43.218
187,42.960
188,42.457
189,42.167
190,45.219
191,42.749
192,41.714
193,42.287
194,42.377
195,43.010
196,41.940
197,41.522
198,42.160
199,41.164
200,42.293
201,41.372
202,42.259
203,41.843
204,40.861
205,41.588
206,40.235
207,39.979
208,40.180
209,40.689
210,39.752
211,39.992
212,38.408
213,39.147
214,39.598
215,40.456
216,40.522
217,39.983
218,40.125
219,40.847
220,39.872
221,39.782
