 ,Mean1
1,190.889
2,182.448
3,175.424
4,167.506
5,161.369
6,160.038
7,156.555
8,155.642
9,153.964
10,155.426
11,153.286
12,153.593
13,153.584
14,152.808
15,150.522
16,148.881
17,152.022
18,152.304
19,149.793
20,152.781
21,150.680
22,150.386
23,151.316
24,152.927
25,152.275
26,152.933
27,152.619
28,153.996
29,153.506
30,152.954
31,152.380
32,152.607
33,152.196
34,153.146
35,152.557
36,153.900
37,155.064
38,153.293
39,154.305
40,152.042
41,155.296
42,153.321
43,154.367
44,154.319
45,152.123
46,153.820
47,154.641
48,153.085
49,154.397
50,152.385
51,152.267
52,152.176
53,151.812
54,152.973
55,151.379
56,152.022
57,149.876
58,151.849
59,151.349
60,150.685
61,152.583
62,152.844
63,154.053
64,153.143
65,152.312
66,152.118
67,153.740
68,152.350
69,153.760
70,152.009
71,152.127
72,153.231
73,152.218
74,150.665
75,152.311
76,153.571
77,150.610
78,151.957
79,152.351
80,152.454
81,151.528
82,150.758
83,150.626
84,150.900
85,150.212
86,151.308
87,149.736
88,149.188
89,148.335
90,149.986
91,149.064
92,148.334
93,148.354
94,147.894
95,149.114
96,150.624
97,149.412
98,149.965
99,149.833
100,150.307
101,150.983
102,150.385
103,150.228
104,153.426
105,151.205
106,148.770
107,151.365
108,150.136
109,150.577
110,152.345
111,150.779
112,152.303
113,152.041
114,150.058
115,150.874
116,149.687
117,149.681
118,149.077
119,151.805
120,151.795
121,149.745
122,149.998
123,151.589
124,149.093
125,148.101
126,146.183
127,147.672
128,147.990
129,149.160
130,147.831
131,147.092
132,147.896
133,177.401
134,172.304
135,165.342
136,159.833
137,154.557
138,150.278
139,146.116
140,142.430
141,138.623
142,135.417
143,131.825
144,130.267
145,125.990
146,126.058
147,122.408
148,121.354
149,116.771
150,116.245
151,112.054
152,110.813
153,109.049
154,106.170
155,104.184
156,102.022
157,100.669
158,98.046
159,95.894
160,95.086
161,93.247
162,89.908
163,88.983
164,86.774
165,85.049
166,83.648
167,81.045
168,78.648
169,77.141
170,77.642
171,75.055
172,73.569
173,72.559
174,72.302
175,72.709
176,71.484
177,71.375
178,69.727
179,69.695
180,68.630
181,67.307
182,67.636
183,67.333
184,67.066
185,67.719
186,67.198
187,66.557
188,67.181
189,66.850
190,65.767
191,66.534
192,66.296
193,65.754
194,65.666
195,65.454
196,65.184
197,64.343
198,65.293
199,65.613
200,65.734
201,65.196
202,64.865
203,64.717
204,64.434
205,64.561
206,64.428
207,64.322
208,64.917
209,63.494
210,64.496
211,64.772
212,64.915
213,65.086
214,64.696
215,65.618
