frame,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC
1,0.940629,1.106611,0.958303,0.878578,1.205258,0.966184,0.843395,1.058797,0.946812,1.012297,1.002627,1.022974,1.044918,1.104393,1.118966,1.168485,1.123183,1.004169,1.033745,0.999145,1.02573,0.94294,1.036058
2,0.957996,1.124461,0.952535,0.905266,1.214131,0.971247,0.84131,1.057302,0.948957,1.029765,0.987403,1.022141,1.087944,1.10327,1.135639,1.152524,1.151778,1.003387,1.036899,1.00909,1.037447,0.930057,1.041369
3,0.956087,1.106124,0.946893,0.938031,1.224486,0.965638,0.836405,1.065742,0.964035,1.035938,1.005172,1.013754,1.096601,1.092056,1.14153,1.152463,1.18697,1.004169,1.041312,1.005846,1.038027,0.92232,1.034313
4,0.952995,1.107681,0.94128,0.963133,1.220395,0.960851,0.842435,1.0847,0.961066,1.022203,0.982947,1.024265,1.08517,1.096687,1.13329,1.148709,1.197894,0.99782,1.046072,1.001478,1.035516,0.91729,1.023169
5,0.944292,1.083287,0.93803,0.971091,1.22168,0.969625,0.845474,1.09316,0.984313,1.038899,0.974957,1.039176,1.08783,1.085282,1.143654,1.16551,1.23737,1.002338,1.052675,0.997184,1.016757,0.917996,1.02445
6,0.925245,1.076413,0.939066,1.027235,1.229919,0.96876,0.842703,1.084852,0.987232,1.055758,0.977048,1.038253,1.07829,1.087468,1.120435,1.167995,1.260554,1.00035,1.073494,0.997537,1.003502,0.919324,1.033944
7,0.918174,1.044039,0.948618,0.879089,1.230053,0.970553,0.850177,1.086295,0.977916,1.055382,0.977512,1.039357,1.088724,1.086354,1.130653,1.166411,1.279781,1.007817,1.080087,0.996766,0.996586,0.915281,1.030576
8,0.907642,1.051716,0.954657,0.83445,1.227508,0.966457,0.864458,1.092568,0.973411,1.047637,0.961369,1.040488,1.097998,1.094509,1.123973,1.165423,1.298435,1.000898,1.070833,0.995752,0.976975,0.920859,1.034127
9,0.907133,1.049685,0.953435,1.001156,1.235989,0.966513,0.866117,1.098002,0.989295,1.027054,0.940124,1.033326,1.100126,1.091062,1.132772,1.141945,1.324046,1.005012,1.077703,0.991812,0.983052,0.929119,1.020626
10,0.90899,1.019514,0.950181,1.019216,1.233794,0.961837,0.878835,1.114105,0.989109,1.024547,0.946105,1.030288,1.087488,1.07431,1.14671,1.140772,1.34214,1.009401,1.063722,0.991858,0.980549,0.928953,1.021185
11,0.897641,1.016984,0.963738,1.022181,1.238776,0.963438,0.879968,1.123865,0.993767,1.018875,0.964117,1.020381,1.093142,1.077636,1.160889,1.128486,1.331914,1.010498,1.061871,1.001924,0.986661,0.933975,1.021579
12,0.895605,1.006289,0.967283,1.020378,1.241376,0.968704,0.887255,1.119389,0.99949,1.01495,0.967552,1.025664,1.103348,1.083667,1.1685,1.117224,1.304349,1.023457,1.075762,1.001543,1.001189,0.926321,1.020246
13,0.892465,0.991201,0.965984,1.018754,1.241912,0.977513,0.88688,1.123611,1.009004,1.012905,0.970128,1.021523,1.1054,1.074552,1.154423,1.117513,1.282119,1.022004,1.063002,1.002993,0.993719,0.929094,1.023254
14,0.888427,1.001035,0.970845,0.988709,1.236006,0.987069,0.896035,1.104042,1.00609,0.994444,0.990373,1.020856,1.11724,1.059795,1.164968,1.118108,1.248123,1.023622,1.066702,1.01001,1.005213,0.928753,1.018074
15,0.875338,1.029259,0.970296,0.941963,1.219836,0.992572,0.895101,1.089092,1.000165,0.970563,1.007233,1.019936,1.12469,1.047613,1.15924,1.121556,1.211554,1.017355,1.059138,1.010298,1.015397,0.92027,1.0278
16,0.857533,1.051071,0.967246,0.955191,1.201214,0.994162,0.898235,1.12865,1.010205,0.965683,1.013214,1.013752,1.121706,1.034602,1.144192,1.1293,1.194042,1.010278,1.064297,1.00487,1.032614,0.908292,1.030284
17,0.844452,1.064552,0.956264,0.958424,1.189651,0.998596,0.894945,1.12101,1.023116,0.953356,1.024488,1.014317,1.133109,1.026092,1.13701,1.135915,1.156571,1.018068,1.050316,1.014797,1.041826,0.888834,1.046347
18,0.854463,1.063152,0.955315,0.948851,1.189458,1.002232,0.890276,1.135218,1.012181,0.936516,1.018689,1.01516,1.137917,1.015266,1.123548,1.132625,1.152974,1.017581,1.057888,1.015085,1.041322,0.885813,1.04799
19,0.850515,1.071187,0.956142,0.947333,1.178208,1.015414,0.886669,1.144012,1.014545,0.923254,1.002283,1.021492,1.150764,1.013288,1.11081,1.131846,1.1414,1.012582,1.065148,1.014527,1.04791,0.906291,1.056676
20,0.843372,1.090059,0.966469,0.943661,1.173872,1.017655,0.88188,1.123163,1.015802,0.926476,1.014153,1.034836,1.153786,1.005935,1.106003,1.124522,1.129196,1.006925,1.06244,1.007975,1.044313,0.913546,1.054622
21,0.84334,1.115552,0.96595,0.950802,1.177055,1.021661,0.880572,1.107617,1.016905,0.914275,1.023983,1.032646,1.184688,1.011232,1.090095,1.123761,1.146559,1.003243,1.075568,1.009239,1.026748,0.91475,1.046091
22,0.846976,1.112004,0.95981,0.959048,1.184884,1.015632,0.885001,1.095507,1.004911,0.925559,1.023447,1.030639,1.171394,1.017599,1.069466,1.111107,1.131668,1.006637,1.07892,1.009759,1.014671,0.919033,1.04181
23,0.843239,1.133108,0.959081,0.989768,1.185504,1.015514,0.892313,1.081765,1.01223,0.913416,1.012042,1.030316,1.161759,1.015456,1.064651,1.0996,1.126974,1.00458,1.085324,1.011423,1.00397,0.924105,1.046519
24,0.838447,1.154744,0.953809,0.914955,1.192472,1.014883,0.885226,1.057264,0.996148,0.931318,1.009324,1.02943,1.161398,1.011802,1.043843,1.087165,1.125829,1.008832,1.078919,1.013068,0.995003,0.926081,1.047055
25,0.851714,1.173315,0.950902,1.057671,1.182027,1.020117,0.899633,1.040526,0.994903,0.927498,0.986655,1.022815,1.17224,1.014238,1.025418,1.074993,1.106251,1.001824,1.068147,1.015698,0.987007,0.913978,1.03562
26,0.855814,1.181896,0.95033,1.06768,1.17357,1.019207,0.920357,1.03462,0.993515,0.937587,0.980765,1.025098,1.167128,1.022878,1.019941,1.070618,1.094101,1.003415,1.06588,1.014704,0.986188,0.933053,1.035476
27,0.860586,1.198901,0.951714,1.069292,1.170655,1.018131,0.933157,1.020212,0.98675,0.948987,0.987544,1.020359,1.140122,1.016338,1.018206,1.061351,1.105817,1.004916,1.045625,1.020847,0.994962,0.944152,1.037341
28,0.849459,1.202893,0.950533,1.067615,1.155859,1.019183,0.934431,1.01349,0.992231,0.950637,0.976391,1.019595,1.132054,1.015085,1.024185,1.050719,1.099175,0.998162,1.043425,1.018635,0.982914,0.928355,1.038783
29,0.845812,1.205654,0.953996,1.055799,1.155059,1.017262,0.942954,0.992166,0.996631,0.959385,1.001323,1.027983,1.127892,1.000406,1.041451,1.050693,1.077368,0.99629,1.045525,1.019277,0.975774,0.935411,1.047683
30,0.852441,1.191091,0.955326,1.009014,1.145135,1.026379,0.953815,0.993063,0.9836,0.955739,0.969572,1.013269,1.117592,1.011232,1.057791,1.048881,1.071001,0.995797,1.042266,1.00198,0.987958,0.933477,1.048621
31,0.853447,1.168444,0.953365,1.02108,1.137727,1.033377,0.966384,0.995654,0.972451,0.958015,0.977118,1.015977,1.104431,1.018644,1.061386,1.065402,1.079448,0.996194,1.040779,0.999071,0.9949,0.946326,1.043132
32,0.870816,1.164368,0.940603,1.03462,1.122077,1.038447,0.978982,0.987739,0.972396,0.947714,0.958328,1.007295,1.100858,1.024692,1.067321,1.043736,1.074429,0.99315,1.029134,0.994098,1.003916,0.956155,1.045902
33,0.888017,1.157729,0.944302,1.038301,1.113601,1.044443,0.978796,0.969578,0.970284,0.946865,0.950913,1.018664,1.092553,1.033712,1.048953,1.042362,1.085271,0.992615,1.037665,0.990074,1.010281,0.952569,1.028534
34,0.904287,1.166306,0.961454,1.042157,1.097837,1.046699,0.97396,0.97824,0.963782,0.961526,0.933012,1.007641,1.099186,1.061765,1.057503,1.043106,1.058081,0.995838,1.022026,0.98076,1.019537,0.952536,1.023014
35,0.925194,1.145459,0.987844,1.035019,1.092606,1.055501,0.967172,0.97517,0.958334,0.982436,0.909888,1.006872,1.089816,1.045851,1.04358,1.041461,1.040201,0.983818,1.011489,0.986291,1.023237,0.947381,1.010775
36,0.933725,1.141657,0.996305,1.03047,1.077749,1.060339,0.976001,0.976842,0.967107,0.998187,0.920586,1.010465,1.07122,1.037825,1.036497,1.036972,1.039326,0.987939,1.001723,0.985566,1.03467,0.948742,1.00939
37,0.91588,1.133412,0.983545,1.01642,1.063667,1.057701,0.966735,0.962085,0.964967,0.982581,0.934022,0.997029,1.080181,1.010877,1.018449,1.023959,1.040026,0.979251,1.011122,0.992509,1.046459,0.951813,1.010694
38,0.918591,1.108663,0.982545,1.02123,1.054107,1.055319,0.982124,0.967355,0.958767,0.968933,0.935831,0.995136,1.086025,0.982798,0.997692,1.016075,1.035064,0.983297,1.027854,0.992704,1.048045,0.962654,1.004886
39,0.917345,1.088749,0.991144,1.033192,1.040349,1.053013,0.981779,0.979689,0.967129,0.971132,0.935073,0.984083,1.089978,0.979895,0.999801,1.016154,1.015187,0.983118,1.023667,0.999442,1.044562,0.964771,1.003572
40,0.921079,1.087212,1.001828,1.08711,1.036738,1.048213,0.985892,0.984809,0.964139,0.974826,0.935558,0.98237,1.095765,0.970772,0.997672,1.014281,1.012364,0.978065,1.005411,1.000381,1.045055,0.985117,0.996352
41,0.915289,1.097755,0.991715,1.103358,1.028699,1.055679,0.990917,0.987663,0.982388,0.977016,0.959328,0.973742,1.078822,0.976569,0.973337,1.01464,1.003036,0.985649,0.999909,0.998662,1.045693,0.988561,1.004591
42,0.922208,1.098065,0.983691,1.099527,1.020126,1.052466,1.006417,0.991498,0.985191,0.983179,0.965127,0.961941,1.073301,0.982073,0.974469,1.018543,0.984524,0.989077,0.996956,0.986969,1.037996,0.986353,1.005026
43,0.931025,1.089701,0.977448,1.049797,1.0091,1.047008,1.011306,1.002265,0.985005,0.994213,0.966269,0.970865,1.045687,0.98412,0.96034,1.017388,0.98769,0.987884,1.002074,0.99737,1.025308,0.984784,1.003565
44,0.951628,1.070603,0.976852,1.048276,1.013359,1.047056,1.018349,0.990659,1.008082,0.998534,0.972734,0.955923,1.04181,1.002868,0.970966,1.012417,0.997347,0.990702,1.004639,0.989627,1.013045,0.987648,0.999961
45,0.952088,1.051349,0.983613,1.04485,1.007988,1.036327,1.012367,0.992877,0.998305,1.000743,0.967329,0.962344,1.029961,1.014109,0.96956,1.017256,1.001816,0.991244,1.024123,0.989776,1.006639,1.004607,0.999269
46,0.954649,1.032084,0.991195,1.059239,1.002363,1.025209,1.01553,0.99476,0.99775,1.006202,0.965066,0.962656,1.031557,1.012199,0.978945,1.006309,0.987753,0.98955,1.022237,0.990139,1.016794,0.996016,0.999158
47,0.956725,1.014198,0.997465,1.036109,0.992834,1.012807,1.017278,1.007042,0.998508,1.018094,0.953378,0.977581,1.026388,1.013556,0.986861,0.998066,0.986952,0.986897,1.02281,0.996691,1.003752,0.995916,1.002865
48,0.970715,0.99909,0.995185,1.019918,0.990239,1.012221,1.006373,1.001077,0.993427,1.010976,0.977563,0.973461,1.025466,1.011448,0.989304,1.001348,0.980237,0.992115,1.024397,0.997639,1.005196,0.984809,0.994488
