WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_cPRC,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,WT_INNOS,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_cPRC,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS,NOS11_INNOS
1.000070404,0.929092952,0.976163399,0.876511359,0.935758352,0.907982142,0.991734914,1.014589784,1.014202125,1.033400782,1.088414997,1.011199737,0.927737986,0.920624074,1.073456448,1.020370273,1.062953837,1.041060726,1.119782062,1.197104343,1.012098637,1.085361162,1.349138993,1.254311762,1.06948127,1.104507996,0.999327769,0.907877186,0.948765479,1.079844631,1.077437665,1.083533134,1.225851326,1.071802787,1.000964085,1.026135417,0.840061264,1.030487021,0.992308641,0.760446394,0.937400966,0.986575186,1.011315591,0.931690761,0.978530078,1.001140928,1.016434126,1.097167634,0.714360471,0.958347313,0.940468098,1.024801758,0.959375332,1.052946561,1.559492165,1.205422705,0.821530185,1.201213599,0.963736711,1.04213874,1.148193197,0.944605201,1.077905632,0.831673328,0.801597652,1.149052497,1.078218755,1.005113551,0.98486322,1.171374651,1.174576298,1.102147533,1.075139309,1.058207459,1.134549252,1.017904281,1.057454975,1.034785817,1.105127056,1.031886184,1.076773593,0.888521024,0.896118576,0.826715739,0.806996381,0.660680229,0.977097819,0.92029758,0.867321754,0.971334762,0.976206213,0.917036924,1.013664082,1.062442608,0.901146132,0.941361945,0.977173572,0.978736829,1.005742451,0.987609432,0.973754771,1.251575781
1.003076641,0.92185116,1.003356751,0.871769841,0.943138168,0.900734206,0.998597349,1.007104528,1.029298983,1.047756419,1.080779379,1.012177909,0.927238528,0.913179935,1.068288817,1.016014118,1.07162171,1.035322678,1.114501257,1.192706066,0.999407619,1.07434837,1.331608935,1.24246895,1.063331665,1.095436631,0.990117335,0.907550019,0.958964983,1.0902389,1.073653625,1.080377913,1.222180658,1.06420398,0.993494961,1.017332101,0.922191556,1.030474157,1.005305803,0.745501517,0.947242321,0.989525443,1.000684199,0.943612657,0.991756749,0.992079507,1.047317046,1.10195583,0.70914763,0.944303312,0.943891425,1.014297484,0.96266865,1.047736394,1.475848713,1.235916072,0.819027037,1.219417583,0.950377202,1.043501718,1.15785749,0.948668147,1.093211474,0.826117733,0.797983915,1.142184573,1.073226772,1.012925429,0.98215447,1.157998037,1.184891181,1.100690564,1.067767979,1.060056687,1.142280358,1.017697693,1.047948037,1.02099896,1.097576113,1.029842534,1.101817386,0.903892541,0.892616061,0.805628924,0.806031363,0.669171737,0.99141684,0.920773889,0.862570064,0.977799326,0.968094694,0.922054543,1.016637808,1.07201306,0.920005637,0.936779784,0.993525531,0.973247524,1.064459013,0.967487998,0.971445347,1.250573011
1.010194455,0.945169285,1.011583543,0.873603693,0.942556163,0.919277627,0.986968915,1.000043101,1.037820258,1.051557245,1.074921439,1.019773511,0.924719985,0.902802891,1.064650868,1.004821949,1.076091934,1.05624216,1.12300922,1.185575754,0.976917207,1.060293835,1.31595426,1.239590433,1.055142492,1.075046415,0.994351516,0.911161445,0.971492175,1.094311392,1.073802284,1.078782477,1.219690682,1.048086199,0.993687778,1.018741364,0.976214667,1.026705086,1.00952851,0.749016192,0.98147229,1.014636935,0.982982755,0.933688484,1.005002154,0.99686009,1.059945955,1.08091584,0.706289625,0.934026746,0.942167622,1.015722083,0.935982152,1.04926776,1.481633376,1.230083599,0.839829599,1.155329584,0.961884654,1.040207854,1.137776991,0.943455684,1.074290224,0.828048249,0.791816107,1.132177992,1.065176786,1.01219113,0.95876018,1.193190911,1.188106815,1.112965033,1.057632399,1.056911272,1.117635071,1.027246643,1.049483319,1.033678843,1.099955177,1.021982341,1.068015108,0.896963534,0.878001019,0.813704265,0.811097708,0.689832894,0.989085357,0.709746195,0.876548336,0.997652343,0.975004506,0.910755324,1.017428292,1.068074686,0.879797078,0.952545141,0.982443894,0.988232696,1.060487151,1.027005083,0.982170467,1.240927323
1.00648418,0.93829963,1.025845149,0.872529879,0.941892678,0.918067396,0.99309986,0.993570726,1.034795205,1.055385415,1.067383804,1.025439028,0.923333192,0.906443322,1.043877308,1.001095599,1.067434964,1.062735213,1.116942582,1.184037108,0.984909336,1.039446475,1.300903521,1.231027045,1.050334056,1.077236898,0.984172021,0.917667044,0.971551425,1.102060027,1.074423948,1.064717679,1.209590498,1.045934193,0.993860299,1.016307183,1.022655587,1.060922586,1.009117208,0.760761813,0.982942288,1.036958262,0.975000439,0.928683436,0.989733406,0.967507119,1.058787845,1.085002184,0.695964577,0.929904616,0.947897446,1.025539803,0.927610751,1.04815884,1.48572188,1.222635979,0.843607643,1.142306946,0.972391994,1.031717636,1.135742403,0.938163945,1.081300813,0.821241393,0.79511285,1.114696006,1.075607055,1.020215335,0.696047254,1.175753001,1.178257965,1.138751397,1.054407442,1.057360617,1.091244874,1.016618845,1.048322016,1.032068699,1.104402993,1.02724867,1.090787169,0.916000568,0.906196268,0.788027712,0.811540008,0.688447916,0.974931397,0.790537322,0.88914262,0.998298799,1.037192814,0.910717022,1.022660544,1.069686767,0.918549486,0.962276563,0.991448815,0.968578459,1.072211322,1.077944084,0.979724043,1.253390316
0.997824526,0.944060316,1.037245263,0.870026636,0.9394599,0.917623645,0.994449723,0.992744618,1.042322331,1.055836592,1.068258645,1.025123913,0.920022954,0.907108518,1.04004914,0.997684153,1.075296016,1.060539888,1.110708298,1.187151928,0.981947429,1.032329037,1.291224641,1.216249589,1.049678923,1.082831178,0.986468082,0.91450862,0.96148735,1.095262631,1.071626461,1.0680779,1.194720784,1.038157289,0.98665503,1.008894827,1.022693498,1.042321644,1.014518982,0.749211451,0.979353201,1.071789594,0.970175962,0.937984663,0.992412462,0.954079997,1.056209673,1.086437083,0.70914763,0.916685041,1.036005633,1.046565514,0.969191544,1.054266704,1.465228728,1.207994975,0.831822634,1.211770247,1.008284871,1.020302695,1.141602901,0.938124306,1.061131605,0.820562138,0.79823751,1.096572788,1.085045539,1.02765564,0.706076788,1.16020231,1.169667407,1.141705253,1.055175288,1.052590647,1.087640421,1.025846436,1.053478988,1.015765992,1.098851843,1.0366023,1.090349245,0.896206782,0.889209068,0.780493613,0.821552071,0.692534738,0.972166629,0.824922316,0.906488594,1.005869144,1.072613111,0.9119427,1.021493638,1.062156923,0.884564799,0.950435532,1.02921364,0.959713547,1.060200029,1.07081333,0.973441628,1.283568905
1.003837001,0.944960888,1.024423574,0.867028324,0.934605983,0.937014227,0.9909808,0.994799112,1.040263023,1.070246917,1.061511866,1.023338257,0.919024038,0.908420766,1.040706983,0.986695358,1.0668353,1.057670864,1.11605197,1.175180509,0.980953433,1.042247764,1.27647587,1.211943841,1.053622087,1.098815999,0.970028984,0.912728073,0.954935967,1.084363017,1.070099331,1.060394848,1.180681061,1.038810312,1.000740823,1.0181923,1.032413866,1.035169415,0.999136265,0.733470516,0.983238197,1.065157233,0.933597656,0.933087019,1.001985874,0.972532861,1.036769977,1.033782519,0.713555399,0.943009155,1.058002331,1.049826645,0.960331456,1.062997254,1.442381206,1.184964183,0.858828651,1.189160733,1.016779642,1.01050629,1.150935468,0.93408118,1.084420709,0.800534824,0.81654168,1.084431582,1.096318826,1.020701919,0.722913994,1.160579754,1.172898575,1.132564266,1.045127463,1.051277177,1.087372953,1.020612877,1.051943706,1.023481265,1.095403924,1.023135169,1.120949201,0.940642293,0.821546838,0.782052392,0.819622035,0.692126056,0.97734541,0.875592551,0.91190921,0.981627029,1.055398666,0.919143558,1.037642099,1.0520151,0.881464606,0.952658561,0.994572615,0.968136791,1.063406231,1.058740469,0.989862022,1.27358896
1.003604669,0.94236337,1.039262982,0.867795334,0.945873589,0.940335637,0.993311012,0.993161263,1.040447651,1.055440103,1.06552214,1.024618415,0.922344902,0.902615426,1.044519299,1.003378644,1.071447262,1.057543093,1.106873428,1.170466998,0.980752626,1.02899875,1.264714997,1.21094959,1.060012732,1.09330315,0.972648065,0.916987542,0.944981929,1.078328594,1.064558416,1.053460493,1.175116608,1.030662373,1.00158313,1.010789096,0.997907315,1.068435,0.971071717,0.718720899,0.979897291,1.051755289,0.919317205,0.933044057,0.998707308,0.961038716,1.022141951,1.056834487,0.714340344,0.941274026,1.078250947,1.07229412,0.946627005,1.056378934,1.45711501,1.182182541,0.838679084,1.178022222,1.066254275,1.035267059,1.16029015,0.932277628,1.086751454,0.807541881,0.822383437,1.08406878,1.113046928,1.019286403,0.752161332,1.158994489,1.173240334,1.149209644,1.039620903,1.050603159,1.087729577,1.011775508,1.04739691,1.027271812,1.090128607,1.023894988,1.112546529,0.923851866,0.819413488,0.778090496,0.825010052,0.698415221,0.970701715,0.877112205,0.906004198,1.045405056,1.043712071,0.913781216,1.04501995,1.065850423,0.91216121,0.935804373,1.024048026,0.974572528,1.054888261,1.087616493,0.984342891,1.28538344
0.99161492,0.950200582,1.047764917,0.869461838,0.953369806,0.967148966,0.990271933,0.995237308,1.038530364,1.042191901,1.069917345,1.021093058,0.91288708,0.896864512,1.070420861,1.020750781,1.055605225,1.044405984,1.102347024,1.167217077,0.996295106,1.037895547,1.268950501,1.212240513,1.05487673,1.099459301,1.007970736,0.92531773,0.937152434,1.057213068,1.061369011,1.051089621,1.167786961,1.041140415,0.999928962,1.004017314,0.997179425,1.046978312,0.972497566,0.693487338,0.985443195,1.053424814,0.911475237,0.933645522,1.012496019,0.922643182,1.02510616,1.042157964,0.755016605,0.934506063,1.055064582,1.061326422,0.951046425,1.049778216,1.385167464,1.171609314,0.843732023,1.218143027,1.085429245,1.144702842,1.156331549,0.934437926,1.093798748,0.81962548,0.830842662,1.075479658,1.141130965,1.020383428,0.878613407,1.171208576,1.181737685,1.146974293,1.040147427,1.043206249,1.066344856,1.016871342,1.037988387,1.027842072,1.086301417,1.027746483,1.114352967,0.926807927,0.84254601,0.775384282,0.83526337,0.699300699,0.980337137,1.05856336,0.917329827,1.093991358,1.02857057,0.92515704,1.038583151,1.069380675,0.885927005,0.931199528,0.985044152,0.961795697,1.06977078,1.087581192,0.986260887,1.288893133
0.988580521,0.948518521,1.060815892,0.873492128,0.957397276,0.961581906,0.991410645,0.997126581,1.025166165,1.04897323,1.083634862,1.025393074,0.917658498,0.902246546,1.065189823,1.047478154,1.067696635,1.051503043,1.096039396,1.159899125,1.006817406,1.045529961,1.280266368,1.213146564,1.053183271,1.096568516,1.018839922,0.944947779,0.95055145,1.077585438,1.063058315,1.056125496,1.165051495,1.037341011,1.000426227,0.998911024,0.957653464,1.054555044,0.968507931,0.680900598,0.977883202,1.036889651,0.914843599,0.91843705,1.001873466,0.917485432,1.01530359,1.038274378,0.802696991,0.922005464,1.021996698,1.050719165,0.963157336,1.045166514,1.347573479,1.163563492,0.865933861,1.230750048,1.093961057,1.150495499,1.171568844,0.941790867,1.108939419,0.823722463,0.837363692,1.057525185,1.153462155,1.015712226,0.890707318,1.1676757,1.177155018,1.139569695,1.049273836,1.045314714,1.063517334,1.01806496,1.046393072,1.030659824,1.080336517,1.020200697,1.062322093,0.907392518,0.874562186,0.762805802,0.826980298,0.698596858,0.97988322,1.025289755,0.918137153,1.052090776,1.039896653,0.932357898,1.039110141,1.056279971,0.902508338,0.949641593,1.021500122,0.998075588,1.037325932,1.065977125,0.985595459,1.227342183
0.98913671,0.941246958,1.063035383,0.863778989,0.973262717,0.96425786,0.984781986,0.989993319,1.023958984,1.050135353,1.08513959,1.035903496,0.916298272,0.901067336,1.069517318,1.044263521,1.085970039,1.055951773,1.084073764,1.149473858,1.001074319,1.0538136,1.272574121,1.215439756,1.049289551,1.094899189,1.000174605,0.937775261,0.956425688,1.081132767,1.060531117,1.04974375,1.170160036,1.045845145,0.998234202,0.998453471,0.94957843,1.065000386,0.949944474,0.671362913,0.965798667,1.014728416,0.894861494,0.929650076,1.008055904,0.916099346,1.031751503,1.046197517,0.812981785,0.925926281,1.018014956,1.034190381,0.954509721,1.051256777,1.351143009,1.175123753,0.885585908,1.183397523,1.088787643,1.14152256,1.156995002,0.938738703,1.102809741,0.832838788,0.859127631,1.046320514,1.155941617,1.0184194,0.989779541,1.175209481,1.177854069,1.115020757,1.054407442,1.043949397,1.063784803,1.024951222,1.040645606,1.016436886,1.082681102,1.025257421,1.11161594,0.901007426,0.872190027,0.756527387,0.838480097,0.694192171,0.969422494,1.190750527,0.926671741,1.062723283,1.013969837,0.931247127,1.022547617,1.062320171,0.892409225,0.948688867,1.015880772,0.987885671,1.045556778,1.068165772,0.976103337,1.253366441
