frame,WT_cPRC,WT_cPRC,WT_cPRC,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,WT_INRGWa,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_cPRC,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa,NOS23_INRGWa
1,0.959046,1.069777,0.966687,1.234426,1.345742,1.205523,1.172807,0.936887,1.021511,1.106028,0.998853,0.932455,1.143579,1.00349,1.076909,1.020806,1.000616,0.925865,1.09932,1.04463,1.028422,0.983681,1.056146,1.036474,1.022102,1.06486,1.179745,1.035348,1.185097,0.99743,0.941848,1.092828,1.048447,0.986677,0.985296,1.025397,1.083101,0.994057,1.059362,1.033292,1.031481,1.047843,0.996166,1.007873,0.956395,1.092461,0.951695,1.022155,0.998449,1.076135,1.133832,1.061807,1.048268,0.974174,0.976505
2,0.994764,1.06179,0.958823,1.20813,1.343054,1.187741,1.155596,0.948955,1.004662,1.071777,0.992846,0.92358,1.14154,0.999958,1.071914,1.0204,0.995085,0.925825,1.09182,1.040056,1.020598,0.97499,1.062987,1.033967,1.031981,1.053975,1.175937,1.03043,1.20125,0.992635,0.940567,1.078413,1.041043,1.003918,0.96851,1.020592,1.095627,0.996232,1.056074,1.032541,1.033055,1.037055,1.001559,0.997734,0.975021,1.091291,0.956015,1.014792,1.021452,1.081367,1.130145,1.062741,1.032093,0.98168,0.974272
3,0.991326,1.053075,0.966967,1.182282,1.271518,1.174044,1.115032,0.963161,1.008291,1.074836,1.032194,0.919283,1.152892,0.993129,1.088031,1.021427,0.996223,0.947812,1.08549,1.040677,1.022544,0.969506,1.06793,1.029677,1.031839,1.041281,1.181797,1.028425,1.167629,1.003206,0.932935,1.08004,1.036916,1.000363,0.966716,1.030701,1.089328,0.997269,1.090066,1.024578,1.030448,1.045427,1.039521,0.994959,0.963991,1.101722,0.966669,1.015229,1.00717,1.06361,1.137251,1.066095,1.000766,0.973524,0.980413
4,0.994297,1.037473,0.981149,1.207907,1.301089,1.157839,1.094837,0.961506,1.009157,1.061756,1.059757,0.919743,1.155531,0.993155,1.079956,1.027962,1.000532,0.947534,1.118456,1.029297,1.019427,0.961907,1.062264,1.030793,1.032878,1.036861,1.17793,1.029634,1.091397,1.001801,0.943909,1.078073,1.046839,0.982707,0.95371,1.023275,1.087452,0.990314,1.081559,1.04557,1.049434,1.044823,0.992795,1.009969,0.946052,1.117619,0.950508,1.022895,1.013557,1.040148,1.111709,1.046786,0.989785,0.980025,0.980041
5,1.012081,1.036712,0.982823,1.209695,1.343008,1.155441,1.091334,1.017236,1.008391,1.056289,1.048704,0.905097,1.170604,0.984912,1.067822,1.033212,0.992454,0.941925,1.127354,1.046586,1.016228,0.959218,1.042934,1.051761,1.02367,1.022662,1.182598,1.033422,1.059348,0.998172,0.929582,1.078319,1.043091,1.010067,0.958323,1.018658,1.068087,0.983182,1.093354,1.016844,1.030497,1.041337,1.014241,0.996658,0.97,1.06601,0.952307,1.018659,1.022932,1.098889,1.116201,1.039902,1.035073,0.990308,0.988136
6,1.037923,1.031395,0.977733,1.253745,1.388254,1.098477,1.074728,1.027827,1.006427,1.040737,1.038294,0.908551,1.189552,0.972195,1.060661,1.040162,0.98849,0.939584,1.132973,1.050013,1.025366,0.953435,1.043674,1.057282,1.032409,1.027975,1.17457,1.021486,1.029491,0.99184,0.922533,1.073078,1.040223,1.003321,0.966684,0.995164,1.081096,0.986014,1.094635,1.016906,1.024594,1.04938,1.013272,1.004871,0.957339,1.081595,0.942697,1.013986,0.998691,1.068736,1.131218,1.039406,0.996254,0.986407,1.002698
7,1.058619,1.021738,0.969916,1.207325,1.377318,1.085002,1.037494,1.005499,1.019513,1.056203,1.035863,0.915336,1.2018,0.978439,1.063882,1.035055,0.991456,0.936991,1.125582,1.060294,1.026853,0.954053,1.042255,1.045023,1.019454,1.035122,1.166529,1.019878,1.035777,0.99645,0.909487,1.067555,1.031044,1.013038,0.952396,1.025896,1.076135,0.991831,1.074657,1.025662,1.052041,1.037961,1.025027,0.982611,0.973219,1.067506,0.948888,1.020138,1.003571,1.068971,1.126056,1.049002,1.010598,0.993322,1.013957
8,1.05995,1.025219,0.970255,1.21694,1.321137,1.075456,1.041256,1.033555,1.020579,1.049977,1.03967,0.916172,1.203424,0.970763,1.067136,1.031395,0.996167,0.941674,1.115079,1.062081,1.04245,0.961332,1.046381,1.035459,1.013485,1.031078,1.16298,1.015263,1.054268,1.015392,0.907144,1.065322,1.02194,1.003204,0.973475,1.00649,1.085888,1.003844,1.06764,1.032979,1.031136,1.043917,1.016348,0.973775,0.953519,1.088177,0.944532,1.021348,0.996273,1.058849,1.072894,1.044977,1.010386,0.972578,1.00121
9,1.071416,1.045261,0.957443,1.174679,1.307103,1.019647,1.030834,1.072711,0.9996,1.032863,1.034946,0.928446,1.203297,0.979794,1.068181,1.030498,0.993089,0.937255,1.108351,1.071755,1.044212,0.959814,1.047068,1.022591,1.012874,1.028281,1.161577,1.02244,1.042355,1.013273,0.908425,1.058342,1.022168,0.97216,0.949161,1.00521,1.0952,0.991629,1.073491,1.029623,1.009592,1.016249,1.032485,1.000227,0.963863,1.014537,0.957526,1.016574,0.96849,1.029296,1.050034,1.036373,0.991147,0.960641,1.028938
10,1.068852,1.04283,0.947204,1.16806,1.280494,0.9784,1.018336,1.117595,1.007592,1.033318,1.044852,0.93116,1.185145,0.981472,1.066244,1.029574,0.985879,0.950365,1.11696,1.079985,1.046178,0.953712,1.043891,1.002188,1.008698,1.046194,1.157003,1.018287,1.044036,1.027843,0.917889,1.044626,1.023032,0.988155,0.95938,1.016911,1.079746,0.992438,1.073816,1.01403,1.007378,1.036012,1.024311,0.974795,0.957425,1.000626,1.004859,1.018692,1.02848,1.026572,1.047575,1.033456,0.984209,0.983098,1.013539
