frame,cell,solution,intensity
1,A,SNAP,1.007991861
2,A,SNAP,1.007168117
3,A,SNAP,1.003576442
4,A,SNAP,1.003010289
5,A,SNAP,0.99671773
6,A,SNAP,0.997290838
7,A,SNAP,0.997890059
8,A,SNAP,1.001477515
9,A,SNAP,0.992816466
10,A,SNAP,0.992060684
11,A,SNAP,1.031109924
12,A,SNAP,1.044512172
13,A,SNAP,1.063177072
14,A,SNAP,1.071851919
15,A,SNAP,1.080224248
16,A,SNAP,1.09324393
17,A,SNAP,1.101952643
18,A,SNAP,1.105629613
19,A,SNAP,1.107584064
20,A,SNAP,1.120973541
21,A,SNAP,1.126517388
22,A,SNAP,1.131038512
23,A,SNAP,1.125185077
24,A,SNAP,1.12205077
25,A,SNAP,1.127276705
26,A,SNAP,1.119878182
27,A,SNAP,1.123133587
28,A,SNAP,1.118879176
29,A,SNAP,1.11836981
30,A,SNAP,1.120041813
31,A,SNAP,1.109243068
32,A,SNAP,1.107012895
33,A,SNAP,1.109231893
34,A,SNAP,1.102621536
35,A,SNAP,1.094399839
36,A,SNAP,1.098115806
37,A,SNAP,1.094720602
38,A,SNAP,1.087085468
39,A,SNAP,1.093800846
40,A,SNAP,1.085833661
41,A,SNAP,1.080547405
42,A,SNAP,1.079349762
43,A,SNAP,1.068410989
44,A,SNAP,1.071557839
45,A,SNAP,1.064650323
46,A,SNAP,1.074840725
47,A,SNAP,1.054669734
48,A,SNAP,1.066125968
49,A,SNAP,1.060948268
50,A,SNAP,1.063253472
1,B,SNAP,1.009725399
2,B,SNAP,0.991030041
3,B,SNAP,1.005208771
4,B,SNAP,1.019878374
5,B,SNAP,0.98083569
6,B,SNAP,1.010420622
7,B,SNAP,1.00648936
8,B,SNAP,0.986624936
9,B,SNAP,0.999776846
10,B,SNAP,0.990009961
11,B,SNAP,1.016219868
12,B,SNAP,1.024044637
13,B,SNAP,1.01152034
14,B,SNAP,1.034568629
15,B,SNAP,1.052035934
16,B,SNAP,1.049278594
17,B,SNAP,1.061529338
18,B,SNAP,1.065477049
19,B,SNAP,1.070267882
20,B,SNAP,1.077891273
21,B,SNAP,1.066694812
22,B,SNAP,1.089557809
23,B,SNAP,1.084830383
