frame,stimuli,DAF-FM,SE,SE_upper,SE_lower
1,target,1.028738422,0.031121935,1.059860356,0.997616487
2,target,1.053410731,0.030046893,1.083457624,1.023363839
3,target,1.048415584,0.027007331,1.075422915,1.021408254
4,target,1.050626507,0.024690136,1.075316643,1.025936371
5,target,1.020256298,0.025926278,1.046182575,0.99433002
6,target,1.042043641,0.031859566,1.073903207,1.010184075
7,target,1.073592765,0.039203024,1.112795789,1.034389741
8,target,1.03243055,0.035233458,1.067664008,0.997197091
9,target,1.017754299,0.022435173,1.040189472,0.995319127
10,target,1.011072909,0.024560695,1.035633604,0.986512214
11,target,1.036923354,0.029362521,1.066285875,1.007560834
12,target,1.036263059,0.017611691,1.053874751,1.018651368
13,target,1.02164743,0.016435003,1.038082434,1.005212427
14,target,1.021870274,0.027059817,1.048930091,0.994810456
15,target,1.022193034,0.014333596,1.03652663,1.007859437
16,target,0.967206894,0.030837238,0.998044131,0.936369656
17,target,1.001012237,0.011378704,1.012390941,0.989633533
18,target,1.011799152,0.013499875,1.025299027,0.998299277
19,target,1.013099982,0.020584303,1.033684285,0.992515679
20,target,1.03274681,0.009518284,1.042265094,1.023228526
21,target,1.038705874,0.026120175,1.06482605,1.012585699
22,target,1.024663933,0.013665302,1.038329235,1.010998631
23,target,1.026868219,0.017342261,1.044210481,1.009525958
24,target,1.023779661,0.017796552,1.041576213,1.005983109
25,target,1.014733946,0.010411175,1.025145121,1.004322771
26,target,1.014572551,0.00891574,1.023488291,1.00565681
27,target,1.002267672,0.007471501,1.009739173,0.99479617
28,target,1.023496578,0.017372404,1.040868982,1.006124173
29,target,0.988990712,0.011536711,1.000527424,0.977454001
30,target,0.999722943,0.013833733,1.013556676,0.98588921
31,target,1.000485116,0.00863316,1.009118277,0.991851956
32,target,0.999111766,0.0256959,1.024807666,0.973415866
33,target,1.008896753,0.016467734,1.025364488,0.992429019
34,target,1.009344466,0.00572309,1.015067556,1.003621377
35,target,1.003268748,0.012269196,1.015537944,0.990999551
36,target,1.00845773,0.006049253,1.014506983,1.002408477
37,target,0.997075898,0.013707152,1.01078305,0.983368746
38,target,1.014552364,0.004140217,1.018692581,1.010412147
39,target,1.010772326,0.013322139,1.024094465,0.997450187
40,target,0.991660441,0.017388338,1.009048779,0.974272102
41,target,0.992491005,0.011055276,1.003546281,0.981435729
42,target,1.004509501,0.008118307,1.012627808,0.996391194
43,target,1.002255114,0.015636869,1.017891984,0.986618245
44,target,0.97804659,0.010470507,0.988517097,0.967576082
