non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,non-MO,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO1,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2,NIT1-MO2
0.90748,0.97695,1.22279,0.87900,1.20361,0.97563,0.96080,1.12094,1.10038,1.11898,1.01382,0.99606,1.03437,1.00981,1.08656,0.90398,1.07393,1.05034,0.99159,0.99227,0.98726,0.97882,1.04039,0.97513,1.04818,1.08090,0.97212,1.03069,1.00210,0.84305,1.01950,1.03899,1.07473,1.03553,1.06752,1.11788,1.01791,1.01303,0.97903,1.03427,0.99922,1.01059,1.04773,0.98405
0.89270,0.96013,1.21335,0.89446,1.19197,0.99162,1.01118,1.16548,1.06682,1.10803,0.99872,1.01569,0.97313,1.01461,1.07795,0.90511,1.04858,1.03478,0.97638,0.99690,0.97662,0.97161,1.05477,0.96540,1.04919,1.07963,0.97703,1.01446,0.99631,0.83355,0.99986,1.02732,1.06519,1.02621,1.07099,1.10432,1.00827,1.02161,0.98412,1.04826,0.99230,1.01806,1.03008,0.98711
0.90397,0.95260,1.21092,0.88851,1.17732,0.99794,1.04656,1.34300,1.07320,1.10682,0.99264,1.05016,0.96478,1.01222,1.06757,0.88276,1.06198,1.02985,0.97155,1.00967,0.97779,0.97467,1.04787,0.97209,1.05492,1.07499,0.97601,1.02220,0.99332,0.84634,1.01174,1.02672,1.05826,1.02228,1.07218,1.10863,1.01223,1.00813,1.00389,1.10870,1.00086,1.01837,1.02574,0.99150
0.90335,0.95330,1.17215,0.89502,1.15520,1.01989,1.09017,1.38472,1.06564,1.12087,0.99227,1.02798,0.97903,1.01947,1.04258,0.85848,1.07902,1.03838,0.98730,1.02115,0.98449,0.96645,1.04928,0.94624,1.05236,1.06842,0.98584,1.00872,0.99330,0.85773,0.99912,1.03970,1.07047,1.03070,1.06613,1.10554,1.01602,1.00180,0.98271,1.14455,1.01157,0.99665,1.03323,1.00265
0.89051,0.95217,1.19448,0.89271,1.15244,1.02620,1.11363,1.31925,1.06160,1.09826,0.99182,1.01827,0.97550,1.01577,1.03459,0.85970,1.07922,1.03385,0.97789,1.00241,0.99015,0.96884,1.03821,0.94924,1.04557,1.06458,0.97907,1.01974,0.98381,0.84491,0.98641,1.03058,1.06692,1.02426,1.06812,1.10382,0.99621,0.98930,0.99967,1.05070,0.99689,1.04434,1.02048,1.00622
0.89557,0.97375,1.17400,0.90744,1.13882,1.02429,1.11944,1.25845,1.05906,1.09534,0.99084,1.00658,0.98289,1.01374,1.01141,0.84685,1.09905,1.02394,0.97887,1.01206,1.03379,0.96151,1.05409,0.96899,1.04843,1.05752,0.98473,1.02823,0.98522,0.83526,0.99734,1.02971,1.07138,1.03959,1.07082,1.10185,1.01687,1.00106,0.98628,1.04163,1.01334,1.00930,1.01213,1.00439
0.89756,0.98579,1.20553,0.90794,1.13157,1.03114,1.12956,1.25281,1.07360,1.08718,0.99128,1.00872,0.98601,1.02443,1.01133,0.82558,1.09818,1.01310,0.96885,0.99735,0.98768,0.98168,1.04976,0.96157,1.04647,1.05044,0.98568,1.02229,1.00122,0.83367,0.98206,1.02897,1.04584,1.02406,1.07251,1.10642,1.00997,1.01054,0.98850,1.03776,1.00052,1.01881,1.02308,1.00451
0.91787,0.99811,1.18117,0.90226,1.13508,1.04703,1.13707,1.25879,1.06499,1.08690,0.98869,1.00012,0.98249,1.02439,1.00000,0.85283,1.08607,1.01628,0.95492,1.00119,1.01489,0.98463,1.03718,0.97674,1.04043,1.04776,0.97981,1.02924,1.00228,0.82848,1.00806,1.02050,1.07352,1.01887,1.07313,1.09533,1.00977,1.00278,0.98535,1.02797,0.99958,1.00845,0.99990,0.99434
0.90608,0.98698,1.16615,0.88937,1.12684,1.03320,1.10691,1.23231,1.05524,1.08804,0.99691,1.00714,0.97762,1.01476,0.98419,0.84601,1.07384,1.01152,0.95617,1.00181,1.00945,0.96850,1.05399,0.98124,1.05202,1.04631,0.98151,1.02026,0.99120,0.82371,1.01608,1.04147,1.06626,1.02603,1.07138,1.10550,1.01639,1.01389,0.98703,1.01108,1.00076,1.01917,0.99613,0.98077
0.90315,0.98608,1.15751,0.89560,1.12464,1.03145,1.07250,1.23142,1.05335,1.07645,0.99702,0.99937,0.98127,1.00889,0.97489,0.86476,1.06264,0.99553,0.96681,1.00595,0.98934,0.96439,1.05741,0.99759,1.05230,1.04140,0.98400,1.04101,0.99259,0.83065,0.98861,1.02469,1.06724,1.02085,1.06809,1.09576,1.00398,1.00891,1.00791,1.00343,1.01196,1.01554,1.01023,0.96886
0.89003,0.98031,1.15374,0.90187,1.13056,1.09193,0.97129,1.20343,1.05549,1.07886,1.00165,0.99350,0.97874,1.01492,0.96838,0.86314,1.04234,0.99121,0.98100,1.03165,0.98221,0.97288,1.04855,0.97541,1.05271,1.04714,0.99111,1.02950,0.98862,0.84395,0.98618,1.02848,1.06376,1.01989,1.06473,1.10389,1.01299,1.02725,0.98286,1.01064,0.99770,1.00196,1.00254,0.98651
0.88894,0.97983,1.13924,0.91619,1.11987,1.09468,0.89258,1.20917,1.06891,1.05990,1.00518,0.99141,0.97961,1.01848,0.96743,0.85481,1.02740,0.98417,0.96702,1.02079,0.92247,0.94985,1.05034,0.99262,1.05527,1.03169,0.99996,1.03353,0.98717,0.86177,1.00231,1.01370,1.07284,1.01859,1.05998,1.09529,1.02101,1.00527,0.98071,1.01452,1.00321,1.00598,0.99068,0.98559
0.88384,0.97783,1.14146,0.92000,1.12873,1.10487,0.86689,1.19459,1.05888,1.07661,1.03388,0.99202,0.98223,1.02067,0.95248,0.81530,1.01981,0.96628,0.97011,1.02634,0.94642,0.95760,1.02084,1.01267,1.05335,1.02948,0.99890,1.03069,1.00279,0.85419,0.99802,1.02086,1.07288,1.01543,1.05663,1.09032,1.00499,1.01618,0.98634,1.00817,1.00407,0.99760,1.00793,0.98003
0.86595,0.95585,1.13532,0.94984,1.13312,1.01221,0.94280,1.19350,1.05852,1.06656,1.08017,0.99353,0.97365,1.02944,0.93963,0.87119,0.99927,0.96215,0.97124,1.01475,1.00111,0.95628,1.02238,0.99948,1.05957,1.02263,1.00665,1.02901,0.99352,0.85007,0.98240,1.02144,1.05427,1.03559,1.05832,1.08519,1.00425,1.01058,0.98981,1.05283,1.01173,1.00180,1.00012,0.98239
0.85252,0.95616,1.13607,0.95986,1.12086,0.98706,0.95896,1.17076,1.05148,1.06536,1.10123,0.99944,0.98075,1.03421,0.95545,0.83580,0.98178,0.95735,0.96650,1.02946,1.01635,0.96149,1.00531,1.01911,1.05814,1.01265,0.99793,1.02887,1.01132,0.85127,0.99244,1.01407,1.04163,1.01999,1.05776,1.08782,1.00007,1.03868,1.00755,1.00805,0.99198,1.00505,1.01475,0.98429
0.84191,0.93096,1.13813,0.95648,1.12086,0.97831,0.95301,1.16507,1.04251,1.08615,1.10687,0.99051,0.97540,1.02598,0.93555,0.87327,0.96891,0.94395,0.97604,1.03667,1.02142,0.95096,0.98541,1.01752,1.06472,1.01778,0.98177,1.01945,1.01698,0.84995,0.98022,1.00721,1.03026,1.01633,1.04959,1.06836,1.00327,1.02431,0.99593,0.98990,1.00627,0.99328,0.99748,0.98989
0.83088,0.92221,1.13213,0.94381,1.11283,0.97013,0.93446,1.15680,1.04435,1.07774,1.10244,0.97274,0.97941,1.03048,0.93587,0.89571,0.94612,0.94571,0.97732,1.03462,1.03011,0.94397,0.98810,1.02026,1.06397,1.01876,0.97797,1.01922,0.99764,0.85676,0.99963,1.02050,1.04387,1.02421,1.04838,1.07870,1.01166,1.01630,1.01088,0.98953,1.00530,0.98488,0.99822,0.98453
0.82224,0.90652,1.13262,0.92298,1.10245,0.96867,0.92456,1.14446,1.03624,1.06322,1.09836,0.97994,0.96832,1.03579,0.93385,0.90826,0.93487,0.92649,0.98775,1.05511,0.88631,0.94212,0.98720,0.99111,1.06896,1.02232,0.98478,1.00756,1.01102,0.86444,1.00152,1.02126,1.04774,1.00888,1.04176,1.07017,1.02457,1.02868,0.98808,0.98620,1.01945,1.01157,1.00240,0.96940
