expression,solution,cell,time,intensity
GcG-NIT1,cGMP,A,0.2,1.000969109
GcG-NIT1,cGMP,A,0.4,1.005259939
GcG-NIT1,cGMP,A,0.6,1.005132247
GcG-NIT1,cGMP,A,0.8,1.007344835
GcG-NIT1,cGMP,A,1,1.00448829
GcG-NIT1,cGMP,A,1.2,0.999081251
GcG-NIT1,cGMP,A,1.4,0.994483093
GcG-NIT1,cGMP,A,1.6,0.996540352
GcG-NIT1,cGMP,A,1.8,0.995694367
GcG-NIT1,cGMP,A,2,0.991006518
GcG-NIT1,cGMP,A,2.2,1.008370713
GcG-NIT1,cGMP,A,2.4,1.005548331
GcG-NIT1,cGMP,A,2.6,1.010560782
GcG-NIT1,cGMP,A,2.8,1.021679502
GcG-NIT1,cGMP,A,3,1.030045443
GcG-NIT1,cGMP,A,3.2,1.033334704
GcG-NIT1,cGMP,A,3.4,1.032679359
GcG-NIT1,cGMP,A,3.6,1.027115969
GcG-NIT1,cGMP,A,3.8,1.049906268
GcG-NIT1,cGMP,A,4,1.055463901
GcG-NIT1,cGMP,A,4.2,1.124001513
GcG-NIT1,cGMP,A,4.4,1.052961002
GcG-NIT1,cGMP,A,4.6,1.068405737
GcG-NIT1,cGMP,A,4.8,1.08134156
GcG-NIT1,cGMP,A,5,1.073933814
GcG-NIT1,cGMP,A,5.2,1.087963968
GcG-NIT1,cGMP,A,5.4,1.083868001
GcG-NIT1,cGMP,A,5.6,1.088427904
GcG-NIT1,cGMP,A,5.8,1.085344126
GcG-NIT1,cGMP,A,6,1.091550322
GcG-NIT1,cGMP,A,6.2,1.088492389
GcG-NIT1,cGMP,A,6.4,1.106860457
GcG-NIT1,cGMP,A,6.6,1.103659223
GcG-NIT1,cGMP,A,6.8,1.100878296
GcG-NIT1,cGMP,A,7,1.101662995
GcG-NIT1,cGMP,A,7.2,1.11773966
GcG-NIT1,cGMP,A,7.4,1.114522817
GcG-NIT1,cGMP,A,7.6,1.124412095
GcG-NIT1,cGMP,A,7.8,1.117539551
GcG-NIT1,cGMP,A,8,1.123076968
GcG-NIT1,cGMP,A,8.2,1.123365489
GcG-NIT1,cGMP,A,8.4,1.123654009
GcG-NIT1,cGMP,A,8.6,1.127790919
GcG-NIT1,cGMP,A,8.8,1.130207197
GcG-NIT1,cGMP,A,9,1.136032623
GcG-NIT1,cGMP,A,9.2,1.135145567
GcG-NIT1,cGMP,A,9.4,1.136044778
GcG-NIT1,cGMP,A,9.6,1.148944392
GcG-NIT1,cGMP,A,9.8,1.252480492
GcG-NIT1,cGMP,A,10,1.168748281
GcG-NIT1,cGMP,B,0.2,1.003425475
GcG-NIT1,cGMP,B,0.4,0.998904977
GcG-NIT1,cGMP,B,0.6,0.997836875
GcG-NIT1,cGMP,B,0.8,1.005536769
GcG-NIT1,cGMP,B,1,0.999299746
GcG-NIT1,cGMP,B,1.2,0.999328829
GcG-NIT1,cGMP,B,1.4,0.992752042
GcG-NIT1,cGMP,B,1.6,0.995463077
GcG-NIT1,cGMP,B,1.8,1.006170397
GcG-NIT1,cGMP,B,2,1.001281811
GcG-NIT1,cGMP,B,2.2,1.006327698
GcG-NIT1,cGMP,B,2.4,1.007959377
GcG-NIT1,cGMP,B,2.6,1.015624497
GcG-NIT1,cGMP,B,2.8,1.016112205
GcG-NIT1,cGMP,B,3,1.022435086
GcG-NIT1,cGMP,B,3.2,1.036667889
GcG-NIT1,cGMP,B,3.4,1.045047817
GcG-NIT1,cGMP,B,3.6,1.050915107
GcG-NIT1,cGMP,B,3.8,1.067632098
GcG-NIT1,cGMP,B,4,1.065279416
GcG-NIT1,cGMP,B,4.2,1.069537156
GcG-NIT1,cGMP,B,4.4,1.080577287
GcG-NIT1,cGMP,B,4.6,1.079438627
GcG-NIT1,cGMP,B,4.8,1.112115315
GcG-NIT1,cGMP,B,5,1.088312333
GcG-NIT1,cGMP,B,5.2,1.107430815
GcG-NIT1,cGMP,B,5.4,1.10696612
GcG-NIT1,cGMP,B,5.6,1.112210024
GcG-NIT1,cGMP,B,5.8,1.108730316
GcG-NIT1,cGMP,B,6,1.104567032
GcG-NIT1,cGMP,B,6.2,1.112988688
GcG-NIT1,cGMP,B,6.4,1.117560018
GcG-NIT1,cGMP,B,6.6,1.12702006
GcG-NIT1,cGMP,B,6.8,1.140969242
GcG-NIT1,cGMP,B,7,1.141331135
