frame,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO1,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2,NIT2-MO2
1,1.0505606,0.9910662,1.0389502,1.0456903,1.0822164,0.9393538,1.0126205,1.0110500,0.9864664,1.0209350,1.0156874,0.9991664,1.0251179,1.0394004,1.0339419,1.0806019,0.9842247,1.0611659,1.0583713,1.0374369,1.1251100,1.0299701,1.1049108,0.9010012,0.9703634,0.9467746,1.0443371,1.1716338,1.0351428,1.0958865,1.0830942,0.9640075,0.8308001,0.9338527,0.9641949,1.0282905,0.9879871,1.0658301,1.0629952,0.9694445,1.0669441,1.0471138,1.1051942,1.0852004,1.0252300,1.1450655,1.1863796,1.1004876,1.0519159,1.0093652,1.0099610,1.0457785,0.9611205
2,1.0523055,0.9942803,1.0401079,1.0460410,1.0809234,0.9418824,1.0139102,1.0032098,0.9868575,1.0103363,1.0069461,1.0003923,1.0197109,1.0291530,1.0074440,1.0782952,0.9921523,1.0573637,1.0573285,1.0331868,1.1196655,1.0099448,1.0937166,0.9199832,0.9796378,0.9449462,1.0322108,1.1388478,1.0278710,1.1019270,1.1237783,0.9576485,0.8134499,0.9272425,0.9387498,1.0236267,0.9868545,1.0818421,1.0620745,0.9717568,1.0445796,1.0275651,1.1016953,1.0991600,1.0427813,1.1327654,1.1670774,1.1006461,1.0546154,1.0189209,0.9946910,1.0283922,0.9561832
3,1.0584711,0.9948764,1.0519542,1.0498838,1.0844240,0.9410361,1.0151538,1.0110773,0.9847975,1.0035154,1.0090433,1.0101500,1.0537063,1.0426473,1.0266573,1.0701411,1.0266025,1.0543674,1.0494956,1.0277968,1.1067225,1.0000453,1.0807504,0.9326795,0.9727976,0.9379910,1.0210359,1.1526957,1.0370677,1.1264246,1.1377017,0.9500679,0.8191107,0.9177430,0.9584784,1.0140352,0.9852511,1.0741373,1.0645943,0.9685636,1.0717243,1.0242523,1.0892571,1.0858536,1.0337549,1.1208434,1.1412116,1.0819757,1.0581006,1.0003333,1.0053747,1.0219879,0.9516069
4,1.0566389,1.0014342,1.0399529,1.0464209,1.0807815,0.9480408,1.0233755,1.0175515,0.9852930,1.0029120,1.0064092,1.0284643,1.0653066,1.0409662,1.0230377,1.0683708,1.0136604,1.0447792,1.0482831,1.0314770,1.1010335,0.9913078,1.0764190,0.9221012,0.9818408,0.9517085,1.0324071,1.1478927,1.0568782,1.1215070,1.1317484,0.9296335,0.7933684,0.9309814,0.9655589,1.0105154,0.9723983,1.0587778,1.0697066,0.9677011,1.0732181,1.0150795,1.0870900,1.0942840,1.0354473,1.1468449,1.1480348,1.0839180,1.0577380,1.0127462,1.0277672,1.0178489,0.9531151
5,1.0519420,1.0042509,1.0404077,1.0435132,1.0844713,0.9554126,1.0224313,1.0184120,0.9844846,1.0062962,1.0162411,1.0237080,1.0743759,1.0308110,1.0132262,1.0595730,1.0035780,1.0442626,1.0306286,1.0290018,1.0983764,0.9964990,1.0726360,0.9132331,0.9749763,0.9824236,1.0599064,1.1412151,1.0410245,1.1360404,1.1484254,0.9099927,0.7961705,0.9267684,0.9670421,1.0207779,0.9858746,1.0648262,1.0675987,0.9639757,1.0701878,1.0299403,1.0912887,1.0792156,1.0557410,1.1388376,1.1453107,1.0805883,1.0387808,1.0064922,1.0093565,1.0261151,0.9627963
6,1.0545449,1.0095818,1.0395394,1.0434840,1.0799931,0.9684534,1.0322766,1.0186989,0.9886047,1.0212498,1.0033053,1.0385653,1.1113625,1.0374430,1.0106083,1.0635696,1.0138466,1.0408737,1.0250267,1.0244748,1.0875200,1.0017807,1.0740986,0.9280019,0.9731749,0.9777286,1.0416188,1.1309934,1.0572658,1.1537230,1.1698146,0.9168111,0.8039965,0.9189327,0.9686967,1.0215588,0.9887252,1.0561677,1.0669687,0.9551302,1.0504908,1.0257212,1.0874286,1.0749472,1.0460564,1.1341222,1.1638085,1.0719269,1.0561868,1.0168733,1.0282534,1.0286768,0.9576270
7,1.0511713,1.0180318,1.0403250,1.0357399,1.0754202,0.9640283,1.0319082,1.0173876,0.9984093,1.0164227,1.0084393,1.0354271,1.1062430,1.0357850,1.0114506,1.0600558,1.0186217,1.0467216,1.0285430,1.0266732,1.0774297,1.0121933,1.0835208,0.9278320,0.9785789,0.9774254,1.0412866,1.1648194,1.0584288,1.1564464,1.1602350,0.9160593,0.8167190,0.9141293,0.9900127,1.0272455,0.9951388,1.0392019,1.0529402,0.9449634,1.0505548,1.0142826,1.0880607,1.1044157,1.0315140,1.1308526,1.1378908,1.0602529,1.0426085,1.0011111,1.0247316,1.0211815,0.9529218
8,1.0453838,1.0148695,1.0376994,1.0289747,1.0781324,0.9686777,1.0351324,1.0143690,0.9941589,1.0142190,1.0147982,1.0196626,1.0535338,1.0338277,1.0059188,1.0579368,1.0193799,1.0517017,1.0296586,1.0291321,1.0776090,1.0242357,1.0771643,0.9327814,0.9787980,0.9618611,1.0184083,1.1568692,1.0787338,1.1536198,1.1623487,0.9229195,0.8390365,0.9463398,1.0007155,1.0308753,0.9955970,1.0472079,1.0497904,0.9577178,1.0532864,1.0154858,1.0917854,1.1118892,1.0344131,1.1254031,1.1669737,1.0638602,1.0610822,1.0196352,1.0307239,1.0221540,0.9556676
9,1.0527854,1.0231381,1.0304324,1.0242113,1.0906525,0.9688510,1.0315166,1.0196003,1.0037550,1.0144289,1.0161236,1.0020349,1.0076504,1.0285313,1.0078310,1.0552814,1.0173182,1.0536441,1.0347754,1.0323563,1.0843413,1.0129780,1.0841818,0.9361225,0.9808306,0.9998438,1.0549532,1.1407088,1.0582951,1.1408289,1.1409013,0.9571264,0.8664629,0.9493363,1.0094506,1.0341642,0.9940572,1.0405823,1.0458411,0.9556991,1.0504695,1.0060631,1.0747195,1.0870232,1.0149656,1.1315866,1.1542613,1.0639989,1.0714976,0.9847934,1.0167286,1.0185130,0.9510783
10,1.0540505,1.0186280,1.0249641,1.0178407,1.0864739,0.9713287,1.0236634,1.0064469,1.0035464,1.0014429,1.0217107,0.9700892,0.9536757,1.0318703,1.0031643,1.0556032,1.0070763,1.0546360,1.0330536,1.0406774,1.0812115,1.0164338,1.0862069,0.9340499,0.9768750,1.0088020,1.0554666,1.1052682,1.0754722,1.1185126,1.1225372,0.9714107,0.9003991,0.9553920,1.0132294,1.0304024,0.9960424,1.0449743,1.0565745,0.9492210,1.0380068,0.9985311,1.0783088,1.0904562,1.0360898,1.1119464,1.1327280,1.0662782,1.0666022,0.9963174,1.0255989,1.0134489,0.9532312
