frame,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO1_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS,NIT2MO2_NOS
1,1.072924119,0.886934577,1.044299466,1.124807232,1.035403953,0.908340644,0.916827055,0.933311561,0.980549013,1.011200932,1.000531955,1.071296541,1.104826803,1.003076757,0.953844305,1.003280705,1.008862494,1.218383149,1.033107936,1.044360979,0.98166223,1.007928809,1.05650575,0.950192802,1.029006868,0.977557884
2,1.055277341,0.886858104,1.033943154,1.097101835,1.02962454,0.926568541,0.918957932,0.961005879,1.001218225,0.954065904,0.996504294,1.0879324,1.117546848,1.009931987,1.021795745,1.028552389,0.965417999,1.186634474,1.007782598,1.043244341,0.962141378,1.021213783,1.037125679,0.948127066,1.076850514,0.973030656
3,1.049601755,0.898405537,1.067612574,1.103217229,1.022996403,0.918640543,0.922669783,0.948203788,1.00743117,1.010515859,1.012766928,1.085621864,1.09346962,1.009122315,0.996073561,1.030346525,0.95678392,1.181639053,1.028770094,1.042838291,0.947648625,1.014676732,1.015002043,0.938211531,1.077204257,0.92892252
4,1.01945915,0.888808167,1.069391852,1.095825578,1.017216991,0.909607824,0.926587847,0.96159373,0.988832941,0.992498459,0.996200319,1.076115659,1.109142533,1.019432149,1.000600986,1.028706172,0.969894929,1.180695474,1.029726971,1.036544513,0.959538598,1.027118215,0.999357889,0.970666544,1.089378887,0.966886561
5,1.001812372,0.880969678,1.068844382,1.068013826,0.99401851,0.943139357,0.905072862,0.936120183,0.989685698,1.006747962,1.010867087,1.053142329,1.101760363,1.033088632,1.002684402,1.062794751,0.950571037,1.159159659,1.025708089,1.099583799,0.946702159,0.95753026,1.031288308,0.935503122,1.067653215,0.970702367
6,0.993895169,0.887087523,1.082439892,1.025791013,1.016247019,0.946843422,0.915039868,0.922860875,0.994396167,0.993628828,1.011171062,1.081330869,1.108801817,0.999460218,0.996474218,1.011482469,0.986934673,1.138539672,1.0318321,1.04923358,0.95942029,1.028341276,1.031113187,0.948632024,1.068124871,0.971219765
7,0.972242095,0.907582304,1.080979972,1.014889657,0.996120115,0.953374273,0.91497113,0.952188112,1.002070982,0.989689662,1.025153887,1.067269607,1.1040318,0.993900464,1.000641051,0.994873898,0.984696208,1.14694863,1.036169941,1.067404324,0.948950015,0.973261355,1.054287549,0.915901579,1.065177019,0.974130125
8,0.97672533,0.909417658,1.039189744,1.042063281,1.007193954,0.953406765,0.916414627,0.949967342,0.999918785,0.985202439,1.020366289,1.049577502,1.063032368,0.979866134,1.017668977,1.018300185,0.949931476,1.167485361,1.0364889,1.048624505,0.990653653,0.977647505,1.034090246,0.95987881,1.038705303,0.989458026
9,0.965278771,0.90299392,1.014644829,1.065301781,1.016044942,0.966955844,0.909953258,0.947615937,1.000040607,0.970370624,1.029181549,1.065025086,1.07370812,0.956655511,0.980968789,1.015788395,0.965692097,1.116643077,1.058050523,1.070246675,0.980834073,1.019442453,1.045881735,0.945556372,1.062789258,0.967856681
10,0.967425001,0.900393836,1.000821205,1.092954002,1.010184699,0.959190304,0.913527633,0.959111692,0.983269715,0.973727478,1.033361198,1.083047267,1.068824532,0.98418439,0.99066469,0.961554234,0.97268159,1.110482058,1.051033427,1.059181809,0.984619935,0.978617519,1.068413986,0.991645244,1.054328921,0.963588152
11,0.938093194,0.895805453,1.028924677,1.14129221,1.022349755,0.966630926,0.911053066,0.971195297,0.999228458,0.98417483,1.019910328,1.077898072,1.057808064,0.952229299,0.971272888,0.993746155,0.974189127,1.127855022,1.029216637,1.091564308,0.974977817,1.02323816,1.049092289,0.980214837,1.032632727,0.954533696
12,0.932560691,0.887814018,1.069756832,1.05291146,1.0214202,0.980569906,0.922807259,0.974330503,0.981523593,0.952079194,1.01155103,1.058951677,1.065530948,0.948234913,1.002724468,0.996924339,0.934582001,1.131823606,1.072084715,1.097553548,0.992428276,0.977731854,1.024750452,0.965525156,1.018099814,0.966110464
13,0.931463729,0.903643941,1.073862859,1.021855889,1.030594512,0.948110602,0.911465494,0.992945787,0.979046536,0.944063849,1.019226385,1.060205968,1.058716638,0.927183418,0.967186185,1.013379127,0.968570123,1.119362806,1.056009186,1.100497411,0.967997634,1.002066551,1.01447668,0.962403599,1.048462695,0.962165308
14,0.917823246,0.91534432,1.05433642,1.004094656,1.033706503,0.942067128,0.895861974,0.97642064,0.992690652,0.963177365,1.033437191,1.056707156,1.052356616,0.925564072,0.944909652,1.04669879,0.955824577,1.119668082,1.044080122,1.082225155,0.966873706,1.004892244,1.002568443,0.941470804,1.011614539,0.984995473
