frame,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO1_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW,NIT2MO2_RGW
1,1.061709956,0.921444267,0.770400303,0.975421459,1.011866949,0.957790602,0.942931176,1.043904496,0.985683317,0.958703803,0.963453032,0.975948942,1.016968455,1.12338017,1.01235616,0.77363713,0.91700423,1.01449973,1.05663701,1.02990373,1.03025712,0.90516825,1.02953301,1.13856865,0.86441724
2,1.056974245,0.908609668,0.761712337,0.977469671,1.007367214,0.953091509,0.951589458,1.059874559,0.96477283,0.95891805,0.991603568,0.986429291,1.035189614,1.14888828,0.98148699,0.76338511,0.90247617,1.00218599,1.00654894,1.05926128,1.02649219,0.8994094,1.03068135,1.1451015,0.8643446
3,1.035080689,0.903365961,0.798004799,0.971902736,1.027836598,0.951112943,0.923339443,1.071891635,0.999458044,0.973111944,0.984931404,0.968894861,1.014007516,1.10878461,0.9746083,0.77180502,0.91371486,1.00814231,1.02321485,1.0325664,0.95220386,0.86521364,1.04457924,1.1510014,0.8610758
4,1.035299261,0.878495805,0.810455866,1,1.002735133,0.941467436,0.940529609,1.047383123,0.971502123,0.969844671,1.010195667,0.975142761,1.024143036,1.13060974,1.04462656,0.75810318,0.92544087,1.02200028,1.02271803,1.04444596,1.03030303,0.85579773,1.04481479,1.14410688,0.83496168
5,1.045353539,0.878595685,0.804924864,0.988078357,1.00419093,0.9356554,0.929975352,1.041163759,0.993451359,0.960096411,0.982944748,0.958481693,0.994135064,1.12665394,0.98356758,0.75829809,0.93393842,1.02017528,1.05148819,1.0366628,0.99113866,0.84667605,1.04219422,1.15407568,0.84720154
6,1.035335689,0.860517379,0.798888749,1.015230293,1.018087171,0.938540808,0.933577703,1.065356032,0.98767049,0.975897161,1.005322738,0.960900235,1.00859811,1.07631974,1.0155832,0.74603855,0.92991807,0.98582115,0.98265661,1.06772718,0.95307622,0.83625129,1.0527943,1.14037705,0.82951367
7,1.016392845,0.86810827,0.797575451,1.027256972,0.988088936,0.952267106,0.946723125,1.06688452,0.98319935,0.971076593,0.998125797,0.953107155,1.004156702,1.0929614,1.00390642,0.76708831,0.91468949,1.02567034,0.97479789,1.01344985,0.96147842,0.82708758,1.04552147,1.12561599,0.82046998
8,1.03056355,0.893377946,0.777699204,0.98198624,1.007058408,0.961129431,0.925425014,1.058820429,0.983109024,0.983770755,0.976984781,0.9665435,1.015943514,1.1202428,0.97159356,0.77318884,0.90804983,1.00084231,0.9773723,1.04430941,0.96685032,0.82053007,1.04731759,1.12281297,0.83550648
9,1.053513533,0.912455054,0.83235257,0.977364634,1.015307923,0.955894477,0.944321557,1.065408739,0.971005329,0.961274772,0.999662643,0.982062479,1.007800934,1.07986632,1.02917074,0.75266533,0.956629,0.98738544,0.96156452,1.04369495,1.00720845,0.82109754,1.00800895,1.07816809,0.8346348
10,1.071509235,0.907960447,0.82103801,0.970012079,1.0123081,0.942126958,0.941477596,1.063985664,0.983560654,0.976379218,0.997113727,1.015451797,0.999430589,1.07802483,1.00891682,0.76476894,0.92291292,1.02771594,0.96978456,1.02246194,0.9637741,0.79949137,0.99328661,1.10104435,0.81898086
11,1.034206404,0.907710747,0.808031317,0.981356021,0.996250221,0.929389942,0.925993806,1.063564012,0.980489567,0.972094269,0.983394557,0.984413839,1.013608928,1.09343882,0.99138041,0.73734578,0.92714647,1.02506869,0.99435437,1.04171503,1.00959596,0.79079005,1.04201755,1.07581717,0.8438601
12,1.033623547,0.918547743,0.802500316,1.014495037,0.996691371,0.923701566,0.953169437,1.036683708,0.981302502,0.963685056,1.006072419,0.98286866,1.007573169,1.10312372,1.03617681,0.76317072,0.90016142,1.00214588,1.03631272,1.04888373,0.96129477,0.83255218,1.04496202,1.06503459,0.86369084
13,1.040799971,0.942718738,0.805707791,1.021112337,1.010499382,0.931286068,0.943879163,1.058609603,0.989206034,0.973808249,0.987592773,1.01713134,1.003587291,1.06697586,0.98403465,0.75718713,0.95263911,0.97573351,1.01400117,1.07257459,0.95,0.86203998,1.02019905,1.08024775,0.85297643
14,1.014316418,0.943967239,0.79540346,1.016385694,1.003485089,0.924525969,0.943057574,1.079534075,0.979992774,0.958168184,1.013231876,1.02801478,0.980355313,1.07072705,0.98301558,0.74789015,0.95440563,1.01973407,1.00600696,1.04369495,1.00987144,0.88255323,1.05011483,1.04780958,0.85446555
15,1.012239991,0.921294447,0.791943427,1.004411533,0.998897124,0.974402308,0.944511155,1.054972856,0.987264023,0.967755758,1.005585126,1.007927444,0.988270129,1.07638794,0.9765615,0.74348529,0.93369476,1.00834286,0.9925026,1.04116884,0.96822773,0.87124572,1.00700783,1.02222072,0.82904151
16,1.032494263,0.926787855,0.796262154,1.020429599,1.017513676,0.938334707,0.947544713,1.055130976,0.979089513,0.977932512,0.995539396,0.988915015,1.003587291,1.07413723,1.00598701,0.7340129,0.97877136,0.99145659,0.9866763,1.06970711,1.00991736,0.86494041,1.01746069,1.02326055,0.81138997
17,1.035226403,0.911755893,0.775906049,1.023633213,1.022631022,0.946826051,0.92871137,1.073051178,0.978999187,0.968773433,1.018629582,1.025529056,0.992768477,1.06745328,0.9984714,0.73726782,0.90546097,0.99590879,1.0275507,1.00088755,1.03879706,0.8753862,1.02464519,1.03135314,0.80191043
18,1.039051401,0.916100679,0.775097866,1.026154089,1.011337568,0.955193735,0.946280731,1.064828967,0.984870382,0.975950723,1.022265537,1.004501176,1.00204988,1.04624199,1.02466987,0.72461847,0.92659824,1.02338407,1.00492299,1.05618898,1.03002755,0.86935413,1,1.01754148,0.76733374
19,1.034133547,0.898721534,0.769112262,1.019169161,0.99982354,0.93915911,0.95291664,1.063458599,0.964998645,0.96925549,1.013981558,0.963587504,1.009053639,1.0522439,0.98976689,0.72561249,0.97475101,1.02821732,1.00952983,1.0187069,1.00945822,0.85544043,0.99608386,1.03044894,0.80165619
20,1.014097847,0.907560927,0.786134613,1.007142482,1.008073055,0.95366859,0.955255009,1.081273388,0.966760004,0.975307981,0.990029238,1.032381592,0.993167065,1.05169827,1.03800263,0.73025123,0.96037523,1.03278984,0.96824895,0.99993173,1.03521579,0.87002669,1.01542901,1.06632307,0.77852032
