frame,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,WT_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC,NOS11_MC
1,1.00282644,2.222771483,0.978411016,1.053848451,0.333057891,0.971202391,1.049092898,1.731121155,0.991151494,0.307146291,1.024287647,1.575652906,0.979109572,1.91202125,0.989038484,1.287197035,0.999328039,1.612128059,0.758757214,1.01722241,0.999151262,1.060606981,0.971630025,1.856414776,0.826381522,1.301105859,1.015174126,1.012972062,1.035714863,0.465562759,0.999574999,1.003120444
2,0.994487043,2.218983725,0.986242452,1.055029793,0.334632771,0.966557615,1.040067463,1.683359056,0.987113249,0.310519148,1.021370551,1.537278854,0.974009938,1.851394522,0.968763652,1.282149986,1.012950519,1.618729055,0.762425625,1.028323178,0.979558369,1.046439378,0.962324674,2.330778663,0.827538818,1.317982503,1.027112484,1.00344181,1.035132556,0.454705928,0.989045941,0.994127025
3,0.993787429,2.22299618,0.982964177,1.058989238,0.337520051,0.95003837,1.057419394,1.604977401,0.994774036,0.316463708,1.017293063,1.480960404,0.970847764,1.846728167,0.94549029,1.243512974,0.990348198,1.617827765,0.762984834,1.049593771,0.978565777,1.043271907,0.954078468,2.477391171,0.825344778,1.336998139,1.025767941,1.009399701,1.02198211,0.436460205,0.989484652,0.991497132
4,1.018945542,2.203158604,0.98279606,1.05726266,0.340835075,0.94131427,1.07762786,1.537289163,0.999465526,0.317425092,1.021402785,1.429823083,0.963961251,1.797516063,0.921303467,1.213715426,1.032376298,1.590801767,0.767704559,1.074320131,0.959361289,1.05098313,0.945438865,2.634503372,0.824862571,1.326870013,1.034928562,0.996807425,1.012923993,0.445051941,0.990554009,0.995598676
5,1.02034477,2.186948287,0.999887922,1.061637523,0.342254411,0.953511854,1.041161455,1.480184103,0.987172635,0.317240827,1.020790356,1.376242628,0.958118757,1.75727772,0.889729537,1.212403764,1.016127062,1.55268102,0.767055876,1.079045362,0.938804575,1.052096299,0.940067483,2.769504905,0.820016395,1.299865244,1.053397556,0.987728168,1.001568995,0.423197688,0.998066931,0.990625043
6,1.001427212,2.189548358,0.984687373,1.068504888,0.339542118,0.950361485,1.025070654,1.416850402,1.002375438,0.312682262,1.009814982,1.342249368,0.961993676,1.714742094,0.896739346,1.19546621,1.001405009,1.530085305,0.77369928,1.064432408,0.925253542,1.062185656,0.933561302,2.921252299,0.811023242,1.269373917,1.063947046,1.002646633,0.995098911,0.391689448,1.000836292,0.992205704
7,1.008367381,2.175841813,0.987307191,1.056613571,0.337947796,0.932509391,1.012216246,1.357512953,0.999049825,0.309734017,1.006398271,1.295577085,0.95854038,1.676334398,0.880217642,1.179726262,1.004886988,1.500393521,0.776517693,1.042583503,0.931079623,1.064715585,0.928553056,3.045064378,0.822716752,1.256261898,1.079756505,0.998658881,0.989405238,0.367663829,0.997943543,0.981631624
8,0.99280797,2.171957757,0.986018297,1.052264673,0.341807223,0.933357567,1.030935667,1.331578657,1.008373419,0.307803237,1.022853275,1.24915754,0.963158159,1.639183029,0.873724135,1.166295979,1.010995724,1.471628415,0.764640093,1.034515346,0.925526865,1.070746936,0.921456779,3.136725935,0.819148423,1.264144082,1.072221155,1.013790975,0.988580302,0.355838475,1.003427428,0.991551637
9,1.013348632,2.153596764,0.998809173,1.044228947,0.378019735,0.94563593,1.077612666,1.29012788,1.004335174,0.307442718,1.030299123,1.227927548,0.966009135,1.623963531,0.8693157,1.170202452,1.000610874,1.472351985,0.770455867,1.037082487,0.936128893,1.067862817,0.944137628,3.168263335,0.812180538,1.24297876,1.067419217,1.019547105,1.014460638,0.350199172,1.004208881,0.994290542
10,0.999664185,2.142747087,0.994059877,1.048551882,0.45111554,0.941152712,1.046114808,1.267831551,1.014430786,0.305183464,1.05571493,1.208972199,0.961562014,1.647797839,0.85620954,1.167807243,0.990714722,1.463415253,0.770925603,1.046293162,0.944846436,1.069360535,0.952913407,3.14097946,0.8130244,1.221364249,1.073846427,1.028875596,1.052682659,0.344122471,1.010008089,0.995326148
