frame,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1
1,1.022390012,0.926356094,0.961597806,1.017515883,1.155615826,1.001056943,0.771734506,0.744914105,1.496921765,1.493687183,1.478461807,0.982146354,0.817349631,0.809365013,0.983627918,0.566994365,1.018826248,0.826511645,0.825967533,1.157104351,1.145104826,1.016475713,1.432411745,1.16826117,0.89929186,0.941220123,0.991735537,1.075743402,0.974669404,0.985009787,1.002696318,1.278821899,0.99476077,0.921048374,1.07000777,1.247147817,0.972399763,0.981623733
2,1.01622248,0.90488194,0.968926796,1.01463515,1.145671258,0.98893513,0.773223656,0.756187839,1.548683463,1.530858045,1.523151378,1.04608277,0.820284314,0.805127136,0.982523227,0.556765282,0.992014137,0.806028356,0.794271959,1.17708467,1.166974787,1.045497585,1.423454815,1.223155284,0.903974903,0.942704307,0.992312128,1.042690705,0.951754121,0.991454624,1.029857392,1.242228301,0.988246382,0.924958205,1.055244755,1.221230159,0.944070526,0.961275923
3,1.035136246,0.906477345,0.962240699,1.016435608,1.143553874,0.996564936,0.766451567,0.764607821,1.537933321,1.554863361,1.505319149,1.01045378,0.844084863,0.81718077,0.987395196,0.550303197,0.998266898,0.817910121,0.800475279,1.125914517,1.132871809,1.026181233,1.41701131,1.220675468,0.894711118,0.923409913,0.988962412,1.05643904,0.987138458,0.998138158,1.016388171,1.216221977,0.989133448,0.902577792,1.062004662,1.207279266,0.948224125,0.946173161
4,1.004298584,0.918570517,0.949468541,1.017181512,1.175124307,0.99326199,0.781839455,0.769241637,1.510844857,1.538416812,1.431723055,1.045612937,0.8386732,0.858065861,0.98447768,0.559245988,0.997485303,0.856653424,0.830133942,1.096692765,1.094206034,0.998532336,1.42444876,1.221901286,0.890630506,0.909279243,1.002773125,1.072937041,0.979590604,0.999761302,1.01820633,1.199701567,0.996479459,0.91018174,1.05955711,1.278397817,0.969042977,0.966093183
5,1.01035398,0.908040842,0.951568661,1.007227552,1.15373635,0.979587792,0.774570983,0.772406193,1.534855086,1.601129662,1.526116149,0.991034025,0.839723224,0.837849104,0.979719012,0.561941076,0.987732355,0.898604075,0.87170545,1.075129423,1.088502537,1.003503456,1.392288358,1.23720288,0.892733328,0.933397236,0.998270229,1.064716387,0.972103134,0.988208335,1.021681859,1.177638825,0.988107778,0.915304967,1.041414141,1.177765377,0.948274985,0.954803311
6,0.979852727,0.91936822,0.962283559,1.00468119,1.154640402,0.996234641,0.813572543,0.800039557,1.541627202,1.58729961,1.517047436,0.983399241,0.843896398,0.827914409,0.9823816,0.57054698,0.987970231,0.868207166,0.853496698,1.139648312,1.11894741,1.007906448,1.392356906,1.230172037,0.869738682,0.907300331,1.021086736,1.069251921,0.979198116,0.997087888,1.03152713,1.146374392,0.996285413,0.921533732,1.041336441,1.04265873,0.938916674,0.962243095
7,1.008036482,0.927728143,0.956068918,1.006301602,1.14714629,0.995541023,0.776840165,0.789585217,1.513828377,1.603704627,1.530781304,0.897184919,0.825372893,0.81349868,0.977764559,0.634478746,0.978251266,0.870211758,0.830349978,1.112437428,1.114502616,1.012025376,1.380715183,1.190607696,0.895984178,0.913298909,1.015513028,1.080250588,0.957641447,0.988685731,0.996017365,1.128610509,0.984725841,0.908402092,1.043123543,0.927517361,0.938543698,0.963526458
8,0.985197922,0.979674537,0.985942054,0.989557345,1.155806152,0.995210728,0.819600057,0.850276899,1.470922523,1.546515491,1.585585978,0.954817744,0.829357601,0.82159233,0.978161115,0.620176406,1.008903388,0.872653716,0.846737856,1.102639798,1.118396727,1.017091185,1.370147378,1.17977259,0.897961967,0.892644012,1.013783257,1.101170734,0.980466155,0.986060056,1.013815537,1.122037873,0.985113932,0.928625357,1.031740482,0.931547619,0.921149445,0.943290245
9,1.027025007,0.976005105,1.009386251,0.996501968,1.138129565,0.999009116,0.820025528,0.840415913,1.456052283,1.547512252,1.49895361,0.879996868,0.810161004,0.815513408,0.972467709,0.606471273,1.002140891,0.92867296,0.880007407,1.1133359,1.127207647,1.0094688,1.383320005,1.156580672,0.910556168,0.891809159,1.011833832,1.07993877,0.962049393,0.970258271,1.029919234,1.103812129,0.984282309,0.917462115,1.023581974,1.126116071,0.931050267,0.930586813
10,1.012110791,1.001723038,1.005700326,0.991100594,1.152047201,0.985301889,0.819600057,0.834595389,1.454347414,1.549173519,1.638079874,0.864296622,0.812018739,0.784736696,0.987650125,0.596425946,0.993781221,0.934030688,0.880933276,1.115731827,1.109231798,1.019269009,1.366719982,1.135939019,0.905611694,0.897220247,1.006562148,1.07993877,0.971559688,0.95397909,1.04059319,1.101538352,0.997837778,0.949010408,1.018026418,1.097780258,0.931355429,0.981288943
11,0.993010129,0.99460753,1.032959026,0.976414002,1.142459496,0.985632184,0.840731811,0.851746157,1.381985224,1.510133732,1.665983607,0.914881955,0.795514512,0.766986244,0.970853161,0.583302707,0.980664016,0.99085177,0.962471452,1.091815342,1.08500177,1.010463024,1.35338741,1.19955476,0.917160167,0.890881544,1.000851157,1.069053491,0.9532335,0.964481787,1.026913705,1.090489217,1.00277208,0.93935717,1.034110334,1.094184028,0.905755701,0.970203664
12,1.013419056,0.997223995,1.027430139,0.986213637,1.140960674,0.999306381,0.810062402,0.824423599,1.367683273,1.503571725,1.574598884,0.904114953,0.79957999,0.77806725,0.951591888,0.582919882,0.991912189,0.955097132,0.910252454,1.126641852,1.1302364,1.019931825,1.335907689,1.213010581,0.939029519,0.899755728,1.011010132,1.061258043,0.968842461,0.949348355,1.04059319,1.106867517,0.995730997,0.953810063,1.042152292,1.10875496,0.929727897,0.978703618
13,1.028632303,0.989629866,0.992285273,0.982844209,1.140199367,1.003732329,0.807686853,0.82761641,1.397423754,1.529819752,1.598447855,0.936455112,0.80052232,0.802487147,0.978047813,0.614969987,0.983212696,0.908043882,0.877445837,1.149659864,1.149864296,0.992235584,1.309219696,1.20582475,0.942018937,0.896539996,1.003871393,1.069903903,0.977477205,0.965627536,1.048113196,1.100436992,1.000304929,0.938197703,1.063131313,1.112475198,0.920742562,0.963991444
14,1.038126566,0.984141672,1.016886679,0.993646956,1.153403278,0.993328049,0.812508864,0.83346519,1.452784618,1.52903065,1.525549355,0.970987824,0.814361101,0.801549257,0.968360526,0.628904814,0.981343664,0.857382367,0.827757546,1.150815043,1.15033631,0.965012783,1.285102251,1.241148042,0.954454005,0.89558146,1.005408967,1.062873827,0.985296782,0.997899461,1.047581353,1.097168437,1.000304929,0.944210753,1.051398601,1.082217262,0.897143342,0.908490654
15,1.008223376,0.995692406,1.026701526,1.003137941,1.141983679,0.992733518,0.799780173,0.832080696,1.447480583,1.481933715,1.516393443,0.95861556,0.797291476,0.7975198,0.960769318,0.66346625,0.956978285,0.83864854,0.792914018,1.09237154,1.113558589,0.9893476,1.238741003,1.227678131,0.926753583,0.922204013,1.005848274,1.062562009,1.018567719,0.984198215,1.022188965,1.068000142,0.991489716,0.992584803,1.053885004,1.06547619,0.923777231,0.932297963
16,1.04567712,0.982450542,1.029101663,0.999665629,1.139033616,0.989265425,0.822152886,0.830357143,1.38132222,1.510382922,1.522148587,0.991034025,0.782591137,0.779387245,0.992777022,0.653558741,0.978964896,0.841163392,0.788593297,1.075471698,1.082327027,0.964018559,1.244910316,1.24867203,0.92043375,1.021427909,1.006699432,1.088046036,1.003441821,0.974745787,1.010389482,1.073613529,0.992321339,0.982122634,1.047785548,1.053943452,0.963194032,0.950506835
