frame,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,WT_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1,NOS11_Ser-h1
1,1.496921765,1.493687183,1.478461807,1.018826248,1.157104351,1.145104826,1.016475713,0.89929186,0.941220123,0.991735537,1.075743402,0.974669404,0.985009787,1.002696318,1.278821899,0.99476077,0.921048374,1.07000777,1.247147817,0.972399763,0.981623733
2,1.548683463,1.530858045,1.523151378,0.992014137,1.17708467,1.166974787,1.045497585,0.903974903,0.942704307,0.992312128,1.042690705,0.951754121,0.991454624,1.029857392,1.242228301,0.988246382,0.924958205,1.055244755,1.221230159,0.944070526,0.961275923
3,1.537933321,1.554863361,1.505319149,0.998266898,1.125914517,1.132871809,1.026181233,0.894711118,0.923409913,0.988962412,1.05643904,0.987138458,0.998138158,1.016388171,1.216221977,0.989133448,0.902577792,1.062004662,1.207279266,0.948224125,0.946173161
4,1.510844857,1.538416812,1.431723055,0.997485303,1.096692765,1.094206034,0.998532336,0.890630506,0.909279243,1.002773125,1.072937041,0.979590604,0.999761302,1.01820633,1.199701567,0.996479459,0.91018174,1.05955711,1.278397817,0.969042977,0.966093183
5,1.534855086,1.601129662,1.526116149,0.987732355,1.075129423,1.088502537,1.003503456,0.892733328,0.933397236,0.998270229,1.064716387,0.972103134,0.988208335,1.021681859,1.177638825,0.988107778,0.915304967,1.041414141,1.177765377,0.948274985,0.954803311
6,1.541627202,1.58729961,1.517047436,0.987970231,1.139648312,1.11894741,1.007906448,0.869738682,0.907300331,1.021086736,1.069251921,0.979198116,0.997087888,1.03152713,1.146374392,0.996285413,0.921533732,1.041336441,1.04265873,0.938916674,0.962243095
7,1.513828377,1.603704627,1.530781304,0.978251266,1.112437428,1.114502616,1.012025376,0.895984178,0.913298909,1.015513028,1.080250588,0.957641447,0.988685731,0.996017365,1.128610509,0.984725841,0.908402092,1.043123543,0.927517361,0.938543698,0.963526458
8,1.470922523,1.546515491,1.585585978,1.008903388,1.102639798,1.118396727,1.017091185,0.897961967,0.892644012,1.013783257,1.101170734,0.980466155,0.986060056,1.013815537,1.122037873,0.985113932,0.928625357,1.031740482,0.931547619,0.921149445,0.943290245
9,1.456052283,1.547512252,1.49895361,1.002140891,1.1133359,1.127207647,1.0094688,0.910556168,0.891809159,1.011833832,1.07993877,0.962049393,0.970258271,1.029919234,1.103812129,0.984282309,0.917462115,1.023581974,1.126116071,0.931050267,0.930586813
10,1.454347414,1.549173519,1.638079874,0.993781221,1.115731827,1.109231798,1.019269009,0.905611694,0.897220247,1.006562148,1.07993877,0.971559688,0.95397909,1.04059319,1.101538352,0.997837778,0.949010408,1.018026418,1.097780258,0.931355429,0.981288943
11,1.381985224,1.510133732,1.665983607,0.980664016,1.091815342,1.08500177,1.010463024,0.917160167,0.890881544,1.000851157,1.069053491,0.9532335,0.964481787,1.026913705,1.090489217,1.00277208,0.93935717,1.034110334,1.094184028,0.905755701,0.970203664
12,1.367683273,1.503571725,1.574598884,0.991912189,1.126641852,1.1302364,1.019931825,0.939029519,0.899755728,1.011010132,1.061258043,0.968842461,0.949348355,1.04059319,1.106867517,0.995730997,0.953810063,1.042152292,1.10875496,0.929727897,0.978703618
13,1.397423754,1.529819752,1.598447855,0.983212696,1.149659864,1.149864296,0.992235584,0.942018937,0.896539996,1.003871393,1.069903903,0.977477205,0.965627536,1.048113196,1.100436992,1.000304929,0.938197703,1.063131313,1.112475198,0.920742562,0.963991444
14,1.452784618,1.52903065,1.525549355,0.981343664,1.150815043,1.15033631,0.965012783,0.954454005,0.89558146,1.005408967,1.062873827,0.985296782,0.997899461,1.047581353,1.097168437,1.000304929,0.944210753,1.051398601,1.082217262,0.897143342,0.908490654
15,1.447480583,1.481933715,1.516393443,0.956978285,1.09237154,1.113558589,0.9893476,0.926753583,0.922204013,1.005848274,1.062562009,1.018567719,0.984198215,1.022188965,1.068000142,0.991489716,0.992584803,1.053885004,1.06547619,0.923777231,0.932297963
16,1.38132222,1.510382922,1.522148587,0.978964896,1.075471698,1.082327027,0.964018559,0.92043375,1.021427909,1.006699432,1.088046036,1.003441821,0.974745787,1.010389482,1.073613529,0.992321339,0.982122634,1.047785548,1.053943452,0.963194032,0.950506835
17,1.37890699,1.494393222,1.475671434,0.996126007,1.073760322,1.07988829,0.978411135,0.91021517,0.994650753,1.00505203,1.113870227,1.027474186,0.99894973,1.027965022,1.064482893,0.984781283,0.972118859,1.05027195,1.057353671,0.944850386,0.951752999
18,1.456004925,1.561342304,1.406696896,0.969415843,1.090617379,1.130157731,1.003124704,0.94589495,0.969048576,0.999395953,0.980298778,1.002385122,0.990308875,1.020556332,1.085124525,1.000526695,0.974006364,1.047552448,1.10875496,0.899465966,0.9551567
