genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID08,100.3397386,292.9918613,-292.9918613,0,0,0,dark
NOS,ID08,100.3947605,292.9192018,-292.9192018,0.0550219,0.0726595,1,dark
NOS,ID08,100.4996367,293.1361225,-293.1361225,0.1598981,-0.1442612,2,dark
NOS,ID08,100.9733536,293.5375145,-293.5375145,0.633615,-0.5456532,3,dark
NOS,ID08,101.0938845,293.1812098,-293.1812098,0.7541459,-0.1893485,4,dark
NOS,ID08,101.2068505,293.4866153,-293.4866153,0.8671119,-0.494754,5,dark
NOS,ID08,101.2924168,293.5632114,-293.5632114,0.9526782,-0.5713501,6,dark
NOS,ID08,101.2951296,293.4056345,-293.4056345,0.955391,-0.4137732,7,dark
NOS,ID08,101.3708986,293.5791648,-293.5791648,1.03116,-0.5873035,8,dark
NOS,ID08,101.4466676,293.7526951,-293.7526951,1.106929,-0.7608338,9,dark
NOS,ID08,101.3602847,293.7450249,-293.7450249,1.0205461,-0.7531636,10,dark
NOS,ID08,101.3425535,293.7572687,-293.7572687,1.0028149,-0.7654074,11,dark
NOS,ID08,101.2285224,293.9518747,-293.9518747,0.8887838,-0.9600134,12,dark
NOS,ID08,101.2410611,293.9131029,-293.9131029,0.9013225,-0.9212416,13,dark
NOS,ID08,100.9895064,294.1063042,-294.1063042,0.6497678,-1.1144429,14,dark
NOS,ID08,100.7177929,294.0730829,-294.0730829,0.3780543,-1.0812216,15,dark
NOS,ID08,100.4172606,294.2662658,-294.2662658,0.077522,-1.2744045,16,dark
NOS,ID08,100.3274473,294.2957154,-294.2957154,-0.0122913,-1.3038541,17,dark
NOS,ID08,100.1991249,294.4317203,-294.4317203,-0.1406137,-1.439859,18,dark
NOS,ID08,99.85173849,294.3676574,-294.3676574,-0.48800011,-1.3757961,19,dark
NOS,ID08,99.59796141,294.4604072,-294.4604072,-0.74177719,-1.4685459,20,dark
NOS,ID08,99.45115939,294.5403334,-294.5403334,-0.88857921,-1.5484721,21,dark
NOS,ID08,99.22949642,294.4629527,-294.4629527,-1.11024218,-1.4710914,22,dark
NOS,ID08,98.92516693,294.4892183,-294.4892183,-1.41457167,-1.497357,23,dark
NOS,ID08,98.56596974,294.3501212,-294.3501212,-1.77376886,-1.3582599,24,dark
NOS,ID08,98.47088426,294.3693251,-294.3693251,-1.86885434,-1.3774638,25,dark
NOS,ID08,98.18407733,294.3815461,-294.3815461,-2.15566127,-1.3896848,26,dark
NOS,ID08,97.98939362,294.2411896,-294.2411896,-2.35034498,-1.2493283,27,dark
NOS,ID08,97.55845841,294.2768506,-294.2768506,-2.78128019,-1.2849893,28,dark
NOS,ID08,97.34995627,294.1867673,-294.1867673,-2.98978233,-1.194906,29,dark
NOS,ID08,97.13256397,294.094573,-294.094573,-3.20717463,-1.1027117,30,dark
NOS,ID08,96.933985,293.9900666,-293.9900666,-3.4057536,-0.9982053,31,dark
NOS,ID08,96.814968,293.8304724,-293.8304724,-3.5247706,-0.8386111,32,dark
NOS,ID08,96.5972652,293.7674154,-293.7674154,-3.7424734,-0.7755541,33,dark
NOS,ID08,96.40788113,293.7234755,-293.7234755,-3.93185747,-0.7316142,34,dark
NOS,ID08,96.15138751,293.5202362,-293.5202362,-4.18835109,-0.5283749,35,dark
NOS,ID08,96.09353725,293.4489495,-293.4489495,-4.24620135,-0.4570882,36,dark
NOS,ID08,95.90474106,293.5204121,-293.5204121,-4.43499754,-0.5285508,37,dark
NOS,ID08,95.81581354,293.376732,-293.376732,-4.52392506,-0.3848707,38,dark
NOS,ID08,95.57617781,293.2161761,-293.2161761,-4.76356079,-0.2243148,39,dark
NOS,ID08,95.67396403,293.255923,-293.255923,-4.66577457,-0.2640617,40,dark
NOS,ID08,95.49694762,293.180587,-293.180587,-4.84279098,-0.1887257,41,dark
NOS,ID08,95.3546349,292.9966753,-292.9966753,-4.9851037,-0.004814,42,dark
NOS,ID08,95.43036587,292.8771428,-292.8771428,-4.90937273,0.1147185,43,dark
NOS,ID08,95.38965481,292.9383829,-292.9383829,-4.95008379,0.0534784,44,dark
NOS,ID08,95.26180504,292.7231232,-292.7231232,-5.07793356,0.2687381,45,dark
NOS,ID08,95.38481094,292.7246779,-292.7246779,-4.95492766,0.2671834,46,dark
NOS,ID08,95,292,-292,-5.3397386,0.9918613,47,dark
NOS,ID08,95.46066237,292.5528113,-292.5528113,-4.87907623,0.43905,48,dark
NOS,ID08,95.48710764,292.4967196,-292.4967196,-4.85263096,0.4951417,49,dark
NOS,ID08,95.61603127,292.3332412,-292.3332412,-4.72370733,0.6586201,50,dark
NOS,ID08,95.7607186,292.3284989,-292.3284989,-4.57902,0.6633624,51,dark
NOS,ID08,95.84538599,292.1549126,-292.1549126,-4.49435261,0.8369487,52,dark
NOS,ID08,95.98087292,292.1561496,-292.1561496,-4.35886568,0.8357117,53,dark
NOS,ID08,96.11345729,292.0653233,-292.0653233,-4.22628131,0.926538,54,dark
NOS,ID08,96.32714124,292.0995359,-292.0995359,-4.01259736,0.8923254,55,dark
NOS,ID08,96.42878379,291.9348639,-291.9348639,-3.91095481,1.0569974,56,dark
NOS,ID08,96.69346823,291.884389,-291.884389,-3.64627037,1.1074723,57,dark
NOS,ID08,97.04258093,291.814765,-291.814765,-3.29715767,1.1770963,58,dark
NOS,ID08,97.2049713,291.7893878,-291.7893878,-3.1347673,1.2024735,59,dark
NOS,ID08,97.4452672,291.728124,-291.728124,-2.8944714,1.2637373,60,dark
NOS,ID08,97.51133467,291.5879264,-291.5879264,-2.82840393,1.4039349,61,dark
NOS,ID08,97.87515225,291.7383931,-291.7383931,-2.46458635,1.2534682,62,dark
