genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
NOS,ID01,86.90687108,109.0016573,-109.0016573,0,0,0,dark
NOS,ID01,86.80451774,108.8012831,-108.8012831,-0.10235334,0.2003742,1,dark
NOS,ID01,86.50899379,108.5250666,-108.5250666,-0.39787729,0.4765907,2,dark
NOS,ID01,86.2798115,108.294545,-108.294545,-0.62705958,0.7071123,3,dark
NOS,ID01,86.14288778,108.1784169,-108.1784169,-0.7639833,0.8232404,4,dark
NOS,ID01,86.04459824,108.1139388,-108.1139388,-0.86227284,0.8877185,5,dark
NOS,ID01,85.90227185,108.0195486,-108.0195486,-1.00459923,0.9821087,6,dark
NOS,ID01,85.65817262,108.0053773,-108.0053773,-1.24869846,0.99628,7,dark
NOS,ID01,85.33586327,107.934263,-107.934263,-1.57100781,1.0673943,8,dark
NOS,ID01,85.13079344,107.8860064,-107.8860064,-1.77607764,1.1156509,9,dark
NOS,ID01,84.98602754,107.8796373,-107.8796373,-1.92084354,1.12202,10,dark
NOS,ID01,84.68829619,107.8525061,-107.8525061,-2.21857489,1.1491512,11,dark
NOS,ID01,84.36583691,107.7041459,-107.7041459,-2.54103417,1.2975114,12,dark
NOS,ID01,84.13698235,107.7599059,-107.7599059,-2.76988873,1.2417514,13,dark
NOS,ID01,83.99178226,107.7514,-107.7514,-2.91508882,1.2502573,14,dark
NOS,ID01,83.71637733,107.7089748,-107.7089748,-3.19049375,1.2926825,15,dark
NOS,ID01,83.43149612,107.5745736,-107.5745736,-3.47537496,1.4270837,16,dark
NOS,ID01,83.20428747,107.5955882,-107.5955882,-3.70258361,1.4060691,17,dark
NOS,ID01,82.99599282,107.5778136,-107.5778136,-3.91087826,1.4238437,18,dark
NOS,ID01,82.69681289,107.5786027,-107.5786027,-4.21005819,1.4230546,19,dark
NOS,ID01,82.42250135,107.4874541,-107.4874541,-4.48436973,1.5142032,20,dark
NOS,ID01,82.1320816,107.4669472,-107.4669472,-4.77478948,1.5347101,21,dark
NOS,ID01,82.04265776,107.4998685,-107.4998685,-4.86421332,1.5017888,22,dark
NOS,ID01,81.73057708,107.5106492,-107.5106492,-5.176294,1.4910081,23,dark
NOS,ID01,81.50372909,107.4814064,-107.4814064,-5.40314199,1.5202509,24,dark
NOS,ID01,81.22581265,107.6958782,-107.6958782,-5.68105843,1.3057791,25,dark
NOS,ID01,81.13238679,107.7172449,-107.7172449,-5.77448429,1.2844124,26,dark
NOS,ID01,80.92951497,107.7877452,-107.7877452,-5.97735611,1.2139121,27,dark
NOS,ID01,80.77392692,107.918816,-107.918816,-6.13294416,1.0828413,28,dark
NOS,ID01,80.58879659,107.9547795,-107.9547795,-6.31807449,1.0468778,29,dark
NOS,ID01,80.35559175,108.0058181,-108.0058181,-6.55127933,0.9958392,30,dark
NOS,ID01,80.2179836,108.0224261,-108.0224261,-6.68888748,0.9792312,31,dark
NOS,ID01,80.15153554,108.1002277,-108.1002277,-6.75533554,0.9014296,32,dark
NOS,ID01,80.1143861,108.158107,-108.158107,-6.79248498,0.8435503,33,dark
NOS,ID01,80.13591691,108.3062034,-108.3062034,-6.77095417,0.6954539,34,dark
NOS,ID01,80.16754687,108.374478,-108.374478,-6.73932421,0.6271793,35,dark
NOS,ID01,80.16202931,108.5545557,-108.5545557,-6.74484177,0.4471016,36,dark
NOS,ID01,80.26125627,108.8076125,-108.8076125,-6.64561481,0.1940448,37,dark
NOS,ID01,80.44484013,108.9383936,-108.9383936,-6.46203095,0.0632637,38,dark
NOS,ID01,80.53406423,109.0498438,-109.0498438,-6.37280685,-0.0481865,39,dark
NOS,ID01,80.76884769,109.0661422,-109.0661422,-6.13802339,-0.0644849,40,dark
NOS,ID01,81.00215186,109.1868622,-109.1868622,-5.90471922,-0.1852049,41,dark
NOS,ID01,81.17402007,109.2040435,-109.2040435,-5.73285101,-0.2023862,42,dark
NOS,ID01,81.22902388,109.2464752,-109.2464752,-5.6778472,-0.2448179,43,dark
NOS,ID01,81.46719956,109.4869905,-109.4869905,-5.43967152,-0.4853332,44,dark
NOS,ID01,81.92062298,109.4706351,-109.4706351,-4.9862481,-0.4689778,45,dark
NOS,ID01,82.12846243,109.5576549,-109.5576549,-4.77840865,-0.5559976,46,dark
NOS,ID01,82.39777757,109.5596662,-109.5596662,-4.50909351,-0.5580089,47,dark
NOS,ID01,82.81661758,109.6715192,-109.6715192,-4.0902535,-0.6698619,48,dark
NOS,ID01,83.14975111,109.6139693,-109.6139693,-3.75711997,-0.612312,49,dark
NOS,ID01,83.36185183,109.5896719,-109.5896719,-3.54501925,-0.5880146,50,dark
