genotype,Track ID,X,Y,V,nor_X,nor_V,Frame,condition
WT,ID03,11.0134679,106.9304737,-106.9304737,0,0,0,dark
WT,ID03,10.83340855,106.8113795,-106.8113795,-0.18005935,0.1190942,1,dark
WT,ID03,10.95228457,106.6410101,-106.6410101,-0.06118333,0.2894636,2,dark
WT,ID03,10.63040397,106.4160472,-106.4160472,-0.38306393,0.5144265,3,dark
WT,ID03,10.64091352,106.286112,-106.286112,-0.37255438,0.6443617,4,dark
WT,ID03,10.36939758,106.1439845,-106.1439845,-0.64407032,0.7864892,5,dark
WT,ID03,10.45867544,106.1337119,-106.1337119,-0.55479246,0.7967618,6,dark
WT,ID03,10.40663733,106.0135515,-106.0135515,-0.60683057,0.9169222,7,dark
WT,ID03,10.40478678,105.8578269,-105.8578269,-0.60868112,1.0726468,8,dark
WT,ID03,10.61654596,105.8431147,-105.8431147,-0.39692194,1.087359,9,dark
WT,ID03,10.57375045,105.631867,-105.631867,-0.43971745,1.2986067,10,dark
WT,ID03,10.57173721,105.4423455,-105.4423455,-0.44173069,1.4881282,11,dark
WT,ID03,10.83955155,105.3940278,-105.3940278,-0.17391635,1.5364459,12,dark
WT,ID03,11.10919646,105.2043235,-105.2043235,0.09572856,1.7261502,13,dark
WT,ID03,11.17707398,105.1401519,-105.1401519,0.16360608,1.7903218,14,dark
WT,ID03,11.4401166,105.1185705,-105.1185705,0.4266487,1.8119032,15,dark
WT,ID03,11.68327295,104.9122735,-104.9122735,0.66980505,2.0182002,16,dark
WT,ID03,11.93637244,104.7983343,-104.7983343,0.92290454,2.1321394,17,dark
WT,ID03,12.18947193,104.6843951,-104.6843951,1.17600403,2.2460786,18,dark
WT,ID03,12.45823039,104.5481282,-104.5481282,1.44476249,2.3823455,19,dark
WT,ID03,12.72698884,104.4118613,-104.4118613,1.71352094,2.5186124,20,dark
WT,ID03,12.93882726,104.2502197,-104.2502197,1.92535936,2.680254,21,dark
WT,ID03,13.26450576,104.1393276,-104.1393276,2.25103786,2.7911461,22,dark
WT,ID03,13.4606852,104.0000136,-104.0000136,2.4472173,2.9304601,23,dark
WT,ID03,13.72161417,103.8749105,-103.8749105,2.70814627,3.0555632,24,dark
WT,ID03,13.98254315,103.7498075,-103.7498075,2.96907525,3.1806662,25,dark
WT,ID03,14.25913109,103.6023768,-103.6023768,3.24566319,3.3280969,26,dark
WT,ID03,14.53571903,103.4549461,-103.4549461,3.52225113,3.4755276,27,dark
WT,ID03,14.70058053,103.3602874,-103.3602874,3.68711263,3.5701863,28,dark
WT,ID03,15.08889492,103.1600847,-103.1600847,4.07542702,3.770389,29,dark
WT,ID03,15.14690021,103.1024762,-103.1024762,4.13343231,3.8279975,30,dark
WT,ID03,15.52702131,103.1368743,-103.1368743,4.51355341,3.7935994,31,dark
WT,ID03,15.74870344,103.0157831,-103.0157831,4.73523554,3.9146906,32,dark
WT,ID03,16.04960505,102.9724366,-102.9724366,5.03613715,3.9580371,33,dark
WT,ID03,16.35050667,102.9290901,-102.9290901,5.33703877,4.0013836,34,dark
WT,ID03,16.56528213,102.8526091,-102.8526091,5.55181423,4.0778646,35,dark
WT,ID03,16.78005759,102.7761282,-102.7761282,5.76658969,4.1543455,36,dark
WT,ID03,17.17399202,102.7213058,-102.7213058,6.16052412,4.2091679,37,dark
WT,ID03,17.20960852,102.6231664,-102.6231664,6.19614062,4.3073073,38,dark
WT,ID03,18,102,-102,6.9865321,4.9304737,39,dark
WT,ID03,17.83749942,102.4425241,-102.4425241,6.82403152,4.4879496,40,dark
WT,ID03,18.04221301,102.2445999,-102.2445999,7.02874511,4.6858738,41,dark
WT,ID03,18.14219889,102.2755274,-102.2755274,7.12873099,4.6549463,42,dark
WT,ID03,18.53885709,102.4633913,-102.4633913,7.52538919,4.4670824,43,dark
WT,ID03,18.76664484,102.1550715,-102.1550715,7.75317694,4.7754022,44,dark
WT,ID03,19.06926623,102.2129743,-102.2129743,8.05579833,4.7174994,45,dark
WT,ID03,19.13495512,102.1672804,-102.1672804,8.12148722,4.7631933,46,dark
WT,ID03,19.24980963,102.0854079,-102.0854079,8.23634173,4.8450658,47,dark
WT,ID03,19.23566992,102.1340896,-102.1340896,8.22220202,4.7963841,48,dark
WT,ID03,19.38351956,102.0792136,-102.0792136,8.37005166,4.8512601,49,dark
WT,ID03,19.28674879,102.0292322,-102.0292322,8.27328089,4.9012415,50,dark
WT,ID03,19.36774663,101.8929523,-101.8929523,8.35427873,5.0375214,51,dark
WT,ID03,19.32020504,101.9724777,-101.9724777,8.30673714,4.957996,52,dark
WT,ID03,19.30453701,101.8576204,-101.8576204,8.29106911,5.0728533,53,dark
WT,ID03,19.27083515,102.0188737,-102.0188737,8.25736725,4.9116,54,dark
WT,ID03,19.23408247,101.9884353,-101.9884353,8.22061457,4.9420384,55,dark
WT,ID03,19.06547125,101.8349121,-101.8349121,8.05200335,5.0955616,56,dark
WT,ID03,19.01806644,101.843508,-101.843508,8.00459854,5.0869657,57,dark
WT,ID03,18.76123742,101.781528,-101.781528,7.74776952,5.1489457,58,dark
WT,ID03,18.47898318,101.6515789,-101.6515789,7.46551528,5.2788948,59,dark
WT,ID03,18.1824388,101.561104,-101.561104,7.1689709,5.3693697,60,dark
WT,ID03,18.04381473,101.4727674,-101.4727674,7.03034683,5.4577063,61,dark
WT,ID03,17.85612558,101.436908,-101.436908,6.84265768,5.4935657,62,dark
WT,ID03,17.51658761,101.4404057,-101.4404057,6.50311971,5.490068,63,dark
WT,ID03,17.22632086,101.2078173,-101.2078173,6.21285296,5.7226564,64,dark
WT,ID03,17.12186318,101.144663,-101.144663,6.10839528,5.7858107,65,dark
