Date,Track ID,ID,Speed,Edge time,Edge X,Edge Y,Y,L-NAME,sec,Ymm,y_axis,mm/sec,Condition
0804_04_,110,0804_04_110,0.42498587,30.5,23.00171779,283.5495759,-2.0176969,0 mM,1.016666667,-4.339133118,-0.433913312,2.741844323,dark
0804_04_,110,0804_04_110,0.506436622,31.5,22.72148577,283.8230725,-2.2911935,0 mM,1.05,-4.927297849,-0.492729785,3.267333045,dark
0804_04_,110,0804_04_110,0.143150786,32.5,22.58201118,284.0831935,-2.5513145,0 mM,1.083333333,-5.486697849,-0.548669785,0.923553458,dark
0804_04_,110,0804_04_110,0.673854108,33.5,22.30476547,284.3652592,-2.8333802,0 mM,1.116666667,-6.093290753,-0.609329075,4.347445858,dark
0804_04_,110,0804_04_110,0.19873962,34.5,22.03137499,284.7051076,-3.1732286,0 mM,1.15,-6.824147527,-0.682414753,1.282191097,dark
0804_04_,110,0804_04_110,0.399566452,35.5,21.83409258,284.9299894,-3.3981104,0 mM,1.183333333,-7.307764301,-0.73077643,2.577848077,dark
0804_04_,110,0804_04_110,0.200638424,36.5,21.79624701,285.1161855,-3.5843065,0 mM,1.216666667,-7.708186022,-0.770818602,1.294441445,dark
0804_04_,110,0804_04_110,0.684735854,37.5,21.66006719,285.4057329,-3.8738539,0 mM,1.25,-8.330868602,-0.83308686,4.417650671,dark
0804_04_,110,0804_04_110,0.547318254,38.5,21.62462165,285.8520192,-4.3201402,0 mM,1.283333333,-9.290624086,-0.929062409,3.53108551,dark
0804_04_,110,0804_04_110,0.393947444,39.5,21.72065873,286.2152272,-4.6833482,0 mM,1.316666667,-10.07171656,-1.007171656,2.541596413,dark
0804_04_,110,0804_04_110,0.396507018,40.5,21.69648109,286.5696988,-5.0378198,0 mM,1.35,-10.83402108,-1.083402108,2.558109794,dark
0804_04_,110,0804_04_110,0.28770604,41.5,21.77091856,286.8973879,-5.3655089,0 mM,1.383333333,-11.53872882,-1.153872882,1.856168,dark
0804_04_,110,0804_04_110,0.387201034,42.5,21.77571681,287.234787,-5.702908,0 mM,1.416666667,-12.26431828,-1.226431828,2.498071187,dark
0804_04_,110,0804_04_110,0.169616168,43.5,21.73212167,287.498129,-5.96625,0 mM,1.45,-12.83064516,-1.283064516,1.094297858,dark
0804_04_,110,0804_04_110,0.489872667,44.5,21.78917837,287.7891028,-6.2572238,0 mM,1.483333333,-13.45639527,-1.345639527,3.160468819,dark
0804_04_,110,0804_04_110,0.46943458,45.5,22.11694731,288.0849138,-6.5530348,0 mM,1.516666667,-14.09254796,-1.409254796,3.028610194,dark
0804_04_,110,0804_04_110,0.715042571,46.5,22.11464938,288.4375237,-6.9056447,0 mM,1.55,-14.85084882,-1.485084882,4.613177877,dark
0804_04_,110,0804_04_110,0.228574622,47.5,21.99027012,288.6609986,-7.1291196,0 mM,1.583333333,-15.33144,-1.533144,1.474674981,dark
0804_04_,110,0804_04_110,0.5993807,48.5,22.28366131,288.8358207,-7.3039417,0 mM,1.616666667,-15.70740151,-1.570740151,3.866972258,dark
0804_04_,110,0804_04_110,0.296157743,49.5,22.615838,289.1155396,-7.5836606,0 mM,1.65,-16.30894753,-1.630894753,1.910695116,dark
0804_04_,110,0804_04_110,0.505545736,50.5,22.96536343,289.3061985,-7.7743195,0 mM,1.683333333,-16.71896667,-1.671896667,3.261585394,dark
0804_04_,110,0804_04_110,0.140197061,51.5,23.18820075,289.5154286,-7.9835496,0 mM,1.716666667,-17.16892387,-1.716892387,0.904497168,dark
0804_04_,110,0804_04_110,0.146935987,52.5,23.22581517,289.6534552,-8.1215762,0 mM,1.75,-17.46575527,-1.746575527,0.94797411,dark
0804_04_,110,0804_04_110,0.070829009,53.5,23.22128747,289.7419738,-8.2100948,0 mM,1.783333333,-17.65611785,-1.765611785,0.456961348,dark
0804_04_,110,0804_04_110,0.17599434,54.5,23.27057349,289.8004446,-8.2685656,0 mM,1.816666667,-17.78186151,-1.778186151,1.135447355,dark
0804_04_,110,0804_04_110,0.366554278,55.5,23.49873312,289.9457828,-8.4139038,0 mM,1.85,-18.09441677,-1.809441677,2.36486631,dark
0804_04_,110,0804_04_110,0.317634713,56.5,23.80528944,290.0742019,-8.5423229,0 mM,1.883333333,-18.37058688,-1.837058688,2.049256213,dark
0804_04_,110,0804_04_110,0.05661197,57.5,23.94332307,290.1170584,-8.5851794,0 mM,1.916666667,-18.4627514,-1.84627514,0.365238516,dark
0804_04_,110,0804_04_110,0.333786582,58.5,24.08327069,290.1879492,-8.6560702,0 mM,1.95,-18.61520473,-1.861520473,2.153461819,dark
0804_04_,110,0804_04_110,0.049064849,59.5,24.26096865,290.2219785,-8.6900995,0 mM,1.983333333,-18.68838602,-1.868838602,0.316547413,dark
0804_04_,110,0804_04_110,0.184310296,60.5,24.36482506,290.1711126,-8.6392336,0 mM,2.016666667,-18.57899699,-1.857899699,1.189098684,dark
0804_04_,110,0804_04_110,0.443427564,61.5,24.65791781,290.2137932,-8.6819142,0 mM,2.05,-18.67078323,-1.867078323,2.860822994,dark
0804_04_,110,0804_04_110,0.054804273,62.5,24.86325972,290.3185367,-8.7866577,0 mM,2.083333333,-18.89603806,-1.889603806,0.353575955,dark
0804_04_,110,0804_04_110,0.185303144,63.5,24.94714247,290.3120888,-8.7802098,0 mM,2.116666667,-18.88217161,-1.888217161,1.195504155,dark
0804_04_,110,0804_04_110,0.218886098,64.5,25.14021811,290.3023072,-8.7704282,0 mM,2.15,-18.86113591,-1.886113591,1.412168374,dark
0804_04_,110,0804_04_110,0.049826014,65.5,25.27164106,290.3299783,-8.7980993,0 mM,2.183333333,-18.92064366,-1.892064366,0.321458155,dark
0804_04_,110,0804_04_110,0.056456628,66.5,25.30110354,290.3614994,-8.8296204,0 mM,2.216666667,-18.98843097,-1.898843097,0.36423631,dark
0804_04_,110,0804_04_110,0.555311588,67.5,25.56134724,290.498193,-8.966314,0 mM,2.25,-19.2823957,-1.92823957,3.582655406,dark
0804_04_,110,0804_04_110,0.250278565,68.5,25.91290316,290.5269673,-8.9950883,0 mM,2.283333333,-19.34427591,-1.934427591,1.614700419,dark
0804_04_,110,0804_04_110,0.241753726,69.5,26.04267457,290.5629644,-9.0310854,0 mM,2.316666667,-19.42168903,-1.942168903,1.559701458,dark
0804_04_,110,0804_04_110,0.596975823,70.5,26.2416807,290.4305798,-8.8987008,0 mM,2.35,-19.13699097,-1.913699097,3.851456923,dark
0804_04_,110,0804_04_110,0.289368866,71.5,26.34612974,290.313323,-8.781444,0 mM,2.383333333,-18.88482581,-1.888482581,1.86689591,dark
0804_04_,110,0804_04_110,0.171585292,72.5,26.36660442,290.4174533,-8.8855743,0 mM,2.416666667,-19.10876194,-1.910876194,1.107001884,dark
0804_04_,110,0804_04_110,0.219500287,73.5,26.53888046,290.3288169,-8.7969379,0 mM,2.45,-18.91814602,-1.891814602,1.416130884,dark
