frame,stimuli,larva_12,larva_13,larva_14,larva_15,larva_16,larva_17,larva_18,larva_19
1,NC,1.10439968,1.136587085,1.142761424,1.039406839,1.019503742,0.923752229,1.086368591,1.091586904
2,NC,1.093696142,1.100063805,1.126424041,1.024107302,1.056881793,1.045860003,1.142412567,1.140230908
3,NC,1.096037541,1.093824221,1.111070323,1.025226354,1.081471618,1.072344437,1.135494131,1.132756718
4,NC,1.071428959,1.119719638,1.12839137,1.047764757,1.088175634,1.079314768,1.127078248,1.148369127
5,NC,1.078620399,1.108291828,1.121291879,1.096705791,1.088631001,1.074094075,1.12361903,1.132540523
6,NC,1.056926621,1.102692201,1.093107756,1.020260561,1.066305363,1.082799933,1.118012311,1.135629031
7,NC,1.066698378,1.105389165,1.095096469,1.041050446,1.066684835,1.061620852,1.129539168,1.137173285
8,NC,1.057141647,1.101046597,1.09323606,1.034038887,1.056767951,1.07049603,1.117780149,1.129220376
9,NC,1.067654051,1.094052777,1.076043317,1.010696165,1.056894442,1.057782937,1.114378971,1.124572171
10,NC,1.062469524,1.08715038,1.066933729,1.015714413,1.056224041,1.047510871,1.110420604,1.108141308
11,NC,1.076350676,1.083287781,1.065009168,1.043410946,1.033202703,1.067490604,1.110292915,1.109222286
12,NC,1.069254803,1.093504243,1.087141617,1.021379613,1.040248244,1.053493503,1.109816982,1.099555255
13,NC,1.043547198,1.081847877,1.066976497,1.026957387,1.033746613,1.049218179,1.107193548,1.096590287
14,NC,1.057237214,1.073071319,1.077989262,1.047345113,1.048621939,1.040568761,1.102944979,1.088112332
15,NC,1.042376498,1.075699715,1.051943539,1.010626224,1.034682646,1.047821291,1.096270313,1.083510455
16,NC,1.041540284,1.070808613,1.051259251,1.014647817,1.022033559,1.050163548,1.091928878,1.071403502
17,NC,1.044980707,1.070854324,1.04415976,1.02629295,1.029395328,1.049669698,1.082700427,1.090058092
18,NC,1.020969422,1.044158961,1.064688408,1.004628805,1.02520848,1.038240614,1.082955806,1.077348881
19,NC,1.010504802,1.042970469,1.035563388,1.065145032,1.03475854,1.035503277,1.078823317,1.067125918
20,NC,1.019416453,1.063700515,1.050211434,1.024999046,1.028459295,1.031439603,1.082862941,1.063435151
21,NC,1.019010292,1.033393964,1.050061746,1.032342824,1.011269186,1.050953706,1.060737875,1.060346643
22,NC,1.016597217,1.051175636,1.032035027,1.034091343,1.019680829,1.041485909,1.063001457,1.059250223
23,NC,1.008139511,1.04468464,1.0544027,1.01917648,1.00775274,1.032836491,1.062792511,1.057150037
24,NC,1.011556042,1.049712876,1.055193908,1.031818269,1.012761779,1.034741338,1.058300171,1.056887514
25,NC,1.037120296,1.039976383,1.031521811,1.011920128,1.007347969,1.02621891,1.066994649,1.052887896
26,NC,1.01924921,1.031999771,1.04944161,0.97301559,1.004767556,1.030818764,1.059426158,1.057428003
27,NC,1.003576172,1.041621987,1.032676547,1.010259035,1.016733592,1.027263049,1.053656925,1.052084883
28,NC,0.996026355,1.037759387,1.024892768,1.013598705,1.008625527,1.022324555,1.040551364,1.046154948
29,NC,1.015689328,1.023268925,1.019632302,0.980709072,1.006905251,1.02633179,1.045844664,1.044240073
30,NC,0.992848742,1.01458379,1.026068889,1.024159757,1.01717631,1.035023538,1.04495084,1.050386204
31,NC,1.00747054,1.016640795,1.008640922,1.004995994,1.010864416,1.024426942,1.033342725,1.034325961
32,NC,1.013730198,1.016366528,1.013110179,1.00740895,1.016139085,1.016835773,1.038020795,1.036765883
33,NC,1.00001629,1.021211919,1.015269964,0.989801368,1.01260999,1.016468913,1.030220143,1.036009198
34,NC,0.988811023,1.007201425,1.034515572,0.996463224,1.020540967,1.028363627,1.034282983,1.033476621
35,NC,1.002859417,0.99522508,1.020594582,1.018564498,1.014608545,1.01169974,1.027248465,1.04136776
36,NC,0.991725826,1.023474626,1.008918914,1.009524657,1.003173771,1.004814069,1.023162409,1.030681521
37,NC,1.009835831,1.024137438,1.031500427,1.02251615,0.997443735,1.012221809,1.015988595,1.017323723
38,NC,0.987974809,1.013715276,1.013430939,1.01681598,1.002326282,1.01910748,1.021107773,1.024102999
39,NC,1.003456713,1.005121563,1.012490043,1.01020658,0.999935605,1.006958786,1.005970792,1.02557004
40,NC,0.998128836,1.012503928,0.993372739,1.024124787,1.00166853,1.009470363,1.010857808,1.016906775
41,NC,1.001402016,1.000916129,1.025534288,1.013249002,1.00428689,1.001230134,1.009522875,1.014621279
42,NC,1.013682415,0.986517089,0.986893385,1.012759417,0.993294834,0.99630575,1.005970792,1.009988516
43,NC,1.019010292,0.999179102,0.992645683,1.00980442,1.006298095,1.009639682,1.004635859,1.014188888
44,NC,0.988309295,0.995613626,1.008298777,0.973155472,0.996482404,1.007509075,0.996649476,0.999549359
45,NC,0.988595997,1.014263811,1.006331449,0.975918131,1.008992351,0.988629921,1.002674087,0.997711696
46,NC,1.000350775,0.991042502,0.994463324,1.013214031,1.000593357,0.992312626,1.014247377,1.003425436
47,NC,0.993852199,0.986059977,0.993800419,0.965636842,1.003249665,0.992510166,0.99176246,0.987612274
48,NC,0.992179771,0.993236641,1.008127705,0.996148491,0.993307483,1.00379815,0.989255107,0.980107199
49,NC,0.982742499,1.01108688,0.984797752,1.004681261,0.997203402,0.995318052,0.985795889,0.986345986
50,NC,1.007327189,1.00445875,0.993244435,1.011308146,0.994622988,1.003276081,0.988628269,0.989542592
