frame,stimuli,larva_1,larva_2,larva_3,larva_4,larva_5,larva_6,larva_7,larva_8,larva_9,larva_10,larva_11
1,cPRC,1.004814981,0.985940559,1.047099508,0.949369206,0.998606595,1.186599679,1.031825853,1.075549413,0.974390151,1.187609075,1.210213174
2,cPRC,1.11852056,0.966779379,1.038210511,0.99392444,1.022903593,1.180125905,1.014739342,1.087867846,0.977017901,1.204246655,1.177983307
3,cPRC,1.01097709,1.043898677,1.030734012,0.965758854,1.058049482,1.181075392,1.03784223,0.989320383,0.964856132,1.236707388,1.142144146
4,cPRC,1.007015734,1.046449546,1.031927329,0.989530433,1.051946981,1.176889018,1.004184898,1.010712393,1.000735035,1.153635835,1.183058877
5,cPRC,0.96950512,0.932016373,1.025132726,1.021035465,1.037312277,1.136535824,1.035779472,0.967868283,0.928236069,1.213612565,1.177334762
6,cPRC,0.942509214,1.069881948,1.025132726,1.006491301,1.01301528,1.195231379,1.071396425,1.026395861,1.001745708,1.190924956,1.179421385
7,cPRC,1.186548285,0.965296316,1.024182943,0.989574373,1.057201913,1.218752759,1.055891361,1.053796863,0.999522227,1.124200116,1.189403339
8,cPRC,0.939477065,1.067449724,1.017924115,1.035315988,0.940350306,1.194066099,1.019105513,0.970992959,0.999387471,1.104072135,1.138788631
9,cPRC,0.977183303,0.982677819,1.020408163,0.98175304,1.00900345,1.135500021,1.038151644,0.994367936,0.970549592,1.165445026,1.132585157
10,cPRC,0.995718535,0.945838524,1.017899761,1.019102102,0.957471214,1.130407318,1.045646331,0.994848655,1.037456166,1.095346131,1.120234604
11,cPRC,0.998603967,0.938126594,1.022624324,1.058428466,1.028723571,1.175033203,1.00411614,1.029760897,1.016130959,1.169866201,1.126607264
12,cPRC,0.985106014,1.010381444,1.016852564,1.050035913,1.033469962,1.12173246,1.003428554,0.985534718,1.001813087,1.20779523,1.136279044
13,cPRC,0.964614557,1.016788278,1.013905801,1.001042732,1.036012671,1.097520544,1.048706088,1.017863093,1.004306081,1.163118092,1.122321227
14,cPRC,1.044819783,0.978762532,1.018094589,0.970768022,0.963121678,1.155655038,0.992770971,1.012214641,1.009763717,1.130250145,1.132415971
15,cPRC,1.010585845,0.991754167,1.012931664,1.005304919,1.013636831,1.098944775,1.035091886,1.007828077,1.002554247,1.116579407,1.12818633
16,cPRC,0.884018086,0.857507267,1.018094589,0.992650178,0.974253093,1.07671815,1.030416302,1.001999355,1.017242699,1.102268761,1.119473269
17,cPRC,1.041151861,0.977694726,1.01931226,0.962067887,0.984932471,1.020914215,0.991602075,1.017442464,1.054806058,1.157300756,1.117696819
18,cPRC,0.980997942,0.996084713,1.014441576,1.004909458,0.99233458,1.082026644,1.029350544,1.011673832,1.006967521,1.120767888,1.094236409
19,cPRC,0.936053672,1.010915347,1.014587697,1.020683944,0.98990488,1.106454353,1.003394174,0.964443158,1.002486869,1.105235602,1.130019174
20,cPRC,1.075532516,1.000355935,1.013857094,1.036019029,1.034826073,1.035890213,1.008860483,0.996531173,1.04224002,1.087376382,1.058933002
21,cPRC,1.087367677,1.097407605,1.016341143,0.938735709,0.982389762,1.10999335,1.018349169,1.001518636,1.022026553,1.05113438,1.096745996
22,cPRC,0.98124247,1.025568013,1.010204082,1.013389892,1.025841834,1.091737306,1.003291036,0.966305945,1.035198995,1.120535195,1.04080194
23,cPRC,1.052987022,0.995135552,1.016195022,0.983290942,1.005161134,1.108439644,1.04028316,0.951824275,1.03122368,1.094822571,1.073652154
24,cPRC,0.936933973,1.026220561,1.012468949,1.058911807,1.035956166,1.072186507,1.033888611,0.930732715,0.981633309,1.129028505,1.022952854
25,cPRC,1.018948707,0.984932076,1.013784034,1.050826834,0.981259669,1.038652356,0.956982123,0.996050454,0.962430516,1.057998837,1.047118204
26,cPRC,1.013715805,1.043661387,1.011640933,1.037073591,0.977304344,1.004039243,1.009101138,1.030782425,0.963643324,1.106864456,1.08431085
27,cPRC,0.995669629,0.977872694,1.006892017,1.028461337,0.984141406,1.020568947,0.982697837,0.977542759,0.990426167,1.084933101,1.116343334
28,cPRC,1.107467889,1.04443258,1.00669719,1.010797428,0.992447589,0.979136791,0.997068384,0.96282073,1.002891138,1.069109948,1.07063501
