DATE	NOS11_F	NOS11_M	NOS23_F	NOS23_M	WT_F	WT_M	moon
2025-05-01	2	1	1	5	6	16	0
2025-05-02	3	1	6	2	12	19	0
2025-05-03	1	0	0	2	5	6	0
2025-05-04	1	0	1	2	5	8	0
2025-05-05	4	5	4	2	26	15	0
2025-05-06	6	6	4	3	14	19	0
2025-05-07	0	4	0	0	13	8	0
2025-05-08	1	2	1	0	6	5	0
2025-05-09	1	2	2	0	5	1	1
2025-05-10	0	0	0	0	0	0	1
2025-05-11	0	0	0	0	0	3	1
2025-05-12	0	0	0	0	0	0	1
2025-05-13	0	0	0	0	0	0	1
2025-05-14	0	0	1	0	0	0	1
2025-05-15	0	0	0	0	0	0	1
2025-05-16	0	1	0	0	2	0	0
2025-05-17	3	1	0	0	1	1	0
2025-05-18	1	0	0	0	3	2	0
2025-05-19	2	0	1	0	12	7	0
2025-05-20	0	5	0	2	14	9	0
2025-05-21	9	3	2	4	21	15	0
2025-05-22	3	3	3	0	22	24	0
2025-05-23	3	4	3	3	12	12	0
2025-05-24	4	3	3	0	5	6	0
2025-05-25	3	3	0	0	7	9	0
2025-05-26	4	7	2	0	6	13	0
2025-05-27	5	4	2	1	12	10	0
2025-05-28	6	4	4	4	9	16	0
2025-05-29	1	5	1	3	4	13	0
2025-05-30	2	3	2	2	14	10	0
2025-05-31	1	1	1	1	12	16	0
2025-06-01	1	3	1	0	3	8	0
2025-06-02	4	4	6	3	23	22	0
2025-06-03	4	11	2	4	14	12	0
2025-06-04	1	2	3	2	14	19	0
2025-06-05	4	5	3	0	9	12	0
2025-06-06	3	2	4	1	4	4	0
2025-06-07	1	0	1	0	1	1	0
2025-06-08	3	2	2	0	3	3	1
2025-06-09	2	1	0	0	1	0	1
2025-06-10	0	1	2	0	0	0	1
2025-06-11	1	0	1	2	0	0	1
2025-06-12	0	1	0	0	0	0	1
2025-06-13	1	1	0	0	0	0	1
2025-06-14	1	0	1	0	0	0	1
2025-06-15	1	0	0	0	3	0	0
