condition,second
Control,20.96185738
Control,5.140961857
Control,6.633499171
Control,21.52570481
Control,8.192371476
Control,6.567164179
Control,14.69320066
SNAP0.1,31.54228856
SNAP0.1,40.46434494
SNAP0.1,28.8225539
SNAP0.1,35.12437811
SNAP0.1,30.87893864
SNAP0.1,28.75621891
SNAP0.1,37.91044776
SNAP0.01,10.84577114
SNAP0.01,40.09950249
SNAP0.01,3.11774461
SNAP0.01,27.36318408
SNAP0.01,34.12935323
SNAP0.01,26.79933665
SNAP0.01,39.07131012
L-NAME1,9.883913765
L-NAME1,1.426202322
L-NAME1,10.04975124
L-NAME1,5.339966833
L-NAME1,9.021558872
L-NAME1,0.530679934
L-NAME1,0.431177446
