frame,stimuli,sample,intensity
1,cPRC,larva_1,1.004814981
1,cPRC,larva_2,0.985940559
1,cPRC,larva_3,1.047099508
1,cPRC,larva_4,0.949369206
1,cPRC,larva_5,0.998606595
1,cPRC,larva_6,1.186599679
1,cPRC,larva_7,1.031825853
1,cPRC,larva_8,1.075549413
1,cPRC,larva_9,0.974390151
1,cPRC,larva_10,1.187609075
1,cPRC,larva_11,1.210213174
2,cPRC,larva_1,1.11852056
2,cPRC,larva_2,0.966779379
2,cPRC,larva_3,1.038210511
2,cPRC,larva_4,0.99392444
2,cPRC,larva_5,1.0229035930000001
2,cPRC,larva_6,1.180125905
2,cPRC,larva_7,1.014739342
2,cPRC,larva_8,1.087867846
2,cPRC,larva_9,0.977017901
2,cPRC,larva_10,1.204246655
2,cPRC,larva_11,1.177983307
3,cPRC,larva_1,1.01097709
3,cPRC,larva_2,1.043898677
3,cPRC,larva_3,1.030734012
3,cPRC,larva_4,0.96575885400000006
3,cPRC,larva_5,1.058049482
3,cPRC,larva_6,1.181075392
3,cPRC,larva_7,1.03784223
3,cPRC,larva_8,0.989320383
3,cPRC,larva_9,0.964856132
3,cPRC,larva_10,1.236707388
3,cPRC,larva_11,1.142144146
4,cPRC,larva_1,1.007015734
4,cPRC,larva_2,1.046449546
4,cPRC,larva_3,1.031927329
4,cPRC,larva_4,0.989530433
4,cPRC,larva_5,1.051946981
4,cPRC,larva_6,1.176889018
4,cPRC,larva_7,1.004184898
4,cPRC,larva_8,1.010712393
4,cPRC,larva_9,1.000735035
4,cPRC,larva_10,1.153635835
4,cPRC,larva_11,1.183058877
5,cPRC,larva_1,0.96950512
5,cPRC,larva_2,0.932016373
5,cPRC,larva_3,1.025132726
5,cPRC,larva_4,1.021035465
5,cPRC,larva_5,1.037312277
5,cPRC,larva_6,1.136535824
5,cPRC,larva_7,1.035779472
5,cPRC,larva_8,0.967868283
5,cPRC,larva_9,0.928236069
5,cPRC,larva_10,1.213612565
5,cPRC,larva_11,1.177334762
6,cPRC,larva_1,0.942509214
6,cPRC,larva_2,1.069881948
6,cPRC,larva_3,1.025132726
6,cPRC,larva_4,1.006491301
6,cPRC,larva_5,1.01301528
6,cPRC,larva_6,1.195231379
6,cPRC,larva_7,1.071396425
6,cPRC,larva_8,1.026395861
6,cPRC,larva_9,1.001745708
6,cPRC,larva_10,1.190924956
6,cPRC,larva_11,1.179421385
7,cPRC,larva_1,1.186548285
7,cPRC,larva_2,0.965296316
7,cPRC,larva_3,1.024182943
7,cPRC,larva_4,0.989574373
7,cPRC,larva_5,1.057201913
7,cPRC,larva_6,1.218752759
7,cPRC,larva_7,1.055891361
7,cPRC,larva_8,1.053796863
7,cPRC,larva_9,0.999522227
7,cPRC,larva_10,1.124200116
7,cPRC,larva_11,1.189403339
8,cPRC,larva_1,0.93947706499999994
8,cPRC,larva_2,1.067449724
8,cPRC,larva_3,1.017924115
8,cPRC,larva_4,1.035315988
8,cPRC,larva_5,0.940350306
8,cPRC,larva_6,1.194066099
8,cPRC,larva_7,1.019105513
8,cPRC,larva_8,0.970992959
8,cPRC,larva_9,0.999387471
8,cPRC,larva_10,1.104072135
8,cPRC,larva_11,1.138788631
9,cPRC,larva_1,0.977183303
9,cPRC,larva_2,0.982677819
9,cPRC,larva_3,1.020408163
9,cPRC,larva_4,0.98175304
9,cPRC,larva_5,1.00900345
9,cPRC,larva_6,1.135500021
9,cPRC,larva_7,1.038151644
9,cPRC,larva_8,0.994367936
9,cPRC,larva_9,0.970549592
9,cPRC,larva_10,1.165445026
9,cPRC,larva_11,1.132585157
10,cPRC,larva_1,0.995718535
10,cPRC,larva_2,0.945838524
10,cPRC,larva_3,1.017899761
10,cPRC,larva_4,1.019102102
10,cPRC,larva_5,0.957471214
10,cPRC,larva_6,1.130407318
10,cPRC,larva_7,1.045646331
10,cPRC,larva_8,0.994848655
10,cPRC,larva_9,1.037456166
10,cPRC,larva_10,1.095346131
10,cPRC,larva_11,1.120234604
11,cPRC,larva_1,0.998603967
11,cPRC,larva_2,0.938126594
11,cPRC,larva_3,1.022624324
11,cPRC,larva_4,1.058428466
11,cPRC,larva_5,1.028723571
11,cPRC,larva_6,1.175033203
11,cPRC,larva_7,1.00411614
11,cPRC,larva_8,1.029760897
11,cPRC,larva_9,1.016130959
11,cPRC,larva_10,1.169866201
11,cPRC,larva_11,1.126607264
12,cPRC,larva_1,0.985106014
12,cPRC,larva_2,1.010381444
12,cPRC,larva_3,1.016852564
12,cPRC,larva_4,1.050035913
12,cPRC,larva_5,1.033469962
