time,condition,displacement,genotype,batch
180,dark_180,-0.143858219,WT,2017-07-01_3d_NNxNN_08
210,dark_210,-0.14142243,WT,2017-07-01_3d_NNxNN_08
240,dark_240,-0.083020024,WT,2017-07-01_3d_NNxNN_08
270,sideUV_30,-0.26550541,WT,2017-07-01_3d_NNxNN_08
300,sideUV_60,-0.388534556,WT,2017-07-01_3d_NNxNN_08
330,sideUV_90,-0.401229863,WT,2017-07-01_3d_NNxNN_08
360,sideUV_120,-0.383023602,WT,2017-07-01_3d_NNxNN_08
390,dark1_30,-0.113077129,WT,2017-07-01_3d_NNxNN_08
420,dark1_60,-0.164938753,WT,2017-07-01_3d_NNxNN_08
450,dark1_90,-0.17866934,WT,2017-07-01_3d_NNxNN_08
480,dark1_120,-0.043918253,WT,2017-07-01_3d_NNxNN_08
510,top488_30,0.126377708,WT,2017-07-01_3d_NNxNN_08
540,top488_60,0.297110678,WT,2017-07-01_3d_NNxNN_08
570,top488_90,0.386203188,WT,2017-07-01_3d_NNxNN_08
600,top488_120,0.422575285,WT,2017-07-01_3d_NNxNN_08
630,dark2_30,0.195533882,WT,2017-07-01_3d_NNxNN_08
660,dark2_60,-0.096043905,WT,2017-07-01_3d_NNxNN_08
690,dark2_90,-0.013037256,WT,2017-07-01_3d_NNxNN_08
720,dark2_120,0.001040112,WT,2017-07-01_3d_NNxNN_08
750,top395_30,-0.008898895,WT,2017-07-01_3d_NNxNN_08
780,top395_60,-0.38288061,WT,2017-07-01_3d_NNxNN_08
810,top395_90,-0.618363023,WT,2017-07-01_3d_NNxNN_08
840,top395_120,-0.585722291,WT,2017-07-01_3d_NNxNN_08
180,dark_180,-0.104814697,WT,2017-07-01_3d_NNxNN_09
210,dark_210,-0.100320638,WT,2017-07-01_3d_NNxNN_09
240,dark_240,-0.161439559,WT,2017-07-01_3d_NNxNN_09
270,sideUV_30,-0.200108401,WT,2017-07-01_3d_NNxNN_09
300,sideUV_60,-0.254760632,WT,2017-07-01_3d_NNxNN_09
330,sideUV_90,-0.308243546,WT,2017-07-01_3d_NNxNN_09
360,sideUV_120,-0.306730309,WT,2017-07-01_3d_NNxNN_09
390,dark1_30,-0.226208766,WT,2017-07-01_3d_NNxNN_09
420,dark1_60,-0.308853742,WT,2017-07-01_3d_NNxNN_09
450,dark1_90,-0.176040522,WT,2017-07-01_3d_NNxNN_09
480,dark1_120,-0.147159251,WT,2017-07-01_3d_NNxNN_09
510,top488_30,0.087435406,WT,2017-07-01_3d_NNxNN_09
540,top488_60,0.169490929,WT,2017-07-01_3d_NNxNN_09
570,top488_90,0.254394915,WT,2017-07-01_3d_NNxNN_09
600,top488_120,0.25121894,WT,2017-07-01_3d_NNxNN_09
630,dark2_30,0.117334557,WT,2017-07-01_3d_NNxNN_09
660,dark2_60,-0.114438708,WT,2017-07-01_3d_NNxNN_09
690,dark2_90,-0.059049156,WT,2017-07-01_3d_NNxNN_09
720,dark2_120,0.010227298,WT,2017-07-01_3d_NNxNN_09
750,top395_30,0.050785202,WT,2017-07-01_3d_NNxNN_09
780,top395_60,-0.276502111,WT,2017-07-01_3d_NNxNN_09
810,top395_90,-0.456381812,WT,2017-07-01_3d_NNxNN_09
840,top395_120,-0.508595482,WT,2017-07-01_3d_NNxNN_09
180,dark_180,-0.108361539,WT,2017-07-02_3d_NNxNN_04
210,dark_210,-0.107147133,WT,2017-07-02_3d_NNxNN_04
240,dark_240,-0.128116389,WT,2017-07-02_3d_NNxNN_04
270,sideUV_30,-0.248558434,WT,2017-07-02_3d_NNxNN_04
300,sideUV_60,-0.427446951,WT,2017-07-02_3d_NNxNN_04
330,sideUV_90,-0.542423729,WT,2017-07-02_3d_NNxNN_04
360,sideUV_120,-0.540076441,WT,2017-07-02_3d_NNxNN_04
390,dark1_30,-0.193705234,WT,2017-07-02_3d_NNxNN_04
420,dark1_60,-0.31491918,WT,2017-07-02_3d_NNxNN_04
450,dark1_90,-0.242568542,WT,2017-07-02_3d_NNxNN_04
480,dark1_120,-0.061309598,WT,2017-07-02_3d_NNxNN_04
510,top488_30,0.250129003,WT,2017-07-02_3d_NNxNN_04
540,top488_60,0.348794405,WT,2017-07-02_3d_NNxNN_04
570,top488_90,0.408037593,WT,2017-07-02_3d_NNxNN_04
600,top488_120,0.380935768,WT,2017-07-02_3d_NNxNN_04
630,dark2_30,0.189198982,WT,2017-07-02_3d_NNxNN_04
660,dark2_60,-0.145198141,WT,2017-07-02_3d_NNxNN_04
690,dark2_90,-0.034691598,WT,2017-07-02_3d_NNxNN_04
720,dark2_120,0.07645435,WT,2017-07-02_3d_NNxNN_04
750,top395_30,0.15609768,WT,2017-07-02_3d_NNxNN_04
780,top395_60,-0.294241201,WT,2017-07-02_3d_NNxNN_04
810,top395_90,-0.700009725,WT,2017-07-02_3d_NNxNN_04
840,top395_120,-0.793774223,WT,2017-07-02_3d_NNxNN_04
180,dark_180,-0.290937312,WT,2017-07-03_3d_NNxNN_05
210,dark_210,-0.22702974,WT,2017-07-03_3d_NNxNN_05
240,dark_240,-0.176618115,WT,2017-07-03_3d_NNxNN_05
270,sideUV_30,-0.133994203,WT,2017-07-03_3d_NNxNN_05
300,sideUV_60,-0.192277736,WT,2017-07-03_3d_NNxNN_05
330,sideUV_90,-0.135911612,WT,2017-07-03_3d_NNxNN_05
360,sideUV_120,-0.10622002,WT,2017-07-03_3d_NNxNN_05
390,dark1_30,-0.146318251,WT,2017-07-03_3d_NNxNN_05
420,dark1_60,-0.101503375,WT,2017-07-03_3d_NNxNN_05
450,dark1_90,-0.170337888,WT,2017-07-03_3d_NNxNN_05
480,dark1_120,-0.067846022,WT,2017-07-03_3d_NNxNN_05
510,top488_30,0.067992247,WT,2017-07-03_3d_NNxNN_05
540,top488_60,0.257389173,WT,2017-07-03_3d_NNxNN_05
570,top488_90,0.346146829,WT,2017-07-03_3d_NNxNN_05
600,top488_120,0.290489406,WT,2017-07-03_3d_NNxNN_05
630,dark2_30,-0.04847573,WT,2017-07-03_3d_NNxNN_05
660,dark2_60,-0.220992969,WT,2017-07-03_3d_NNxNN_05
690,dark2_90,-0.158798073,WT,2017-07-03_3d_NNxNN_05
720,dark2_120,-0.018446376,WT,2017-07-03_3d_NNxNN_05
750,top395_30,0.142467174,WT,2017-07-03_3d_NNxNN_05
780,top395_60,0.007525889,WT,2017-07-03_3d_NNxNN_05
810,top395_90,-0.05978076,WT,2017-07-03_3d_NNxNN_05
840,top395_120,-0.177757458,WT,2017-07-03_3d_NNxNN_05
180,dark_180,-0.036391221,WT,2017-07-04_3d_NNxNN_02
210,dark_210,-0.027454701,WT,2017-07-04_3d_NNxNN_02
240,dark_240,-0.027390269,WT,2017-07-04_3d_NNxNN_02
270,sideUV_30,-0.14728624,WT,2017-07-04_3d_NNxNN_02
300,sideUV_60,-0.158349511,WT,2017-07-04_3d_NNxNN_02
330,sideUV_90,-0.19373531,WT,2017-07-04_3d_NNxNN_02
360,sideUV_120,-0.167652844,WT,2017-07-04_3d_NNxNN_02
390,dark1_30,-0.113921412,WT,2017-07-04_3d_NNxNN_02
420,dark1_60,-0.113413606,WT,2017-07-04_3d_NNxNN_02
450,dark1_90,-0.040312804,WT,2017-07-04_3d_NNxNN_02
480,dark1_120,0.006306843,WT,2017-07-04_3d_NNxNN_02
510,top488_30,0.353857917,WT,2017-07-04_3d_NNxNN_02
540,top488_60,0.470712912,WT,2017-07-04_3d_NNxNN_02
570,top488_90,0.383412718,WT,2017-07-04_3d_NNxNN_02
600,top488_120,0.285176737,WT,2017-07-04_3d_NNxNN_02
630,dark2_30,-0.268139092,WT,2017-07-04_3d_NNxNN_02
660,dark2_60,-0.265636537,WT,2017-07-04_3d_NNxNN_02
690,dark2_90,-0.13199225,WT,2017-07-04_3d_NNxNN_02
720,dark2_120,-0.120828939,WT,2017-07-04_3d_NNxNN_02
750,top395_30,0.19105782,WT,2017-07-04_3d_NNxNN_02
780,top395_60,0.182312251,WT,2017-07-04_3d_NNxNN_02
810,top395_90,0.061925028,WT,2017-07-04_3d_NNxNN_02
840,top395_120,0.033509724,WT,2017-07-04_3d_NNxNN_02
180,dark_180,-0.247531663,WT,2017-07-03_3d_NNxNN_06
210,dark_210,-0.183506357,WT,2017-07-03_3d_NNxNN_06
240,dark_240,-0.119271262,WT,2017-07-03_3d_NNxNN_06
270,sideUV_30,-0.238143517,WT,2017-07-03_3d_NNxNN_06
300,sideUV_60,-0.188396031,WT,2017-07-03_3d_NNxNN_06
330,sideUV_90,-0.197279794,WT,2017-07-03_3d_NNxNN_06
360,sideUV_120,-0.16098307,WT,2017-07-03_3d_NNxNN_06
390,dark1_30,-0.186658532,WT,2017-07-03_3d_NNxNN_06
420,dark1_60,-0.176167408,WT,2017-07-03_3d_NNxNN_06
450,dark1_90,-0.169040683,WT,2017-07-03_3d_NNxNN_06
480,dark1_120,-0.135960416,WT,2017-07-03_3d_NNxNN_06
510,top488_30,-0.062275983,WT,2017-07-03_3d_NNxNN_06
540,top488_60,0.106002705,WT,2017-07-03_3d_NNxNN_06
570,top488_90,0.139315919,WT,2017-07-03_3d_NNxNN_06
600,top488_120,0.140580115,WT,2017-07-03_3d_NNxNN_06
630,dark2_30,-0.058542712,WT,2017-07-03_3d_NNxNN_06
660,dark2_60,-0.175716843,WT,2017-07-03_3d_NNxNN_06
690,dark2_90,-0.09334811,WT,2017-07-03_3d_NNxNN_06
720,dark2_120,0.005318015,WT,2017-07-03_3d_NNxNN_06
750,top395_30,-0.020908678,WT,2017-07-03_3d_NNxNN_06
780,top395_60,-0.016258381,WT,2017-07-03_3d_NNxNN_06
810,top395_90,-0.13867734,WT,2017-07-03_3d_NNxNN_06
840,top395_120,-0.193278127,WT,2017-07-03_3d_NNxNN_06
180,dark_180,-0.226815137,WT,2017-07-06_3d_NNxNN_01
210,dark_210,-0.205463243,WT,2017-07-06_3d_NNxNN_01
240,dark_240,-0.191230961,WT,2017-07-06_3d_NNxNN_01
270,sideUV_30,-0.17196439,WT,2017-07-06_3d_NNxNN_01
300,sideUV_60,-0.191922471,WT,2017-07-06_3d_NNxNN_01
330,sideUV_90,-0.177939188,WT,2017-07-06_3d_NNxNN_01
360,sideUV_120,-0.209012241,WT,2017-07-06_3d_NNxNN_01
390,dark1_30,-0.2311048,WT,2017-07-06_3d_NNxNN_01
420,dark1_60,-0.228118858,WT,2017-07-06_3d_NNxNN_01
450,dark1_90,-0.179454537,WT,2017-07-06_3d_NNxNN_01
480,dark1_120,-0.197012015,WT,2017-07-06_3d_NNxNN_01
510,top488_30,-0.035170555,WT,2017-07-06_3d_NNxNN_01
540,top488_60,0.073965596,WT,2017-07-06_3d_NNxNN_01
570,top488_90,0.100955461,WT,2017-07-06_3d_NNxNN_01
600,top488_120,0.170812704,WT,2017-07-06_3d_NNxNN_01
630,dark2_30,-0.371366285,WT,2017-07-06_3d_NNxNN_01
660,dark2_60,-0.320431713,WT,2017-07-06_3d_NNxNN_01
690,dark2_90,-0.217623843,WT,2017-07-06_3d_NNxNN_01
720,dark2_120,-0.099361758,WT,2017-07-06_3d_NNxNN_01
750,top395_30,0.117851086,WT,2017-07-06_3d_NNxNN_01
780,top395_60,0.072797521,WT,2017-07-06_3d_NNxNN_01
810,top395_90,-0.029148042,WT,2017-07-06_3d_NNxNN_01
840,top395_120,-0.182308966,WT,2017-07-06_3d_NNxNN_01
180,dark_180,-0.063263066,NOS11x11,2017-06-23_3d_nnxnn_00
210,dark_210,-0.014817761,NOS11x11,2017-06-23_3d_nnxnn_00
240,dark_240,0.017166597,NOS11x11,2017-06-23_3d_nnxnn_00
270,sideUV_30,0.04785006,NOS11x11,2017-06-23_3d_nnxnn_00
300,sideUV_60,-0.015304606,NOS11x11,2017-06-23_3d_nnxnn_00
330,sideUV_90,-0.035882741,NOS11x11,2017-06-23_3d_nnxnn_00
360,sideUV_120,-0.028893488,NOS11x11,2017-06-23_3d_nnxnn_00
390,dark1_30,-0.094014033,NOS11x11,2017-06-23_3d_nnxnn_00
420,dark1_60,-0.079734087,NOS11x11,2017-06-23_3d_nnxnn_00
450,dark1_90,-0.054690903,NOS11x11,2017-06-23_3d_nnxnn_00
480,dark1_120,8.4536e-4,NOS11x11,2017-06-23_3d_nnxnn_00
510,top488_30,0.228919352,NOS11x11,2017-06-23_3d_nnxnn_00
540,top488_60,0.18521134,NOS11x11,2017-06-23_3d_nnxnn_00
570,top488_90,0.13943729,NOS11x11,2017-06-23_3d_nnxnn_00
600,top488_120,0.164123612,NOS11x11,2017-06-23_3d_nnxnn_00
630,dark2_30,-0.062716487,NOS11x11,2017-06-23_3d_nnxnn_00
660,dark2_60,-0.087048253,NOS11x11,2017-06-23_3d_nnxnn_00
690,dark2_90,-0.012629764,NOS11x11,2017-06-23_3d_nnxnn_00
720,dark2_120,0.05520913,NOS11x11,2017-06-23_3d_nnxnn_00
750,top395_30,0.212640699,NOS11x11,2017-06-23_3d_nnxnn_00
780,top395_60,0.087848606,NOS11x11,2017-06-23_3d_nnxnn_00
810,top395_90,-0.035661621,NOS11x11,2017-06-23_3d_nnxnn_00
840,top395_120,-0.140872923,NOS11x11,2017-06-23_3d_nnxnn_00
180,dark_180,-0.018356978,NOS11x11,2017-07-01_3d_nnxnn_06
210,dark_210,0.003698295,NOS11x11,2017-07-01_3d_nnxnn_06
240,dark_240,0.025752103,NOS11x11,2017-07-01_3d_nnxnn_06
270,sideUV_30,-0.11859739,NOS11x11,2017-07-01_3d_nnxnn_06
300,sideUV_60,-0.113389434,NOS11x11,2017-07-01_3d_nnxnn_06
330,sideUV_90,-0.155923921,NOS11x11,2017-07-01_3d_nnxnn_06
360,sideUV_120,-0.141226116,NOS11x11,2017-07-01_3d_nnxnn_06
390,dark1_30,-0.179794858,NOS11x11,2017-07-01_3d_nnxnn_06
420,dark1_60,-0.16973189,NOS11x11,2017-07-01_3d_nnxnn_06
450,dark1_90,-0.123142582,NOS11x11,2017-07-01_3d_nnxnn_06
480,dark1_120,-0.10970369,NOS11x11,2017-07-01_3d_nnxnn_06
510,top488_30,-0.01491128,NOS11x11,2017-07-01_3d_nnxnn_06
540,top488_60,0.140601816,NOS11x11,2017-07-01_3d_nnxnn_06
570,top488_90,0.191447238,NOS11x11,2017-07-01_3d_nnxnn_06
600,top488_120,0.194596155,NOS11x11,2017-07-01_3d_nnxnn_06
630,dark2_30,0.077561131,NOS11x11,2017-07-01_3d_nnxnn_06
660,dark2_60,0.082146392,NOS11x11,2017-07-01_3d_nnxnn_06
690,dark2_90,0.128473518,NOS11x11,2017-07-01_3d_nnxnn_06
720,dark2_120,0.158720065,NOS11x11,2017-07-01_3d_nnxnn_06
750,top395_30,0.153069491,NOS11x11,2017-07-01_3d_nnxnn_06
780,top395_60,0.067934934,NOS11x11,2017-07-01_3d_nnxnn_06
810,top395_90,-0.09055841,NOS11x11,2017-07-01_3d_nnxnn_06
840,top395_120,-0.2013256,NOS11x11,2017-07-01_3d_nnxnn_06
180,dark_180,-0.155324855,NOS11x11,2017-07-03_3d_nnxnn_00
