Date,Track ID,ID,Speed,Edge time,Edge X,Edge Y,Y,L-NAME,sec,Ymm,y_axis,mm/sec
0804_04_,110,0804_04_110,0.044237634,1198.5,57.1998954,318.9961065,-37.4642275,0 mM,39.95,-80.56823118,-8.056823118,0.28540409
0804_04_,21,0804_04_21,0.47967899,1198.5,24.63452203,171.0078747,-127.2484873,0 mM,39.95,-273.6526609,-27.36526609,3.094703161
0804_04_,66,0804_04_66,0.173271012,1198.5,47.71378197,260.082083,-87.0281343,0 mM,39.95,-187.1572781,-18.71572781,1.117877497
0815_04_,199,0815_04_199,0.642646862,1198.5,76.79061858,439.6268376,-163.6321561,0 mM,39.95,-351.8971099,-35.18971099,4.146108787
0816_01_,123,0816_01_123,0.278541602,1198.5,49.18803345,67.17596264,174.3401322,1 mM,39.95,374.9250155,37.49250155,1.797042594
0821_02_,337,0821_02_337,0.203787159,1198.5,32.18080417,249.3465393,1.412234,0.1 mM,39.95,3.037062366,0.303706237,1.314755865
0816_02_,240,0816_02_240,0.183880432,1198.5,85.78546646,419.6264933,-138.1123467,0.1 mM,39.95,-297.0157994,-29.70157994,1.186325368
0815_05_,30,0815_05_30,0.138243385,1198.5,102.1501963,119.4281791,2.6050093,0.1 mM,39.95,5.602170538,0.560217054,0.891892806
0815_02_,14,0815_02_14,0.259908011,1198.5,62.15210942,203.3217351,42.9854253,0.1 mM,39.95,92.44177484,9.244177484,1.676825877
0804_05_,121,0804_05_121,0.133355764,1198.5,95.79627936,243.0820592,-156.8172721,0.1 mM,39.95,-337.2414454,-33.72414454,0.860359768
0804_02_,169,0804_02_169,0.724463171,1198.5,40.0215437,429.2608263,-41.5053407,0.1 mM,39.95,-89.2587972,-8.92587972,4.673955942
0816_03_,232,0816_03_232,0.60009447,1198.5,120.9106205,289.7183004,55.7985179,1 mM,39.95,119.9968127,11.99968127,3.871577226
0821_03_,77,0821_03_77,0.150134335,1198.5,80.75217498,628.1611337,40.8574504,1 mM,39.95,87.86548473,8.786548473,0.968608613
0804_03_,72,0804_03_72,0.417345185,1198.5,54.49289168,362.1888488,45.0863133,1 mM,39.95,96.95981355,9.695981355,2.692549581
0804_06_,151,0804_06_151,0.227863201,1198.5,68.32717448,486.9573791,-146.778335,0 mM,39.95,-315.6523333,-31.56523333,1.470085168
0807_03_,256,0807_03_256,0.296790976,1198.5,6.078492866,241.3686673,116.1206137,1 mM,39.95,249.7217499,24.97217499,1.91478049
0815_03_,263,0815_03_263,0.130045566,1198.5,82.30307313,195.7913501,6.3513425,1 mM,39.95,13.65880108,1.365880108,0.839003652
