time,condition,displacement,L-NAME,batch
180,dark_180,0.037432353,0 mM,2017-08-04_3d_L_0mM_00
210,dark_210,-0.042301079,0 mM,2017-08-04_3d_L_0mM_00
240,dark_240,-0.045382734,0 mM,2017-08-04_3d_L_0mM_00
270,sideUV_30,-0.217297497,0 mM,2017-08-04_3d_L_0mM_00
300,sideUV_60,-0.405406241,0 mM,2017-08-04_3d_L_0mM_00
330,sideUV_90,-0.441043997,0 mM,2017-08-04_3d_L_0mM_00
360,sideUV_120,-0.381322302,0 mM,2017-08-04_3d_L_0mM_00
390,dark1_30,-0.271852124,0 mM,2017-08-04_3d_L_0mM_00
420,dark1_60,-0.232937029,0 mM,2017-08-04_3d_L_0mM_00
450,dark1_90,-0.209785456,0 mM,2017-08-04_3d_L_0mM_00
480,dark1_120,-0.099442799,0 mM,2017-08-04_3d_L_0mM_00
510,top488_30,-0.084319274,0 mM,2017-08-04_3d_L_0mM_00
540,top488_60,0.2238973,0 mM,2017-08-04_3d_L_0mM_00
570,top488_90,0.310530927,0 mM,2017-08-04_3d_L_0mM_00
600,top488_120,0.353759077,0 mM,2017-08-04_3d_L_0mM_00
630,dark2_30,0.134606148,0 mM,2017-08-04_3d_L_0mM_00
660,dark2_60,-0.002838138,0 mM,2017-08-04_3d_L_0mM_00
690,dark2_90,0.031540104,0 mM,2017-08-04_3d_L_0mM_00
720,dark2_120,0.075578835,0 mM,2017-08-04_3d_L_0mM_00
750,top395_30,0.018381051,0 mM,2017-08-04_3d_L_0mM_00
780,top395_60,0.009544225,0 mM,2017-08-04_3d_L_0mM_00
810,top395_90,-0.099769882,0 mM,2017-08-04_3d_L_0mM_00
840,top395_120,-0.111530261,0 mM,2017-08-04_3d_L_0mM_00
180,dark_180,-0.02884315,0 mM,2017-08-04_3d_L_0mM_03
210,dark_210,-0.010576558,0 mM,2017-08-04_3d_L_0mM_03
240,dark_240,-0.04033662,0 mM,2017-08-04_3d_L_0mM_03
270,sideUV_30,0.025130678,0 mM,2017-08-04_3d_L_0mM_03
300,sideUV_60,-0.108624882,0 mM,2017-08-04_3d_L_0mM_03
330,sideUV_90,-0.172610599,0 mM,2017-08-04_3d_L_0mM_03
360,sideUV_120,-0.169294941,0 mM,2017-08-04_3d_L_0mM_03
390,dark1_30,-0.167958259,0 mM,2017-08-04_3d_L_0mM_03
420,dark1_60,-0.222494005,0 mM,2017-08-04_3d_L_0mM_03
450,dark1_90,-0.162023904,0 mM,2017-08-04_3d_L_0mM_03
480,dark1_120,-0.101971133,0 mM,2017-08-04_3d_L_0mM_03
510,top488_30,0.257646827,0 mM,2017-08-04_3d_L_0mM_03
540,top488_60,0.406963519,0 mM,2017-08-04_3d_L_0mM_03
570,top488_90,0.372896093,0 mM,2017-08-04_3d_L_0mM_03
600,top488_120,0.305597325,0 mM,2017-08-04_3d_L_0mM_03
630,dark2_30,-0.104232382,0 mM,2017-08-04_3d_L_0mM_03
660,dark2_60,-0.329576444,0 mM,2017-08-04_3d_L_0mM_03
690,dark2_90,-0.237343901,0 mM,2017-08-04_3d_L_0mM_03
720,dark2_120,-0.138248041,0 mM,2017-08-04_3d_L_0mM_03
750,top395_30,0.173925426,0 mM,2017-08-04_3d_L_0mM_03
780,top395_60,-0.008446589,0 mM,2017-08-04_3d_L_0mM_03
810,top395_90,-0.195438146,0 mM,2017-08-04_3d_L_0mM_03
840,top395_120,-0.204781363,0 mM,2017-08-04_3d_L_0mM_03
