time,condition,displacement,genotype,batch
180,dark_180,0.376051261,WT,2017-07-01_2d_NNxNN_10
210,dark_210,0.30359869,WT,2017-07-01_2d_NNxNN_10
240,dark_240,0.240760779,WT,2017-07-01_2d_NNxNN_10
270,sideUV_30,0.046357237,WT,2017-07-01_2d_NNxNN_10
300,sideUV_60,0.066695864,WT,2017-07-01_2d_NNxNN_10
330,sideUV_90,0.029460571,WT,2017-07-01_2d_NNxNN_10
360,sideUV_120,-0.018085466,WT,2017-07-01_2d_NNxNN_10
390,dark1_30,-0.129757089,WT,2017-07-01_2d_NNxNN_10
420,dark1_60,-0.068912715,WT,2017-07-01_2d_NNxNN_10
450,dark1_90,-0.059342282,WT,2017-07-01_2d_NNxNN_10
480,dark1_120,-0.040219015,WT,2017-07-01_2d_NNxNN_10
510,top488_30,0.346812354,WT,2017-07-01_2d_NNxNN_10
540,top488_60,0.346263941,WT,2017-07-01_2d_NNxNN_10
570,top488_90,0.307420672,WT,2017-07-01_2d_NNxNN_10
600,top488_120,0.232429341,WT,2017-07-01_2d_NNxNN_10
630,dark2_30,-0.132340537,WT,2017-07-01_2d_NNxNN_10
660,dark2_60,-0.188946279,WT,2017-07-01_2d_NNxNN_10
690,dark2_90,-0.132842087,WT,2017-07-01_2d_NNxNN_10
720,dark2_120,-0.13316356,WT,2017-07-01_2d_NNxNN_10
750,top395_30,0.248067578,WT,2017-07-01_2d_NNxNN_10
780,top395_60,0.19745968,WT,2017-07-01_2d_NNxNN_10
810,top395_90,0.108002451,WT,2017-07-01_2d_NNxNN_10
840,top395_120,-0.031603807,WT,2017-07-01_2d_NNxNN_10
180,dark_180,0.214161581,WT,2017-07-01_2d_NNxNN_08...4
210,dark_210,0.281143807,WT,2017-07-01_2d_NNxNN_08...4
240,dark_240,0.170362938,WT,2017-07-01_2d_NNxNN_08...4
270,sideUV_30,-0.144340611,WT,2017-07-01_2d_NNxNN_08...4
300,sideUV_60,-0.111170544,WT,2017-07-01_2d_NNxNN_08...4
330,sideUV_90,-0.156915479,WT,2017-07-01_2d_NNxNN_08...4
360,sideUV_120,-0.172484038,WT,2017-07-01_2d_NNxNN_08...4
390,dark1_30,-0.071055307,WT,2017-07-01_2d_NNxNN_08...4
420,dark1_60,0.037620181,WT,2017-07-01_2d_NNxNN_08...4
450,dark1_90,0.04650477,WT,2017-07-01_2d_NNxNN_08...4
480,dark1_120,0.011073074,WT,2017-07-01_2d_NNxNN_08...4
510,top488_30,0.482303347,WT,2017-07-01_2d_NNxNN_08...4
540,top488_60,0.420619346,WT,2017-07-01_2d_NNxNN_08...4
570,top488_90,0.35866301,WT,2017-07-01_2d_NNxNN_08...4
600,top488_120,0.305041977,WT,2017-07-01_2d_NNxNN_08...4
