Genotype,Batch,Condition,Track ID,mean_speed,genotype_label
WT,0701_08,dark,0701_08_ID265,3.8267542413333335,WT
WT,0701_08,dark,0701_08_ID429,3.9387232630333333,WT
WT,0701_08,dark,0701_08_ID537,3.8910234332666667,WT
WT,0701_08,dark,0701_08_ID576,4.910735738633333,WT
WT,0701_09,dark,0701_09_ID1,2.2849407297,WT
WT,0701_09,dark,0701_09_ID199,2.8516792625,WT
WT,0701_09,dark,0701_09_ID30,2.7899996197333334,WT
WT,0701_09,dark,0701_09_ID383,2.7670580115,WT
WT,0701_09,dark,0701_09_ID55,3.7234423189,WT
WT,0701_09,dark,0701_09_ID99,1.7943714617,WT
WT,0702_03,dark,0702_03_ID313,2.8537715733,WT
WT,0702_04,dark,0702_04_ID332,3.2317623901333334,WT
WT,0703_07,dark,0703_07_ID111,2.5844744977,WT
WT,0703_07,dark,0703_07_ID132,2.9552661461,WT
WT,0703_07,dark,0703_07_ID139,4.047409676033333,WT
WT,0703_07,dark,0703_07_ID202,3.8874588872666664,WT
WT,0703_07,dark,0703_07_ID211,3.4754476197,WT
WT,0703_07,dark,0703_07_ID56,4.4449006165,WT
WT,0704_02,dark,0704_02_ID102,4.5586190000333335,WT
WT,0704_02,dark,0704_02_ID143,4.0384317645,WT
WT,0704_02,dark,0704_02_ID148,2.7057225097,WT
WT,0704_02,dark,0704_02_ID161,3.6884045408,WT
WT,0704_02,dark,0704_02_ID28,5.0859978196333335,WT
WT,0704_02,dark,0704_02_ID3,3.4784312547,WT
WT,0704_02,dark,0704_02_ID47,4.2171395743,WT
WT,0704_02,dark,0704_02_ID52,3.484562026233333,WT
WT,0705_00,dark,0705_00_ID112,5.102501116866667,WT
WT,0705_00,dark,0705_00_ID149,4.5662549539,WT
WT,0705_00,dark,0705_00_ID175,6.3635654355,WT
WT,0705_00,dark,0705_00_ID178,4.727581162433333,WT
WT,0705_00,dark,0705_00_ID193,3.9351345016,WT
WT,0706_00,dark,0706_00_ID203,3.3612277101666668,WT
NOS23x23,0623_02,dark,0623_02_ID10,2.7292929585,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID146,6.319884699766667,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID173,4.692827768433333,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID174,2.9409563517,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID208,3.803780567,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID221,3.1744097573,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID234,3.7673013581,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID250,2.9270009368,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID266,3.5051280585333333,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID270,2.7114221682,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID291,3.7546489247,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID293,2.2330492942,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID34,3.8935915703,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID40,5.426460729066667,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID44,5.1058522359,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID64,3.0078757142,NOS^'Δ23/Δ23'
NOS23x23,0623_02,dark,0623_02_ID84,2.2009907662,NOS^'Δ23/Δ23'
NOS23x23,0624_00,dark,0624_00_ID164,2.7814295082666667,NOS^'Δ23/Δ23'
NOS23x23,0624_00,dark,0624_00_ID759,4.298270154266667,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID209,3.8349119454,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID221,4.006984611666667,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID223,3.0703507537,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID253,4.640480549233334,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID284,3.0692106464,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID337,5.366896684466667,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID381,4.616635487,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID407,3.6559884305666666,NOS^'Δ23/Δ23'
NOS23x23,0624_01,dark,0624_01_ID463,4.250143782833334,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID122,4.674946002666666,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID159,2.7521287493,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID257,3.5546424678,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID279,4.1657832920999995,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID326,6.4371021035,NOS^'Δ23/Δ23'
NOS23x23,0627_02,dark,0627_02_ID387,3.4834890606,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID102,3.049481582333333,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID165,3.567811093,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID575,4.0209953117,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID649,3.154259222,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID7,2.6744479796333334,NOS^'Δ23/Δ23'
NOS23x23,0628_00,dark,0628_00_ID702,2.9360988577000002,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID132,5.001910857,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID239,5.5133689321,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID251,3.2568096996,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID284,5.2135910444,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID305,6.221498613066666,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID52,3.3973578568,NOS^'Δ23/Δ23'
NOS23x23,0703_01,dark,0703_01_ID56,6.092212295766666,NOS^'Δ23/Δ23'
NOS11x11,0623_00,dark,0623_00_ID117,3.0658979654,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID138,3.9785114575000002,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID139,5.1899365705,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID147,2.1413151883,NOS^'Δ11/Δ11'
NOS11x11,0623_00,dark,0623_00_ID164,2.931975013633333,NOS^'Δ11/Δ11'
