age,type,id,condition,Hz,genotype_label
2days,WT,1204_w1,before,17.5,WT
2days,WT,1204_w1,UV,19.9,WT
2days,NOSΔ11/Δ11,1204_n1,before,16.5,NOS^'Δ11/Δ11'
2days,NOSΔ11/Δ11,1204_n1,UV,17.1,NOS^'Δ11/Δ11'
2days,WT,1204_w2,before,9.6,WT
2days,WT,1204_w2,UV,12.4,WT
2days,NOSΔ11/Δ11,1204_n2,before,13.3,NOS^'Δ11/Δ11'
2days,NOSΔ11/Δ11,1204_n2,UV,13,NOS^'Δ11/Δ11'
2days,WT,1208_w1,before,7.4,WT
2days,WT,1208_w1,UV,11.9,WT
2days,WT,1208_w2,before,11.6,WT
2days,WT,1208_w2,UV,17.3,WT
2days,WT,1208_w4,before,15.4,WT
2days,WT,1208_w4,UV,14.9,WT
2days,WT,1208_w5,before,13.1,WT
2days,WT,1208_w5,UV,15.5,WT
2days,NOSΔ11/Δ11,1208_w6,before,15.7,NOS^'Δ11/Δ11'
2days,NOSΔ11/Δ11,1208_w6,UV,14.9,NOS^'Δ11/Δ11'
2days,NOSΔ11/Δ11,1208_n4,before,12.2,NOS^'Δ11/Δ11'
2days,NOSΔ11/Δ11,1208_n4,UV,11.3,NOS^'Δ11/Δ11'
2days,NOSΔ11/Δ11,1212_n1,before,10.8,NOS^'Δ11/Δ11'
2days,NOSΔ11/Δ11,1212_n1,UV,10.1,NOS^'Δ11/Δ11'
2days,NOSΔ11/Δ11,1212_n3,before,11,NOS^'Δ11/Δ11'
2days,NOSΔ11/Δ11,1212_n3,UV,11.3,NOS^'Δ11/Δ11'
2days,NOSΔ23/Δ23,1227_n3,before,8.3,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n3,UV,8,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n5,before,6.5,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n5,UV,6,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n6,before,7.7,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n6,UV,6.3,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n7,before,7.6,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n7,UV,7.2,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n8,before,10.2,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n8,UV,10.5,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n10,before,8,NOS^'Δ23/Δ23'
2days,NOSΔ23/Δ23,1227_n10,UV,8.7,NOS^'Δ23/Δ23'
