date,moon,genotype,sex,mature_worms
2025-05-01,0,NOSΔ11,female,2
2025-05-01,0,NOSΔ11,male,1
2025-05-01,0,NOSΔ23,female,1
2025-05-01,0,NOSΔ23,male,5
2025-05-01,0,wild type,female,6
2025-05-01,0,wild type,male,16
2025-05-02,0,NOSΔ11,female,3
2025-05-02,0,NOSΔ11,male,1
2025-05-02,0,NOSΔ23,female,6
2025-05-02,0,NOSΔ23,male,2
2025-05-02,0,wild type,female,12
2025-05-02,0,wild type,male,19
2025-05-03,0,NOSΔ11,female,1
2025-05-03,0,NOSΔ11,male,0
2025-05-03,0,NOSΔ23,female,0
2025-05-03,0,NOSΔ23,male,2
2025-05-03,0,wild type,female,5
2025-05-03,0,wild type,male,6
2025-05-04,0,NOSΔ11,female,1
2025-05-04,0,NOSΔ11,male,0
2025-05-04,0,NOSΔ23,female,1
2025-05-04,0,NOSΔ23,male,2
2025-05-04,0,wild type,female,5
2025-05-04,0,wild type,male,8
2025-05-05,0,NOSΔ11,female,4
2025-05-05,0,NOSΔ11,male,5
2025-05-05,0,NOSΔ23,female,4
2025-05-05,0,NOSΔ23,male,2
2025-05-05,0,wild type,female,26
2025-05-05,0,wild type,male,15
2025-05-06,0,NOSΔ11,female,6
2025-05-06,0,NOSΔ11,male,6
2025-05-06,0,NOSΔ23,female,4
2025-05-06,0,NOSΔ23,male,3
2025-05-06,0,wild type,female,14
2025-05-06,0,wild type,male,19
2025-05-07,0,NOSΔ11,female,0
2025-05-07,0,NOSΔ11,male,4
2025-05-07,0,NOSΔ23,female,0
2025-05-07,0,NOSΔ23,male,0
2025-05-07,0,wild type,female,13
2025-05-07,0,wild type,male,8
2025-05-08,0,NOSΔ11,female,1
2025-05-08,0,NOSΔ11,male,2
2025-05-08,0,NOSΔ23,female,1
2025-05-08,0,NOSΔ23,male,0
2025-05-08,0,wild type,female,6
2025-05-08,0,wild type,male,5
2025-05-09,1,NOSΔ11,female,1
2025-05-09,1,NOSΔ11,male,2
2025-05-09,1,NOSΔ23,female,2
2025-05-09,1,NOSΔ23,male,0
2025-05-09,1,wild type,female,5
2025-05-09,1,wild type,male,1
2025-05-10,1,NOSΔ11,female,0
2025-05-10,1,NOSΔ11,male,0
2025-05-10,1,NOSΔ23,female,0
2025-05-10,1,NOSΔ23,male,0
2025-05-10,1,wild type,female,0
2025-05-10,1,wild type,male,0
2025-05-11,1,NOSΔ11,female,0
2025-05-11,1,NOSΔ11,male,0
2025-05-11,1,NOSΔ23,female,0
2025-05-11,1,NOSΔ23,male,0
2025-05-11,1,wild type,female,0
2025-05-11,1,wild type,male,3
2025-05-12,1,NOSΔ11,female,0
2025-05-12,1,NOSΔ11,male,0
2025-05-12,1,NOSΔ23,female,0
2025-05-12,1,NOSΔ23,male,0
2025-05-12,1,wild type,female,0
2025-05-12,1,wild type,male,0
2025-05-13,1,NOSΔ11,female,0
2025-05-13,1,NOSΔ11,male,0
2025-05-13,1,NOSΔ23,female,0
2025-05-13,1,NOSΔ23,male,0
2025-05-13,1,wild type,female,0
2025-05-13,1,wild type,male,0
2025-05-14,1,NOSΔ11,female,0
2025-05-14,1,NOSΔ11,male,0
2025-05-14,1,NOSΔ23,female,1
2025-05-14,1,NOSΔ23,male,0
2025-05-14,1,wild type,female,0
2025-05-14,1,wild type,male,0
2025-05-15,1,NOSΔ11,female,0
2025-05-15,1,NOSΔ11,male,0
2025-05-15,1,NOSΔ23,female,0
2025-05-15,1,NOSΔ23,male,0
2025-05-15,1,wild type,female,0
2025-05-15,1,wild type,male,0
2025-05-16,0,NOSΔ11,female,0
2025-05-16,0,NOSΔ11,male,1
2025-05-16,0,NOSΔ23,female,0
2025-05-16,0,NOSΔ23,male,0
2025-05-16,0,wild type,female,2
2025-05-16,0,wild type,male,0
2025-05-17,0,NOSΔ11,female,3
2025-05-17,0,NOSΔ11,male,1
2025-05-17,0,NOSΔ23,female,0
2025-05-17,0,NOSΔ23,male,0
2025-05-17,0,wild type,female,1
2025-05-17,0,wild type,male,1
2025-05-18,0,NOSΔ11,female,1
2025-05-18,0,NOSΔ11,male,0
2025-05-18,0,NOSΔ23,female,0
2025-05-18,0,NOSΔ23,male,0
2025-05-18,0,wild type,female,3
2025-05-18,0,wild type,male,2
2025-05-19,0,NOSΔ11,female,2
2025-05-19,0,NOSΔ11,male,0
2025-05-19,0,NOSΔ23,female,1
2025-05-19,0,NOSΔ23,male,0
2025-05-19,0,wild type,female,12
2025-05-19,0,wild type,male,7
2025-05-20,0,NOSΔ11,female,0
2025-05-20,0,NOSΔ11,male,5
2025-05-20,0,NOSΔ23,female,0
2025-05-20,0,NOSΔ23,male,2
2025-05-20,0,wild type,female,14
2025-05-20,0,wild type,male,9
2025-05-21,0,NOSΔ11,female,9
2025-05-21,0,NOSΔ11,male,3
2025-05-21,0,NOSΔ23,female,2
2025-05-21,0,NOSΔ23,male,4
2025-05-21,0,wild type,female,21
2025-05-21,0,wild type,male,15
2025-05-22,0,NOSΔ11,female,3
2025-05-22,0,NOSΔ11,male,3
2025-05-22,0,NOSΔ23,female,3
2025-05-22,0,NOSΔ23,male,0
2025-05-22,0,wild type,female,22
2025-05-22,0,wild type,male,24
2025-05-23,0,NOSΔ11,female,3
2025-05-23,0,NOSΔ11,male,4
2025-05-23,0,NOSΔ23,female,3
2025-05-23,0,NOSΔ23,male,3
2025-05-23,0,wild type,female,12
2025-05-23,0,wild type,male,12
2025-05-24,0,NOSΔ11,female,4
2025-05-24,0,NOSΔ11,male,3
2025-05-24,0,NOSΔ23,female,3
2025-05-24,0,NOSΔ23,male,0
2025-05-24,0,wild type,female,5
2025-05-24,0,wild type,male,6
2025-05-25,0,NOSΔ11,female,3
2025-05-25,0,NOSΔ11,male,3
2025-05-25,0,NOSΔ23,female,0
2025-05-25,0,NOSΔ23,male,0
2025-05-25,0,wild type,female,7
2025-05-25,0,wild type,male,9
2025-05-26,0,NOSΔ11,female,4
2025-05-26,0,NOSΔ11,male,7
2025-05-26,0,NOSΔ23,female,2
2025-05-26,0,NOSΔ23,male,0
2025-05-26,0,wild type,female,6
2025-05-26,0,wild type,male,13
2025-05-27,0,NOSΔ11,female,5
2025-05-27,0,NOSΔ11,male,4
2025-05-27,0,NOSΔ23,female,2
2025-05-27,0,NOSΔ23,male,1
2025-05-27,0,wild type,female,12
2025-05-27,0,wild type,male,10
2025-05-28,0,NOSΔ11,female,6
2025-05-28,0,NOSΔ11,male,4
2025-05-28,0,NOSΔ23,female,4
2025-05-28,0,NOSΔ23,male,4
2025-05-28,0,wild type,female,9
2025-05-28,0,wild type,male,16
2025-05-29,0,NOSΔ11,female,1
2025-05-29,0,NOSΔ11,male,5
2025-05-29,0,NOSΔ23,female,1
2025-05-29,0,NOSΔ23,male,3
2025-05-29,0,wild type,female,4
2025-05-29,0,wild type,male,13
2025-05-30,0,NOSΔ11,female,2
2025-05-30,0,NOSΔ11,male,3
2025-05-30,0,NOSΔ23,female,2
2025-05-30,0,NOSΔ23,male,2
2025-05-30,0,wild type,female,14
2025-05-30,0,wild type,male,10
2025-05-31,0,NOSΔ11,female,1
2025-05-31,0,NOSΔ11,male,1
2025-05-31,0,NOSΔ23,female,1
2025-05-31,0,NOSΔ23,male,1
2025-05-31,0,wild type,female,12
2025-05-31,0,wild type,male,16
2025-06-01,0,NOSΔ11,female,1
2025-06-01,0,NOSΔ11,male,3
2025-06-01,0,NOSΔ23,female,1
2025-06-01,0,NOSΔ23,male,0
2025-06-01,0,wild type,female,3
2025-06-01,0,wild type,male,8
2025-06-02,0,NOSΔ11,female,4
2025-06-02,0,NOSΔ11,male,4
2025-06-02,0,NOSΔ23,female,6
2025-06-02,0,NOSΔ23,male,3
2025-06-02,0,wild type,female,23
2025-06-02,0,wild type,male,22
2025-06-03,0,NOSΔ11,female,4
2025-06-03,0,NOSΔ11,male,11
2025-06-03,0,NOSΔ23,female,2
2025-06-03,0,NOSΔ23,male,4
2025-06-03,0,wild type,female,14
2025-06-03,0,wild type,male,12
2025-06-04,0,NOSΔ11,female,1
2025-06-04,0,NOSΔ11,male,2
2025-06-04,0,NOSΔ23,female,3
2025-06-04,0,NOSΔ23,male,2
2025-06-04,0,wild type,female,14
2025-06-04,0,wild type,male,19
2025-06-05,0,NOSΔ11,female,4
2025-06-05,0,NOSΔ11,male,5
2025-06-05,0,NOSΔ23,female,3
2025-06-05,0,NOSΔ23,male,0
2025-06-05,0,wild type,female,9
2025-06-05,0,wild type,male,12
2025-06-06,0,NOSΔ11,female,3
2025-06-06,0,NOSΔ11,male,2
2025-06-06,0,NOSΔ23,female,4
2025-06-06,0,NOSΔ23,male,1
2025-06-06,0,wild type,female,4
2025-06-06,0,wild type,male,4
2025-06-07,0,NOSΔ11,female,1
2025-06-07,0,NOSΔ11,male,0
2025-06-07,0,NOSΔ23,female,1
2025-06-07,0,NOSΔ23,male,0
2025-06-07,0,wild type,female,1
2025-06-07,0,wild type,male,1
2025-06-08,1,NOSΔ11,female,3
2025-06-08,1,NOSΔ11,male,2
2025-06-08,1,NOSΔ23,female,2
2025-06-08,1,NOSΔ23,male,0
2025-06-08,1,wild type,female,3
2025-06-08,1,wild type,male,3
2025-06-09,1,NOSΔ11,female,2
2025-06-09,1,NOSΔ11,male,1
2025-06-09,1,NOSΔ23,female,0
2025-06-09,1,NOSΔ23,male,0
2025-06-09,1,wild type,female,1
2025-06-09,1,wild type,male,0
2025-06-10,1,NOSΔ11,female,0
2025-06-10,1,NOSΔ11,male,1
2025-06-10,1,NOSΔ23,female,2
2025-06-10,1,NOSΔ23,male,0
2025-06-10,1,wild type,female,0
2025-06-10,1,wild type,male,0
2025-06-11,1,NOSΔ11,female,1
2025-06-11,1,NOSΔ11,male,0
2025-06-11,1,NOSΔ23,female,1
2025-06-11,1,NOSΔ23,male,2
2025-06-11,1,wild type,female,0
2025-06-11,1,wild type,male,0
2025-06-12,1,NOSΔ11,female,0
2025-06-12,1,NOSΔ11,male,1
2025-06-12,1,NOSΔ23,female,0
2025-06-12,1,NOSΔ23,male,0
2025-06-12,1,wild type,female,0
2025-06-12,1,wild type,male,0
2025-06-13,1,NOSΔ11,female,1
2025-06-13,1,NOSΔ11,male,1
2025-06-13,1,NOSΔ23,female,0
2025-06-13,1,NOSΔ23,male,0
2025-06-13,1,wild type,female,0
2025-06-13,1,wild type,male,0
2025-06-14,1,NOSΔ11,female,1
2025-06-14,1,NOSΔ11,male,0
2025-06-14,1,NOSΔ23,female,1
2025-06-14,1,NOSΔ23,male,0
2025-06-14,1,wild type,female,0
2025-06-14,1,wild type,male,0
2025-06-15,0,NOSΔ11,female,1
2025-06-15,0,NOSΔ11,male,0
2025-06-15,0,NOSΔ23,female,0
2025-06-15,0,NOSΔ23,male,0
2025-06-15,0,wild type,female,3
2025-06-15,0,wild type,male,0
2025-06-16,0,NOSΔ11,female,3
2025-06-16,0,NOSΔ11,male,1
2025-06-16,0,NOSΔ23,female,0
2025-06-16,0,NOSΔ23,male,0
2025-06-16,0,wild type,female,2
2025-06-16,0,wild type,male,2
2025-06-17,0,NOSΔ11,female,3
2025-06-17,0,NOSΔ11,male,0
2025-06-17,0,NOSΔ23,female,1
2025-06-17,0,NOSΔ23,male,0
2025-06-17,0,wild type,female,5
2025-06-17,0,wild type,male,3
2025-06-18,0,NOSΔ11,female,7
2025-06-18,0,NOSΔ11,male,4
2025-06-18,0,NOSΔ23,female,3
2025-06-18,0,NOSΔ23,male,0
2025-06-18,0,wild type,female,16
2025-06-18,0,wild type,male,15
2025-06-19,0,NOSΔ11,female,9
2025-06-19,0,NOSΔ11,male,4
2025-06-19,0,NOSΔ23,female,3
2025-06-19,0,NOSΔ23,male,0
2025-06-19,0,wild type,female,20
2025-06-19,0,wild type,male,17
2025-06-20,0,NOSΔ11,female,8
2025-06-20,0,NOSΔ11,male,6
2025-06-20,0,NOSΔ23,female,3
2025-06-20,0,NOSΔ23,male,1
2025-06-20,0,wild type,female,22
2025-06-20,0,wild type,male,24
2025-06-21,0,NOSΔ11,female,6
2025-06-21,0,NOSΔ11,male,6
2025-06-21,0,NOSΔ23,female,2
2025-06-21,0,NOSΔ23,male,5
2025-06-21,0,wild type,female,20
2025-06-21,0,wild type,male,16
2025-06-22,0,NOSΔ11,female,5
2025-06-22,0,NOSΔ11,male,6
2025-06-22,0,NOSΔ23,female,1
2025-06-22,0,NOSΔ23,male,0
2025-06-22,0,wild type,female,21
2025-06-22,0,wild type,male,8
2025-06-23,0,NOSΔ11,female,6
2025-06-23,0,NOSΔ11,male,7
2025-06-23,0,NOSΔ23,female,6
2025-06-23,0,NOSΔ23,male,7
2025-06-23,0,wild type,female,19
2025-06-23,0,wild type,male,19
2025-06-24,0,NOSΔ11,female,7
2025-06-24,0,NOSΔ11,male,8
2025-06-24,0,NOSΔ23,female,5
2025-06-24,0,NOSΔ23,male,4
2025-06-24,0,wild type,female,22
2025-06-24,0,wild type,male,14
2025-06-25,0,NOSΔ11,female,3
2025-06-25,0,NOSΔ11,male,10
2025-06-25,0,NOSΔ23,female,0
2025-06-25,0,NOSΔ23,male,2
2025-06-25,0,wild type,female,8
2025-06-25,0,wild type,male,14
2025-06-26,0,NOSΔ11,female,7
2025-06-26,0,NOSΔ11,male,17
2025-06-26,0,NOSΔ23,female,7
2025-06-26,0,NOSΔ23,male,1
2025-06-26,0,wild type,female,17
2025-06-26,0,wild type,male,21
2025-06-27,0,NOSΔ11,female,3
2025-06-27,0,NOSΔ11,male,12
2025-06-27,0,NOSΔ23,female,0
2025-06-27,0,NOSΔ23,male,3
2025-06-27,0,wild type,female,8
2025-06-27,0,wild type,male,13
2025-06-28,0,NOSΔ11,female,1
2025-06-28,0,NOSΔ11,male,7
2025-06-28,0,NOSΔ23,female,1
2025-06-28,0,NOSΔ23,male,6
2025-06-28,0,wild type,female,12
2025-06-28,0,wild type,male,21
2025-06-29,0,NOSΔ11,female,5
2025-06-29,0,NOSΔ11,male,6
2025-06-29,0,NOSΔ23,female,6
2025-06-29,0,NOSΔ23,male,2
2025-06-29,0,wild type,female,10
2025-06-29,0,wild type,male,9
2025-06-30,0,NOSΔ11,female,13
2025-06-30,0,NOSΔ11,male,7
2025-06-30,0,NOSΔ23,female,5
2025-06-30,0,NOSΔ23,male,5
2025-06-30,0,wild type,female,20
2025-06-30,0,wild type,male,32
2025-07-01,0,NOSΔ11,female,14
2025-07-01,0,NOSΔ11,male,12
