expression,solution,cell,time,intensity
GcG-NIT1,SNAP,A,0.2,1.007991861
GcG-NIT1,SNAP,A,0.4,1.007168117
GcG-NIT1,SNAP,A,0.6,1.003576442
GcG-NIT1,SNAP,A,0.8,1.003010289
GcG-NIT1,SNAP,A,1,0.99671773
GcG-NIT1,SNAP,A,1.2,0.997290838
GcG-NIT1,SNAP,A,1.4,0.997890059
GcG-NIT1,SNAP,A,1.6,1.001477515
GcG-NIT1,SNAP,A,1.8,0.992816466
GcG-NIT1,SNAP,A,2,0.992060684
GcG-NIT1,SNAP,A,2.2,1.031109924
GcG-NIT1,SNAP,A,2.4,1.044512172
GcG-NIT1,SNAP,A,2.6,1.063177072
GcG-NIT1,SNAP,A,2.8,1.071851919
GcG-NIT1,SNAP,A,3,1.080224248
GcG-NIT1,SNAP,A,3.2,1.09324393
GcG-NIT1,SNAP,A,3.4,1.101952643
GcG-NIT1,SNAP,A,3.6,1.105629613
GcG-NIT1,SNAP,A,3.8,1.107584064
GcG-NIT1,SNAP,A,4,1.120973541
GcG-NIT1,SNAP,A,4.2,1.126517388
GcG-NIT1,SNAP,A,4.4,1.131038512
GcG-NIT1,SNAP,A,4.6,1.125185077
GcG-NIT1,SNAP,A,4.8,1.12205077
GcG-NIT1,SNAP,A,5,1.127276705
GcG-NIT1,SNAP,A,5.2,1.1198781820000001
GcG-NIT1,SNAP,A,5.4,1.123133587
GcG-NIT1,SNAP,A,5.6,1.118879176
GcG-NIT1,SNAP,A,5.8,1.11836981
GcG-NIT1,SNAP,A,6,1.120041813
GcG-NIT1,SNAP,A,6.2,1.109243068
GcG-NIT1,SNAP,A,6.4,1.107012895
GcG-NIT1,SNAP,A,6.6,1.109231893
GcG-NIT1,SNAP,A,6.8,1.102621536
GcG-NIT1,SNAP,A,7,1.094399839
GcG-NIT1,SNAP,A,7.2,1.098115806
GcG-NIT1,SNAP,A,7.4,1.094720602
GcG-NIT1,SNAP,A,7.6,1.087085468
GcG-NIT1,SNAP,A,7.8,1.093800846
GcG-NIT1,SNAP,A,8,1.085833661
GcG-NIT1,SNAP,A,8.2,1.080547405
GcG-NIT1,SNAP,A,8.4,1.079349762
GcG-NIT1,SNAP,A,8.6,1.068410989
GcG-NIT1,SNAP,A,8.8,1.071557839
GcG-NIT1,SNAP,A,9,1.064650323
GcG-NIT1,SNAP,A,9.2,1.074840725
GcG-NIT1,SNAP,A,9.4,1.054669734
GcG-NIT1,SNAP,A,9.6,1.066125968
GcG-NIT1,SNAP,A,9.8,1.060948268
GcG-NIT1,SNAP,A,10,1.063253472
GcG-NIT1,SNAP,B,0.2,1.009725399
GcG-NIT1,SNAP,B,0.4,0.991030041
GcG-NIT1,SNAP,B,0.6,1.005208771
GcG-NIT1,SNAP,B,0.8,1.019878374
GcG-NIT1,SNAP,B,1,0.98083569
GcG-NIT1,SNAP,B,1.2,1.010420622
GcG-NIT1,SNAP,B,1.4,1.00648936
GcG-NIT1,SNAP,B,1.6,0.986624936
GcG-NIT1,SNAP,B,1.8,0.999776846
GcG-NIT1,SNAP,B,2,0.990009961
GcG-NIT1,SNAP,B,2.2,1.016219868
GcG-NIT1,SNAP,B,2.4,1.024044637
GcG-NIT1,SNAP,B,2.6,1.01152034
GcG-NIT1,SNAP,B,2.8,1.034568629
GcG-NIT1,SNAP,B,3,1.052035934
GcG-NIT1,SNAP,B,3.2,1.049278594
GcG-NIT1,SNAP,B,3.4,1.061529338
GcG-NIT1,SNAP,B,3.6,1.065477049
GcG-NIT1,SNAP,B,3.8,1.070267882
GcG-NIT1,SNAP,B,4,1.077891273
GcG-NIT1,SNAP,B,4.2,1.066694812
GcG-NIT1,SNAP,B,4.4,1.089557809
GcG-NIT1,SNAP,B,4.6,1.084830383
GcG-NIT1,SNAP,B,4.8,1.097849901
GcG-NIT1,SNAP,B,5,1.088661353
GcG-NIT1,SNAP,B,5.2,1.078459538
GcG-NIT1,SNAP,B,5.4,1.07795678
GcG-NIT1,SNAP,B,5.6,1.08717569
GcG-NIT1,SNAP,B,5.8,1.089041791
GcG-NIT1,SNAP,B,6,1.082187102
GcG-NIT1,SNAP,B,6.2,1.060235705
GcG-NIT1,SNAP,B,6.4,1.059015914
GcG-NIT1,SNAP,B,6.6,1.063157756
GcG-NIT1,SNAP,B,6.8,1.06373892
GcG-NIT1,SNAP,B,7,1.048614459
GcG-NIT1,SNAP,B,7.2,1.044480152
GcG-NIT1,SNAP,B,7.4,1.041501869
GcG-NIT1,SNAP,B,7.6,1.030732441
GcG-NIT1,SNAP,B,7.8,1.046143353
GcG-NIT1,SNAP,B,8,1.057871775
GcG-NIT1,SNAP,B,8.2,1.053435002
GcG-NIT1,SNAP,B,8.4,1.058422431
GcG-NIT1,SNAP,B,8.6,1.044269354
GcG-NIT1,SNAP,B,8.8,1.06595785
GcG-NIT1,SNAP,B,9,1.058303082
GcG-NIT1,SNAP,B,9.2,1.060826145
GcG-NIT1,SNAP,B,9.4,1.016343202
GcG-NIT1,SNAP,B,9.6,1.028010319
GcG-NIT1,SNAP,B,9.8,1.028969456
GcG-NIT1,SNAP,B,10,1.021632735
GcG-NIT1,SNAP,C,0.2,1.019415062
GcG-NIT1,SNAP,C,0.4,1.01240615
GcG-NIT1,SNAP,C,0.6,1.010179644
GcG-NIT1,SNAP,C,0.8,1.001796411
GcG-NIT1,SNAP,C,1,0.995786571
GcG-NIT1,SNAP,C,1.2,0.997809252
GcG-NIT1,SNAP,C,1.4,0.991734115
GcG-NIT1,SNAP,C,1.6,0.993499562
GcG-NIT1,SNAP,C,1.8,0.991454106
GcG-NIT1,SNAP,C,2,0.985919128
GcG-NIT1,SNAP,C,2.2,1.030963714
GcG-NIT1,SNAP,C,2.4,1.031542521
GcG-NIT1,SNAP,C,2.6,1.043206505
GcG-NIT1,SNAP,C,2.8,1.035894809
GcG-NIT1,SNAP,C,3,1.038870283
GcG-NIT1,SNAP,C,3.2,1.040865012
GcG-NIT1,SNAP,C,3.4,1.051777652
GcG-NIT1,SNAP,C,3.6,1.052345531
GcG-NIT1,SNAP,C,3.8,1.05030736
GcG-NIT1,SNAP,C,4,1.046655385
GcG-NIT1,SNAP,C,4.2,1.042708407
GcG-NIT1,SNAP,C,4.4,1.045280219
GcG-NIT1,SNAP,C,4.6,1.044189511
GcG-NIT1,SNAP,C,4.8,1.049476111
GcG-NIT1,SNAP,C,5,1.040112709
GcG-NIT1,SNAP,C,5.2,1.055129488
GcG-NIT1,SNAP,C,5.4,1.055280938
GcG-NIT1,SNAP,C,5.6,1.055342016
GcG-NIT1,SNAP,C,5.8,1.041557503
GcG-NIT1,SNAP,C,6,1.031892505
GcG-NIT1,SNAP,C,6.2,1.030302395
GcG-NIT1,SNAP,C,6.4,1.03467903
GcG-NIT1,SNAP,C,6.6,1.031580709
GcG-NIT1,SNAP,C,6.8,1.030339242
GcG-NIT1,SNAP,C,7,1.019608112
GcG-NIT1,SNAP,C,7.2,1.026178624
GcG-NIT1,SNAP,C,7.4,1.030130739
GcG-NIT1,SNAP,C,7.6,1.02060381
GcG-NIT1,SNAP,C,7.8,1.024522759
GcG-NIT1,SNAP,C,8,1.021192931
GcG-NIT1,SNAP,C,8.2,1.01788235
GcG-NIT1,SNAP,C,8.4,1.018446396
GcG-NIT1,SNAP,C,8.6,1.015806374
GcG-NIT1,SNAP,C,8.8,1.01499188
GcG-NIT1,SNAP,C,9,1.024223885
GcG-NIT1,SNAP,C,9.2,1.016461098
GcG-NIT1,SNAP,C,9.4,1.013267498
GcG-NIT1,SNAP,C,9.6,1.010792269
