frame,morphant,sample,intensity
1,NIT2-MO1,2,1.0505606
1,NIT2-MO1,3,0.9910662
1,NIT2-MO1,4,1.0389502
1,NIT2-MO1,5,1.0456903
1,NIT2-MO1,6,1.0822164
1,NIT2-MO1,7,0.9393538
1,NIT2-MO1,8,1.0126205
1,NIT2-MO1,9,1.01105
1,NIT2-MO1,10,0.9864664
1,NIT2-MO1,11,1.020935
1,NIT2-MO1,12,1.0156874
1,NIT2-MO1,13,0.9991664
1,NIT2-MO1,14,1.0251179
1,NIT2-MO1,15,1.0394004
1,NIT2-MO1,16,1.0339419
1,NIT2-MO1,17,1.0806019
1,NIT2-MO1,18,0.9842247
1,NIT2-MO1,19,1.0611659
1,NIT2-MO1,20,1.0583713
1,NIT2-MO1,21,1.0374369
1,NIT2-MO1,22,1.12511
1,NIT2-MO2,23,1.0299701000000001
1,NIT2-MO2,24,1.1049108
1,NIT2-MO2,25,0.9010012
1,NIT2-MO2,26,0.9703634
1,NIT2-MO2,27,0.9467746
1,NIT2-MO2,28,1.0443371
1,NIT2-MO2,29,1.1716338
1,NIT2-MO2,30,1.0351428
1,NIT2-MO2,31,1.0958865
1,NIT2-MO2,32,1.0830942
1,NIT2-MO2,33,0.9640075
1,NIT2-MO2,34,0.8308001
1,NIT2-MO2,35,0.9338527
1,NIT2-MO2,36,0.9641949
1,NIT2-MO2,37,1.0282905
1,NIT2-MO2,38,0.9879871
1,NIT2-MO2,39,1.0658301
1,NIT2-MO2,40,1.0629952
1,NIT2-MO2,41,0.9694445
1,NIT2-MO2,42,1.0669441
1,NIT2-MO2,43,1.0471138
1,NIT2-MO2,44,1.1051942
1,NIT2-MO2,45,1.0852004
1,NIT2-MO2,46,1.02523
1,NIT2-MO2,47,1.1450655
1,NIT2-MO2,48,1.1863796
1,NIT2-MO2,49,1.1004876
1,NIT2-MO2,50,1.0519159
1,NIT2-MO2,51,1.0093652
1,NIT2-MO2,52,1.009961
1,NIT2-MO2,53,1.0457785
1,NIT2-MO2,54,0.9611205
2,NIT2-MO1,2,1.0523055
2,NIT2-MO1,3,0.9942803
2,NIT2-MO1,4,1.0401079
2,NIT2-MO1,5,1.046041
2,NIT2-MO1,6,1.0809234
2,NIT2-MO1,7,0.9418824
2,NIT2-MO1,8,1.0139102
2,NIT2-MO1,9,1.0032098
2,NIT2-MO1,10,0.9868575
2,NIT2-MO1,11,1.0103363
2,NIT2-MO1,12,1.0069461
2,NIT2-MO1,13,1.0003923
2,NIT2-MO1,14,1.0197109
2,NIT2-MO1,15,1.029153
2,NIT2-MO1,16,1.007444
2,NIT2-MO1,17,1.0782952
2,NIT2-MO1,18,0.9921523
2,NIT2-MO1,19,1.0573637
2,NIT2-MO1,20,1.0573285
2,NIT2-MO1,21,1.0331868
2,NIT2-MO1,22,1.1196655
2,NIT2-MO2,23,1.0099448
2,NIT2-MO2,24,1.0937166
2,NIT2-MO2,25,0.9199832
2,NIT2-MO2,26,0.9796378
2,NIT2-MO2,27,0.9449462
2,NIT2-MO2,28,1.0322108
2,NIT2-MO2,29,1.1388478
2,NIT2-MO2,30,1.027871
2,NIT2-MO2,31,1.101927
2,NIT2-MO2,32,1.1237783
2,NIT2-MO2,33,0.9576485
2,NIT2-MO2,34,0.8134499
2,NIT2-MO2,35,0.9272425
2,NIT2-MO2,36,0.9387498
2,NIT2-MO2,37,1.0236267
2,NIT2-MO2,38,0.9868545
2,NIT2-MO2,39,1.0818421
2,NIT2-MO2,40,1.0620745
2,NIT2-MO2,41,0.9717568
2,NIT2-MO2,42,1.0445796
2,NIT2-MO2,43,1.0275651
2,NIT2-MO2,44,1.1016953
2,NIT2-MO2,45,1.09916
2,NIT2-MO2,46,1.0427813
2,NIT2-MO2,47,1.1327654
2,NIT2-MO2,48,1.1670774
2,NIT2-MO2,49,1.1006461
2,NIT2-MO2,50,1.0546154
2,NIT2-MO2,51,1.0189209
2,NIT2-MO2,52,0.994691
2,NIT2-MO2,53,1.0283922
2,NIT2-MO2,54,0.9561832
3,NIT2-MO1,2,1.0584711
3,NIT2-MO1,3,0.9948764
3,NIT2-MO1,4,1.0519542
3,NIT2-MO1,5,1.0498838
3,NIT2-MO1,6,1.084424
3,NIT2-MO1,7,0.9410361
