,ID,cluster,count,% Expressing
0,comp402029_c1_seq2,cPRC,0.0,0.0
1,comp418832_c0_seq22,cPRC,0.0,0.0
2,comp415533_c0_seq1,cPRC,0.0,0.0
3,Contig14058,cPRC,0.0,0.0
4,Contig6070,cPRC,0.0,0.0
5,Contig19517,cPRC,4.099210370425289,46.54577917297261
6,Contig6007,cPRC,2.9311895020534835,34.77080563780484
7,comp406899_c6_seq1,cPRC,0.0,0.0
8,Contig5059,cPRC,0.0,0.0
9,Contig2280,cPRC,3.9791878355004338,35.73468598396226
10,comp411593_c0_seq1,cPRC,3.593253935909745,31.147503461685716
11,comp402029_c1_seq2,INNOS,0.0,0.0
12,comp418832_c0_seq22,INNOS,0.0,0.0
13,comp415533_c0_seq1,INNOS,1.693877794950175,65.66243361917414
14,Contig14058,INNOS,0.0,0.0
15,Contig6070,INNOS,0.0,0.0
16,Contig19517,INNOS,2.0694431728895437,0.43095370538727507
17,Contig6007,INNOS,0.0,0.0
18,comp406899_c6_seq1,INNOS,0.0,0.0
19,Contig5059,INNOS,0.0,0.0
20,Contig2280,INNOS,0.0,0.0
21,comp411593_c0_seq1,INNOS,0.2101160226824942,0.004945844240863303
22,comp402029_c1_seq2,INRGWa,0.0,0.0
23,comp418832_c0_seq22,INRGWa,0.0,0.0
24,comp415533_c0_seq1,INRGWa,0.0,0.0
25,Contig14058,INRGWa,0.0,0.0
26,Contig6070,INRGWa,0.0,0.0
27,Contig19517,INRGWa,0.0,0.0
28,Contig6007,INRGWa,0.0,0.0
29,comp406899_c6_seq1,INRGWa,0.0,0.0
30,Contig5059,INRGWa,0.0,0.0
31,Contig2280,INRGWa,0.2926229947268599,0.00360551857442421
32,comp411593_c0_seq1,INRGWa,0.0,0.0
