frame,MO,sample,intensity
1,NIT2MO1_RGW,2,1.061709956
1,NIT2MO1_RGW,3,0.921444267
1,NIT2MO1_RGW,4,0.770400303
1,NIT2MO1_RGW,5,0.975421459
1,NIT2MO1_RGW,6,1.011866949
1,NIT2MO1_RGW,7,0.957790602
1,NIT2MO1_RGW,8,0.942931176
1,NIT2MO1_RGW,9,1.043904496
1,NIT2MO1_RGW,10,0.985683317
1,NIT2MO1_RGW,11,0.958703803
1,NIT2MO1_RGW,12,0.963453032
1,NIT2MO1_RGW,13,0.975948942
1,NIT2MO1_RGW,14,1.016968455
1,NIT2MO2_RGW,15,1.12338017
1,NIT2MO2_RGW,16,1.01235616
1,NIT2MO2_RGW,17,0.77363713
1,NIT2MO2_RGW,18,0.91700423
1,NIT2MO2_RGW,19,1.01449973
1,NIT2MO2_RGW,20,1.05663701
1,NIT2MO2_RGW,21,1.02990373
1,NIT2MO2_RGW,22,1.03025712
1,NIT2MO2_RGW,23,0.90516825
1,NIT2MO2_RGW,24,1.02953301
1,NIT2MO2_RGW,25,1.13856865
1,NIT2MO2_RGW,26,0.86441724
2,NIT2MO1_RGW,2,1.056974245
2,NIT2MO1_RGW,3,0.908609668
2,NIT2MO1_RGW,4,0.761712337
2,NIT2MO1_RGW,5,0.977469671
2,NIT2MO1_RGW,6,1.007367214
2,NIT2MO1_RGW,7,0.953091509
2,NIT2MO1_RGW,8,0.951589458
2,NIT2MO1_RGW,9,1.059874559
2,NIT2MO1_RGW,10,0.96477283
2,NIT2MO1_RGW,11,0.95891805
2,NIT2MO1_RGW,12,0.991603568
2,NIT2MO1_RGW,13,0.986429291
2,NIT2MO1_RGW,14,1.035189614
2,NIT2MO2_RGW,15,1.14888828
2,NIT2MO2_RGW,16,0.98148699
2,NIT2MO2_RGW,17,0.76338511
2,NIT2MO2_RGW,18,0.90247617
2,NIT2MO2_RGW,19,1.00218599
2,NIT2MO2_RGW,20,1.00654894
2,NIT2MO2_RGW,21,1.05926128
2,NIT2MO2_RGW,22,1.02649219
2,NIT2MO2_RGW,23,0.8994094
2,NIT2MO2_RGW,24,1.03068135
2,NIT2MO2_RGW,25,1.1451015
2,NIT2MO2_RGW,26,0.8643446
3,NIT2MO1_RGW,2,1.035080689
3,NIT2MO1_RGW,3,0.903365961
3,NIT2MO1_RGW,4,0.798004799
3,NIT2MO1_RGW,5,0.971902736
3,NIT2MO1_RGW,6,1.027836598
3,NIT2MO1_RGW,7,0.951112943
3,NIT2MO1_RGW,8,0.923339443
3,NIT2MO1_RGW,9,1.071891635
3,NIT2MO1_RGW,10,0.999458044
3,NIT2MO1_RGW,11,0.973111944
3,NIT2MO1_RGW,12,0.984931404
3,NIT2MO1_RGW,13,0.968894861
3,NIT2MO1_RGW,14,1.014007516
3,NIT2MO2_RGW,15,1.10878461
3,NIT2MO2_RGW,16,0.9746083
3,NIT2MO2_RGW,17,0.77180502
3,NIT2MO2_RGW,18,0.91371486
3,NIT2MO2_RGW,19,1.00814231
3,NIT2MO2_RGW,20,1.02321485
3,NIT2MO2_RGW,21,1.0325664
3,NIT2MO2_RGW,22,0.95220386
3,NIT2MO2_RGW,23,0.86521364
3,NIT2MO2_RGW,24,1.04457924
3,NIT2MO2_RGW,25,1.1510014
3,NIT2MO2_RGW,26,0.8610758
4,NIT2MO1_RGW,2,1.035299261
4,NIT2MO1_RGW,3,0.878495805
4,NIT2MO1_RGW,4,0.810455866
4,NIT2MO1_RGW,5,1
4,NIT2MO1_RGW,6,1.002735133
4,NIT2MO1_RGW,7,0.941467436
4,NIT2MO1_RGW,8,0.940529609
4,NIT2MO1_RGW,9,1.047383123
4,NIT2MO1_RGW,10,0.971502123
4,NIT2MO1_RGW,11,0.969844671
4,NIT2MO1_RGW,12,1.010195667
4,NIT2MO1_RGW,13,0.975142761
4,NIT2MO1_RGW,14,1.024143036
4,NIT2MO2_RGW,15,1.13060974
4,NIT2MO2_RGW,16,1.04462656
4,NIT2MO2_RGW,17,0.75810318
4,NIT2MO2_RGW,18,0.92544087
4,NIT2MO2_RGW,19,1.02200028
4,NIT2MO2_RGW,20,1.02271803
4,NIT2MO2_RGW,21,1.04444596
4,NIT2MO2_RGW,22,1.03030303
4,NIT2MO2_RGW,23,0.85579773
4,NIT2MO2_RGW,24,1.04481479
4,NIT2MO2_RGW,25,1.14410688
4,NIT2MO2_RGW,26,0.83496168
5,NIT2MO1_RGW,2,1.045353539
5,NIT2MO1_RGW,3,0.878595685
5,NIT2MO1_RGW,4,0.804924864
5,NIT2MO1_RGW,5,0.988078357
5,NIT2MO1_RGW,6,1.00419093
5,NIT2MO1_RGW,7,0.9356554
5,NIT2MO1_RGW,8,0.929975352
5,NIT2MO1_RGW,9,1.041163759
5,NIT2MO1_RGW,10,0.993451359
5,NIT2MO1_RGW,11,0.960096411
5,NIT2MO1_RGW,12,0.982944748
5,NIT2MO1_RGW,13,0.958481693
5,NIT2MO1_RGW,14,0.994135064
5,NIT2MO2_RGW,15,1.12665394
5,NIT2MO2_RGW,16,0.98356758
5,NIT2MO2_RGW,17,0.75829809
5,NIT2MO2_RGW,18,0.93393842
5,NIT2MO2_RGW,19,1.02017528
5,NIT2MO2_RGW,20,1.05148819
5,NIT2MO2_RGW,21,1.0366628
5,NIT2MO2_RGW,22,0.99113866
5,NIT2MO2_RGW,23,0.84667605
5,NIT2MO2_RGW,24,1.04219422
5,NIT2MO2_RGW,25,1.15407568
5,NIT2MO2_RGW,26,0.84720154
6,NIT2MO1_RGW,2,1.035335689
6,NIT2MO1_RGW,3,0.860517379
6,NIT2MO1_RGW,4,0.798888749
6,NIT2MO1_RGW,5,1.015230293
6,NIT2MO1_RGW,6,1.018087171
6,NIT2MO1_RGW,7,0.938540808
6,NIT2MO1_RGW,8,0.933577703
6,NIT2MO1_RGW,9,1.065356032
6,NIT2MO1_RGW,10,0.98767049
6,NIT2MO1_RGW,11,0.975897161
6,NIT2MO1_RGW,12,1.005322738
6,NIT2MO1_RGW,13,0.960900235
6,NIT2MO1_RGW,14,1.00859811
6,NIT2MO2_RGW,15,1.07631974
6,NIT2MO2_RGW,16,1.0155832
6,NIT2MO2_RGW,17,0.74603855
6,NIT2MO2_RGW,18,0.92991807
6,NIT2MO2_RGW,19,0.98582115
6,NIT2MO2_RGW,20,0.98265661
6,NIT2MO2_RGW,21,1.06772718
6,NIT2MO2_RGW,22,0.95307622
6,NIT2MO2_RGW,23,0.83625129
6,NIT2MO2_RGW,24,1.0527943
6,NIT2MO2_RGW,25,1.14037705
6,NIT2MO2_RGW,26,0.82951367
7,NIT2MO1_RGW,2,1.016392845
7,NIT2MO1_RGW,3,0.86810827
7,NIT2MO1_RGW,4,0.797575451
