frame,genotype,sample,intensity
1,WT_Ser-h1,2,1.022390012
1,WT_Ser-h1,3,0.926356094
1,WT_Ser-h1,4,0.961597806
1,WT_Ser-h1,5,1.017515883
1,WT_Ser-h1,6,1.155615826
1,WT_Ser-h1,7,1.001056943
1,WT_Ser-h1,8,0.771734506
1,WT_Ser-h1,9,0.744914105
1,WT_Ser-h1,10,1.496921765
1,WT_Ser-h1,11,1.493687183
1,WT_Ser-h1,12,1.478461807
1,WT_Ser-h1,13,0.982146354
1,WT_Ser-h1,14,0.817349631
1,WT_Ser-h1,15,0.809365013
1,WT_Ser-h1,16,0.983627918
1,WT_Ser-h1,17,0.566994365
1,WT_Ser-h1,18,1.018826248
1,WT_Ser-h1,19,0.826511645
1,WT_Ser-h1,20,0.825967533
1,WT_Ser-h1,21,1.157104351
1,WT_Ser-h1,22,1.145104826
1,WT_Ser-h1,23,1.016475713
1,WT_Ser-h1,24,1.432411745
1,WT_Ser-h1,25,1.16826117
1,NOS11_Ser-h1,26,0.89929186
1,NOS11_Ser-h1,27,0.941220123
1,NOS11_Ser-h1,28,0.991735537
1,NOS11_Ser-h1,29,1.075743402
1,NOS11_Ser-h1,30,0.974669404
1,NOS11_Ser-h1,31,0.985009787
1,NOS11_Ser-h1,32,1.002696318
1,NOS11_Ser-h1,33,1.278821899
1,NOS11_Ser-h1,34,0.99476077
1,NOS11_Ser-h1,35,0.921048374
1,NOS11_Ser-h1,36,1.07000777
1,NOS11_Ser-h1,37,1.247147817
1,NOS11_Ser-h1,38,0.972399763
1,NOS11_Ser-h1,39,0.981623733
2,WT_Ser-h1,2,1.01622248
2,WT_Ser-h1,3,0.90488194
2,WT_Ser-h1,4,0.968926796
2,WT_Ser-h1,5,1.01463515
2,WT_Ser-h1,6,1.145671258
2,WT_Ser-h1,7,0.98893513
2,WT_Ser-h1,8,0.773223656
2,WT_Ser-h1,9,0.756187839
2,WT_Ser-h1,10,1.548683463
2,WT_Ser-h1,11,1.530858045
2,WT_Ser-h1,12,1.523151378
2,WT_Ser-h1,13,1.04608277
2,WT_Ser-h1,14,0.820284314
2,WT_Ser-h1,15,0.805127136
2,WT_Ser-h1,16,0.982523227
2,WT_Ser-h1,17,0.556765282
2,WT_Ser-h1,18,0.992014137
2,WT_Ser-h1,19,0.806028356
2,WT_Ser-h1,20,0.794271959
2,WT_Ser-h1,21,1.17708467
2,WT_Ser-h1,22,1.166974787
2,WT_Ser-h1,23,1.045497585
2,WT_Ser-h1,24,1.423454815
2,WT_Ser-h1,25,1.223155284
2,NOS11_Ser-h1,26,0.903974903
2,NOS11_Ser-h1,27,0.942704307
2,NOS11_Ser-h1,28,0.992312128
2,NOS11_Ser-h1,29,1.042690705
2,NOS11_Ser-h1,30,0.951754121
2,NOS11_Ser-h1,31,0.991454624
2,NOS11_Ser-h1,32,1.029857392
2,NOS11_Ser-h1,33,1.242228301
2,NOS11_Ser-h1,34,0.988246382
2,NOS11_Ser-h1,35,0.924958205
2,NOS11_Ser-h1,36,1.055244755
2,NOS11_Ser-h1,37,1.221230159
2,NOS11_Ser-h1,38,0.944070526
2,NOS11_Ser-h1,39,0.961275923
3,WT_Ser-h1,2,1.035136246
3,WT_Ser-h1,3,0.906477345
3,WT_Ser-h1,4,0.962240699
3,WT_Ser-h1,5,1.016435608
3,WT_Ser-h1,6,1.143553874
3,WT_Ser-h1,7,0.996564936
3,WT_Ser-h1,8,0.766451567
3,WT_Ser-h1,9,0.764607821
3,WT_Ser-h1,10,1.537933321
3,WT_Ser-h1,11,1.554863361
3,WT_Ser-h1,12,1.505319149
