power,time,base,min_intensity,max_intensity,from_base,normalized
power3,stimu10sec,113.294,90.81,122.448,9.153999999999996,0.08079863011280383
power3,stimu20sec,93.505,100.575,119.858,26.35300000000001,0.2818351959788248
power3,stimu30sec,95.509,76.672,131.779,36.269999999999996,0.3797547875069365
power3,stimu40sec,104.373,98.278,172.333,67.96,0.6511262491257317
power3,stimu50sec,76.231,54.898,111.54,35.30900000000001,0.46318426886699654
power6,stimu10sec,200.463,162.948,237.034,36.571,0.18243266837271715
power6,stimu20sec,67.624,70.561,123.588,55.964,0.8275760085176861
power6,stimu30sec,87.361,84.681,154.182,66.82099999999998,0.7648836437311842
power6,stimu40sec,99.546,101.861,156.06,56.513999999999996,0.5677174371647278
power6,stimu50sec,83.092,59.271,92.984,9.891999999999996,0.11904876522408891
power9,stimu10sec,64.648,46.879,82.494,17.846000000000004,0.27604875634203696
power9,stimu20sec,112.505,120.512,191.239,78.73400000000001,0.6998266743700281
power9,stimu30sec,91.484,81.901,168.026,76.54200000000002,0.8366708932709547
power9,stimu40sec,51.412,43.294,97.857,46.445,0.9033883140122929
power9,stimu50sec,93.427,70.756,175.442,82.015,0.877851156517923
power12,stimu10sec,63.654,40.671,108.048,44.394,0.6974267131680648
power12,stimu20sec,99.583,98.988,146.004,46.42099999999999,0.46615386160288397
power12,stimu30sec,154.792,154.792,229.894,75.102,0.4851801126673213
power12,stimu40sec,74.619,63.294,179.316,104.697,1.4030876854420455
power12,stimu50sec,63.494,50.084,112.307,48.813,0.7687813021702838
